Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,377.42,5.68,383.1,156.9,55.17,37.44,52.13,8.8,55.96,16.7,1.84,18.54,1.82,16.72,16.72,5.42,11.3,11.3,11.27,10.03,10.03,0.27,24.0,0.86,100.0,76.0
2012-12-31,368.4,5.68,374.08,161.54,52.21,22.61,52.98,9.35,67.42,7.97,0.34,8.31,2.74,5.57,5.57,2.4,3.17,3.17,11.27,2.82,2.82,0.27,24.0,0.86,100.0,76.0
2013-03-31,403.41,5.67,409.08,138.3,116.4,-8.49,56.27,9.66,71.09,25.83,5.9,31.73,3.56,28.18,28.18,7.09,21.09,21.09,11.27,18.72,18.72,0.28,25.0,0.84,100.0,75.0
2013-06-30,413.46,7.91,421.37,144.07,124.57,-13.87,61.55,10.26,75.45,19.33,1.47,20.79,3.04,17.75,17.75,5.16,12.59,12.59,11.27,11.18,11.18,0.28,25.0,0.84,100.0,75.0
2013-09-30,446.45,8.19,454.64,158.43,116.19,21.56,61.9,12.06,80.34,4.14,0.77,4.92,3.65,1.27,1.27,-0.29,1.56,1.56,11.27,1.39,1.39,0.28,25.0,0.84,100.0,75.0
2013-12-31,417.11,10.67,427.78,156.87,121.02,-4.07,63.71,12.84,71.86,5.56,10.33,15.89,4.43,11.46,11.46,8.03,3.43,3.43,11.27,3.05,3.05,0.28,25.0,0.84,100.0,75.0
2014-03-31,431.4,7.14,438.55,170.27,109.05,-8.69,55.89,12.44,65.32,34.27,7.37,41.64,3.05,38.59,38.59,13.18,25.4,25.4,11.27,22.55,22.55,0.28,25.0,0.84,100.0,75.0
2014-06-30,455.09,7.53,462.62,146.61,132.22,1.91,58.95,12.18,72.75,38.0,2.23,40.23,1.87,38.37,38.37,12.92,25.45,25.45,11.27,22.59,22.59,0.28,25.0,0.84,100.0,75.0
2014-09-30,448.51,9.02,457.53,138.01,155.41,-16.66,59.98,12.34,72.86,35.58,2.12,37.7,0.49,37.21,37.21,12.6,24.61,24.61,11.27,21.85,21.85,0.28,25.0,0.84,100.0,75.0
2014-12-31,435.08,7.63,442.71,150.6,139.98,-18.12,66.1,12.22,68.82,23.1,2.66,25.76,0.42,25.34,25.34,8.69,16.65,16.65,11.27,14.78,14.78,0.28,25.0,0.84,100.0,75.0
2015-03-31,469.79,7.65,477.44,173.71,101.47,1.0,58.22,12.86,73.36,56.82,7.47,64.3,0.65,63.64,63.64,22.01,41.63,41.63,11.27,36.96,36.96,0.28,25.0,0.84,100.0,75.0
2015-06-30,511.3,7.29,518.59,173.47,128.8,0.13,67.09,12.39,77.37,59.34,1.6,60.94,0.28,60.67,60.67,21.16,39.5,39.5,11.27,35.07,35.07,0.28,25.0,0.84,100.0,75.0
2015-09-30,507.78,6.98,514.76,160.05,131.37,0.88,63.33,12.07,78.87,68.19,3.27,71.47,0.34,71.13,71.13,24.73,46.4,46.4,11.27,41.19,41.19,0.28,25.0,0.84,100.0,75.0
2015-12-31,510.82,6.72,517.54,151.96,147.4,-1.7,61.6,12.05,67.75,78.48,6.05,84.53,0.18,84.34,84.34,27.73,56.61,56.61,11.27,50.26,50.26,0.0,0.0,0.0,0.0,0.0
2016-03-31,561.97,0.0,561.97,143.61,175.59,-9.72,62.11,12.39,93.44,84.55,6.42,90.97,1.48,89.5,89.5,25.19,64.31,64.31,11.27,57.09,57.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,581.57,15.68,597.25,186.28,178.72,-30.94,75.63,11.76,94.68,81.13,10.88,92.01,0.35,91.66,91.66,31.94,59.72,59.72,11.27,53.02,53.02,0.0,0.0,0.0,0.0,0.0
2016-09-30,565.5,0.09,565.6,162.65,135.84,25.81,72.04,11.8,94.02,63.42,11.14,74.56,0.31,74.25,74.25,26.04,48.21,48.21,11.27,42.79,42.79,0.0,0.0,0.0,0.0,0.0
2016-12-31,575.99,0.24,576.23,133.65,151.87,44.16,72.17,11.73,109.33,53.31,11.86,65.17,0.31,64.87,64.87,22.43,42.43,42.43,11.27,37.67,37.67,0.0,0.0,0.0,0.0,0.0
2017-03-31,623.91,0.0,623.91,198.62,179.0,-47.75,60.19,11.46,98.23,124.16,15.59,139.75,1.31,138.44,138.44,48.05,90.39,90.39,11.27,80.24,80.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,664.35,0.0,664.35,173.84,244.08,-45.81,84.78,10.97,108.53,87.95,13.6,101.56,0.18,101.38,101.38,35.29,66.09,66.09,11.27,58.66,58.66,0.0,0.0,0.0,0.0,0.0
