Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,832.52,785.1,750.82,696.78,672.98,658.54,614.0,578.01,538.11
Other Operating Income,--,--,--,--,--,--,--,--,--
Total Income From Operations,832.52,785.1,750.82,696.78,672.98,658.54,614.0,578.01,538.11
EXPENDITURE,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--
Employees Cost,109.11,102.59,100.84,94.64,97.4,87.55,78.31,82.41,80.3
Depreciation,6.45,6.48,6.2,6.11,5.76,5.45,4.95,4.82,4.41
Excise Duty,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,6.39,18.68,13.32,18.68,-4.14,12.07,1.53,31.77,-6.07
Exp. Capitalised,--,--,--,--,--,--,--,--,--
Other Expenses,80.61,52.9,52.77,43.14,53.66,42.22,37.6,36.31,41.66
"P/L Before Other Inc. , Int., Excpt. Items & Tax",629.96,604.45,577.69,534.21,520.3,511.25,491.61,422.7,417.81
Other Income,1.23,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02
"P/L Before Int., Excpt. Items & Tax",631.19,604.46,577.7,534.23,520.32,511.27,491.62,422.71,417.83
Interest,314.71,296.87,285.18,277.01,261.88,250.84,238.62,235.35,213.46
P/L Before Exceptional Items & Tax,316.48,307.59,292.52,257.22,258.44,260.43,253.0,187.36,204.37
Exceptional Items,--,--,--,--,--,--,--,--,--
P/L Before Tax,316.48,307.59,292.52,257.22,258.44,260.43,253.0,187.36,204.37
Tax,71.24,68.36,64.96,57.14,56.93,56.99,55.72,41.08,38.82
P/L After Tax from Ordinary Activities,245.24,239.23,227.56,200.08,201.51,203.44,197.28,146.28,165.55
Prior Year Adjustments,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,245.24,239.23,227.56,200.08,201.51,203.44,197.28,146.28,165.55
Equity Share Capital,431.38,430.68,429.84,426.52,394.76,394.76,394.76,394.76,394.76
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,
Basic EPS,5.69,5.56,5.31,4.86,5.1,5.15,5.0,3.71,3.56
Diluted EPS,5.56,5.42,5.16,4.66,4.88,4.99,4.85,3.6,3.46
EPS After Extra Ordinary,,,,,,,,,
Public Share Holding,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,
Notes,,,,,,,,,
