Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Revaluation Reserves,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-12-31,42.38,42.38,666.94,682.28,0.0,724.66,0.0,0.0,29.98,780.71,147.22,40.97,968.9,1723.54,178.76,11.25,4.93,194.93,106.97,15.26,0.0,0.0,317.16,0.0,168.29,626.33,416.75,111.51,83.5,1406.38,1723.54,104.97,61.1,13.25,210.2,93.74,18.8,41.51,64.69,0.0,0.0,1.49,0.0,607.36,0.0,0.0,12.21,28.49,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,42.38,42.38,846.67,861.75,0.0,904.13,0.0,0.0,31.48,1103.83,269.04,51.2,1424.07,2359.68,213.46,13.2,38.42,265.09,87.15,20.33,0.0,0.0,372.56,0.0,201.58,1029.26,400.97,140.19,215.12,1987.12,2359.68,105.08,74.3,15.46,210.88,31.14,18.8,52.72,40.4,0.0,0.0,2.73,0.0,677.14,0.0,0.0,9.16,28.75,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,42.38,42.38,1138.65,1153.46,0.0,1195.84,0.0,0.0,34.64,1573.26,363.07,55.57,1991.91,3222.39,292.28,14.89,24.62,331.79,77.35,16.57,0.0,0.0,425.72,0.0,354.7,1570.27,546.44,191.41,133.85,2796.67,3222.39,95.57,126.51,17.67,387.91,78.41,18.8,71.48,7.9,0.0,0.0,1.55,0.0,1097.09,0.0,0.0,7.64,33.1,14.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,42.38,42.38,1569.42,1583.96,0.0,1626.34,0.0,0.0,39.47,2270.26,661.23,67.82,2999.31,4665.13,334.76,17.17,105.94,457.87,70.45,26.1,0.0,0.0,554.43,0.0,488.71,2423.56,642.86,295.36,260.21,4110.7,4665.13,133.1,136.96,22.08,316.35,58.88,18.8,76.45,1.0,0.0,0.0,0.57,0.0,1365.13,0.0,0.0,23.24,38.91,14.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,42.38,42.38,2062.29,2076.57,0.0,2118.95,0.0,0.0,49.68,2376.86,785.03,159.63,3321.52,5490.15,536.05,9.79,137.51,683.35,61.12,45.85,0.0,0.0,790.32,0.0,642.65,2975.89,348.23,353.49,379.56,4699.83,5490.15,248.09,214.34,24.29,479.68,48.43,18.8,59.12,1.0,0.0,0.0,0.02,0.0,1886.81,0.0,0.0,31.96,49.66,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,42.38,42.38,2367.35,2381.35,0.0,2423.73,0.0,0.0,61.72,2061.63,925.3,145.04,3131.98,5617.43,664.05,9.08,116.34,789.47,16.88,61.82,0.0,0.0,868.16,0.0,729.41,2857.73,524.14,318.32,319.67,4749.27,5617.43,226.58,264.04,24.29,459.46,56.83,18.8,13.75,0.92,0.0,0.0,0.0,0.0,1978.81,0.0,0.0,23.22,61.72,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,42.38,42.38,2381.32,2381.32,0.0,2423.7,0.0,0.0,71.9,2146.05,1017.0,184.64,3347.69,5843.29,751.46,14.62,57.7,823.78,16.8,76.49,0.0,0.0,917.07,0.0,697.85,2925.97,587.13,354.86,360.41,4926.22,5843.29,369.48,280.76,22.08,931.52,112.54,18.8,13.7,0.84,0.0,0.0,0.0,0.0,1800.32,0.0,0.0,20.88,71.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,42.38,42.38,2492.14,2492.14,0.0,2534.52,3.3,5.71,9.01,1965.41,1558.27,227.35,3751.03,6294.56,1030.24,138.16,74.43,1242.83,50.62,22.4,163.89,8.49,1488.23,0.08,925.55,3082.51,255.88,199.97,342.34,4806.33,6294.56,538.36,347.14,31.79,823.74,293.21,18.79,0.0,34.66,0.0,0.08,0.0,0.0,164.91,1217.14,776.64,51.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,42.38,42.38,2555.67,2555.67,0.0,2598.05,3.89,5.71,9.6,1899.37,1394.56,240.74,3862.35,6470.0,1078.06,129.28,117.01,1324.35,52.39,14.8,230.18,8.45,1630.17,0.08,920.4,3264.38,76.67,228.3,350.0,4839.83,6470.0,757.94,433.03,47.68,870.67,174.96,18.79,0.0,36.43,0.0,0.08,0.0,327.68,200.6,1143.32,561.86,38.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,42.38,42.38,2635.18,2635.18,0.0,2677.56,4.17,5.71,9.88,2082.58,1395.95,263.45,4362.09,7049.53,1268.02,123.49,47.49,1439.0,16.47,27.93,350.89,8.3,1842.59,0.08,988.85,3235.72,316.58,256.77,408.94,5206.94,7049.53,664.1,429.98,47.68,939.36,241.59,18.79,13.81,0.51,0.0,0.08,0.0,620.11,196.39,1275.06,456.33,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
