Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2052.76,29.52,2082.28,1312.85,70.35,42.06,145.86,24.59,444.57,42.0,2.82,44.82,18.47,26.35,0.0,26.35,9.58,16.77,0.0,16.77,42.38,0.79,0.79,5.3,25.0,15.89,100.0,75.0
2013-03-31,1953.36,16.66,1970.02,1277.21,42.82,-26.72,169.31,24.61,400.86,81.93,1.38,83.31,19.75,63.56,0.0,63.56,21.0,42.56,0.0,42.56,42.38,2.01,2.01,5.3,25.0,15.89,100.0,75.0
2013-06-30,1720.54,21.1,1741.64,1004.15,67.41,6.01,155.46,25.93,399.62,83.06,3.78,86.84,25.6,61.24,0.0,61.24,20.9,40.34,0.0,40.34,42.38,1.9,1.9,5.3,25.0,15.89,100.0,75.0
2013-09-30,1762.4,23.5,1785.9,1063.55,85.97,-17.94,162.65,25.73,386.25,79.69,0.92,80.61,26.99,53.62,0.0,53.62,18.01,35.61,2.46,38.07,42.38,1.68,1.68,5.3,25.0,15.89,100.0,75.0
2013-12-31,2174.91,28.96,2203.87,1284.28,102.86,25.29,187.76,27.0,454.22,122.46,0.69,123.15,28.79,94.36,0.0,94.36,35.77,58.59,0.0,58.59,42.38,2.76,2.76,5.3,25.0,15.89,100.0,75.0
2014-03-31,1809.98,17.73,1827.71,1033.35,82.33,10.39,168.14,27.41,407.78,98.31,1.13,99.44,22.07,77.37,0.0,77.37,25.69,51.68,0.0,51.68,42.38,2.44,2.44,5.3,25.0,15.89,100.0,75.0
2014-06-30,1794.4,27.78,1822.18,1092.54,65.7,-17.57,169.71,27.86,385.99,97.95,0.41,98.36,25.36,73.0,0.0,73.0,25.31,47.69,0.0,47.69,42.38,2.25,2.25,5.3,25.0,15.89,100.0,75.0
2014-09-30,1821.38,23.59,1844.97,1061.99,81.08,-1.34,171.92,28.34,407.19,95.79,1.05,96.84,27.54,69.3,0.0,69.3,24.32,44.98,0.0,44.98,42.38,2.12,2.12,5.3,25.0,15.89,100.0,75.0
2014-12-31,2204.89,33.52,2238.41,1299.31,76.77,52.5,195.43,29.2,434.37,150.83,14.69,165.52,29.98,135.54,0.0,135.54,51.38,84.16,0.0,84.16,42.38,3.97,3.97,5.3,25.0,15.89,100.0,75.0
2015-03-31,1785.01,29.56,1814.57,1010.06,76.32,-2.81,182.77,42.23,404.63,101.37,0.72,102.09,20.8,81.29,0.0,81.29,27.0,54.29,0.0,54.29,42.38,2.56,2.56,5.3,25.0,15.89,100.0,75.0
2015-06-30,1906.47,25.15,1931.62,1137.54,60.06,-50.66,184.04,37.47,450.63,112.54,1.02,113.56,24.63,88.93,0.0,88.93,31.48,57.45,0.0,57.45,42.38,2.71,2.71,5.3,25.0,15.89,100.0,75.0
2015-09-30,1939.67,29.3,1968.97,1119.08,87.99,-32.93,187.55,35.9,451.54,119.84,0.52,120.36,24.99,95.37,0.0,95.37,36.63,58.74,0.0,58.74,42.38,2.77,2.77,5.3,25.0,15.89,100.0,75.0
2015-12-31,2384.0,41.11,2425.11,1294.88,97.27,37.84,195.51,44.19,536.46,218.96,10.78,229.74,20.74,209.0,0.0,209.0,79.6,129.4,0.0,129.4,42.38,6.11,6.11,0.0,0.0,0.0,0.0,0.0
2016-03-31,1979.52,24.0,2003.52,1101.04,123.45,-64.73,187.22,35.87,483.65,137.02,14.92,151.94,22.29,129.65,0.0,129.65,44.2,85.45,0.0,85.45,42.38,4.03,4.03,0.0,0.0,0.0,0.0,0.0
2016-06-30,2066.65,28.0,2094.65,1076.62,87.97,75.75,199.72,35.69,541.01,77.89,29.9,107.79,19.71,88.08,0.0,88.08,32.44,55.64,0.0,55.64,42.38,2.63,2.63,0.0,0.0,0.0,0.0,0.0
2016-09-30,2024.8,30.22,2055.02,1173.93,82.18,-18.66,188.99,40.55,482.97,105.06,36.55,141.61,17.82,123.79,0.0,123.79,42.73,81.06,0.0,81.06,42.38,3.83,3.83,0.0,0.0,0.0,0.0,0.0
2016-12-31,2440.95,50.59,2491.54,1289.73,107.99,74.28,186.3,38.85,551.34,243.05,9.53,252.58,28.49,224.09,0.0,224.09,77.3,146.79,0.0,146.79,42.38,6.93,6.93,0.0,0.0,0.0,0.0,0.0
