Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,437.52,10.49,448.01,79.03,234.83,-44.06,46.97,4.77,58.42,68.05,5.51,73.56,0.0,73.56,73.56,23.79,49.77,0.0,49.77,21.25,23.42,23.42,0.53,25.01,1.59,100.0,74.99
2013-03-31,406.52,13.16,419.68,69.94,212.05,-43.03,57.4,5.23,77.41,40.68,6.37,47.05,0.01,47.04,47.04,15.34,31.7,0.0,31.7,21.25,14.92,14.92,0.53,25.01,1.59,100.0,74.99
2013-06-30,429.68,10.53,440.21,70.24,224.6,-31.76,58.1,4.78,76.56,37.69,6.72,44.41,0.03,44.38,44.38,14.67,29.71,0.0,29.71,21.25,13.98,13.98,0.53,25.01,1.59,100.0,74.99
2013-09-30,444.73,12.06,456.79,53.56,225.8,-16.68,61.34,4.26,67.28,61.23,6.95,68.18,0.01,68.17,68.17,22.98,45.19,0.0,45.19,21.25,21.27,21.27,0.53,25.01,1.59,100.0,74.99
2013-12-31,471.81,14.66,486.47,79.45,238.23,-32.83,54.41,4.18,83.04,59.99,18.79,78.78,0.02,78.76,78.76,25.3,53.46,0.0,53.46,21.25,25.16,25.16,0.53,25.01,1.59,100.0,74.99
2014-03-31,478.55,15.2,493.75,45.7,190.52,45.12,68.49,3.48,93.61,46.83,9.39,56.22,0.01,56.21,56.21,17.81,38.4,0.0,38.4,21.25,18.07,18.07,0.53,25.01,1.59,100.0,74.99
2014-06-30,516.91,10.34,527.25,64.58,217.67,21.7,74.41,3.49,78.8,66.6,9.6,76.2,0.01,76.19,76.19,25.26,50.93,0.0,50.93,21.25,23.97,23.97,0.53,25.01,1.59,100.0,74.99
2014-09-30,577.42,11.29,588.71,65.91,258.33,17.06,76.17,4.43,83.23,83.58,12.21,95.79,0.01,95.78,95.78,32.04,63.74,0.0,63.74,21.25,30.0,30.0,0.53,25.01,1.59,100.0,74.99
2014-12-31,562.28,11.26,573.54,89.11,345.12,-111.84,78.1,3.64,87.2,82.21,12.6,94.81,0.02,94.79,94.79,30.26,64.53,0.0,64.53,21.25,30.37,30.37,0.53,25.01,1.59,100.0,74.99
2015-03-31,580.99,19.72,600.71,86.84,228.26,32.84,76.72,3.38,108.14,64.53,13.53,78.06,0.46,77.6,77.6,27.84,49.76,0.0,49.76,21.25,23.42,23.42,0.53,25.01,1.59,100.0,74.99
2015-06-30,630.74,6.52,637.26,81.2,212.97,65.9,85.83,3.36,96.85,91.15,12.52,103.67,0.03,103.64,103.64,36.33,67.31,0.0,67.31,21.25,31.56,31.56,0.53,25.01,1.59,100.0,74.99
2015-09-30,632.81,12.25,645.06,70.29,304.85,-5.64,85.49,3.42,103.79,82.86,13.06,95.92,0.41,95.51,95.51,33.81,61.7,0.0,61.7,21.25,29.04,29.04,0.53,25.01,1.59,100.0,74.99
2015-12-31,649.84,17.45,667.29,88.58,405.18,-118.06,86.63,3.56,102.79,98.61,12.35,110.96,0.07,110.89,110.89,40.53,70.36,0.0,70.36,21.25,33.11,33.11,0.0,0.0,0.0,0.0,0.0
2016-03-31,674.3,8.67,682.97,72.71,254.03,72.66,80.36,4.1,120.91,78.2,12.58,90.78,0.3,90.48,90.48,31.47,59.01,0.0,59.01,21.25,27.77,27.77,0.0,0.0,0.0,0.0,0.0
2016-06-30,731.33,6.79,738.12,71.85,365.92,-18.37,85.81,4.16,127.51,101.24,13.94,115.18,0.02,115.16,115.16,41.15,74.01,0.0,74.01,21.25,34.83,34.83,0.0,0.0,0.0,0.0,0.0
2016-09-30,721.14,8.29,729.43,95.97,432.72,-98.99,86.85,4.08,106.89,101.91,14.35,116.26,0.01,116.25,116.25,41.23,75.02,0.0,75.02,21.25,35.3,35.3,0.0,0.0,0.0,0.0,0.0
2016-12-31,746.01,9.71,755.72,76.39,428.95,-64.7,87.85,4.35,104.17,118.71,13.9,132.61,0.01,132.6,132.6,47.04,85.56,0.0,85.56,21.25,40.26,40.26,0.0,0.0,0.0,0.0,0.0
2017-03-31,709.1,0.0,709.1,71.73,269.97,80.62,84.76,3.84,139.15,59.03,15.45,74.48,2.0,72.48,72.48,25.46,47.02,-4.96,42.06,21.25,19.79,19.79,0.0,0.0,0.0,0.0,0.0
2017-06-30,706.11,0.0,706.11,78.68,429.87,-70.57,96.63,3.97,109.86,57.67,15.91,73.58,0.51,73.07,73.07,24.82,48.25,0.0,48.25,21.25,22.71,22.71,0.0,0.0,0.0,0.0,0.0
2017-09-30,930.98,0.0,930.98,64.03,367.1,90.42,98.28,4.04,109.81,197.3,15.06,212.36,0.59,211.77,211.77,74.25,137.52,0.0,137.52,21.25,64.72,64.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,881.49,0.0,881.49,82.66,571.82,-141.14,91.13,4.22,113.68,159.12,19.0,178.12,0.51,177.61,177.61,62.22,115.39,0.0,115.39,21.25,54.3,54.3,0.0,0.0,0.0,0.0,0.0
2018-03-31,788.36,0.0,788.36,70.35,342.43,19.09,107.65,3.96,142.22,102.66,58.6,161.26,2.21,159.05,159.05,58.97,100.08,0.0,100.08,21.25,47.1,47.1,0.0,0.0,0.0,0.0,0.0
2018-06-30,844.92,0.0,844.92,99.28,386.0,-9.35,114.74,3.99,142.9,107.36,21.76,129.12,0.56,128.56,128.56,46.16,82.4,0.0,82.4,21.25,38.78,38.78,0.0,0.0,0.0,0.0,0.0
2018-09-30,979.72,0.0,979.72,86.78,412.86,60.21,105.17,4.06,120.69,189.95,24.53,214.48,0.52,213.96,213.96,76.28,137.68,0.0,137.68,21.25,64.79,64.79,0.0,0.0,0.0,0.0,0.0
2018-12-31,947.65,0.0,947.65,79.03,466.26,3.32,106.32,3.96,146.23,142.53,37.63,180.16,0.43,179.73,179.73,62.68,117.05,0.0,117.05,21.25,55.08,55.08,0.0,0.0,0.0,0.0,0.0
