Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,436.8,8.83,445.63,0.0,236.24,44.81,25.94,17.94,105.62,15.08,23.36,38.44,49.47,-11.03,0.0,-11.03,-0.3,-10.73,-10.73,0.5,-214.6,-214.6,0.0,0.0,0.05,100.0,100.0
2012-12-31,423.11,10.46,433.57,0.0,238.34,4.05,30.81,18.46,115.41,26.5,19.84,46.34,46.14,0.2,0.0,0.2,0.0,0.2,0.2,0.5,0.02,0.02,0.0,0.0,0.05,100.0,100.0
2013-03-31,392.66,8.9,401.56,0.0,273.66,-25.38,34.27,18.03,132.12,-31.14,19.83,-11.31,48.19,-59.5,0.0,-59.5,0.0,-59.5,-59.5,0.5,-25.66,-25.66,0.0,0.0,0.05,100.0,100.0
2013-06-30,336.04,8.28,344.32,0.0,179.89,7.58,30.95,16.75,132.97,-23.82,2.05,-21.77,36.05,-57.82,0.0,-57.82,0.0,-57.82,-57.82,92.79,-6.23,-6.23,2.97,32.05,6.31,100.0,67.95
2013-09-30,481.22,6.63,487.85,0.0,316.31,-12.82,38.93,20.42,141.24,-16.23,1.0,-15.23,28.27,-43.5,0.0,-43.5,0.0,-43.5,-43.5,92.79,-4.69,-4.69,2.97,32.05,6.31,100.0,67.95
2013-12-31,410.75,8.09,418.84,0.0,231.93,-14.89,37.85,23.61,130.02,10.32,1.08,11.4,27.06,-15.66,0.0,-15.66,0.0,-15.66,-15.66,92.79,-1.69,-1.69,2.97,32.05,6.31,100.0,67.95
2014-03-31,400.61,9.59,410.2,0.0,261.63,-17.37,41.98,48.22,121.62,-45.88,1.0,-44.88,25.87,-70.75,0.0,-70.75,0.0,-70.75,-70.75,92.79,-7.62,-7.62,2.97,32.05,6.31,100.0,67.95
2014-06-30,381.3,4.72,386.02,0.0,169.59,30.03,44.83,45.55,145.92,-49.9,0.11,-49.79,28.3,-78.09,0.0,-78.09,0.0,-78.09,-78.09,92.79,-8.42,-8.42,2.97,32.05,6.31,100.0,67.95
2014-09-30,543.93,10.48,554.41,0.0,405.56,-86.52,46.52,45.48,158.18,-14.81,0.54,-14.27,29.22,-43.49,0.0,-43.49,0.0,-43.49,-43.49,92.79,-4.69,-4.69,2.54,27.38,6.74,100.0,72.62
2014-12-31,441.14,8.76,449.9,0.0,213.32,13.49,43.85,43.58,147.83,-12.17,0.05,-12.12,30.66,-42.78,0.0,-42.78,0.0,-42.78,-42.78,92.79,-4.61,-4.61,2.54,27.38,6.74,100.0,72.62
2015-03-31,450.51,9.89,460.4,0.0,276.35,-21.42,48.49,48.84,142.01,-33.87,2.08,-31.79,31.99,-63.78,0.0,-63.78,0.0,-63.78,-63.78,92.79,-6.87,-6.87,2.54,27.38,6.74,100.0,72.62
2015-06-30,433.7,5.57,439.27,0.0,177.77,47.61,52.47,43.57,158.16,-40.31,0.66,-39.65,33.44,-73.09,0.0,-73.09,0.0,-73.09,-73.09,92.79,-7.88,-7.88,2.54,27.38,6.74,100.0,72.62
2015-09-30,590.9,7.21,598.11,0.0,376.44,-32.59,55.39,40.78,170.85,-12.76,1.62,-11.14,33.04,-44.18,0.0,-44.18,0.0,-44.18,-44.18,92.79,-4.76,-4.76,2.54,27.38,6.74,100.0,72.62
2015-12-31,1616.93,10.24,1627.17,136.8,603.59,-10.58,166.59,54.91,631.34,44.52,3.09,47.61,40.18,7.43,0.0,7.43,0.0,7.43,7.43,92.79,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,1430.99,11.25,1442.24,214.13,655.03,-220.03,132.38,161.93,567.79,-68.99,2.68,-66.31,43.51,-109.82,0.0,-109.82,0.0,-109.82,-109.82,768.84,-1.42,-1.42,0.0,0.0,0.0,0.0,0.0
2016-06-30,1396.48,15.46,1411.94,141.17,404.1,74.55,165.03,51.62,557.03,18.44,5.81,24.25,45.07,-20.82,0.0,-20.82,0.0,-20.82,-20.82,768.84,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2016-09-30,1866.21,11.48,1877.69,170.18,760.49,-55.02,189.41,59.92,647.84,104.87,7.11,111.98,47.09,64.89,0.0,64.89,0.0,64.89,64.89,769.09,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2016-12-31,1691.29,8.16,1699.45,153.15,560.97,67.19,184.12,65.12,647.12,21.78,7.87,29.65,42.05,-12.4,0.0,-12.4,0.0,-12.4,-12.4,769.89,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2017-03-31,1614.93,0.0,1614.93,142.37,665.4,-75.89,162.28,65.81,606.8,48.16,17.36,65.52,43.69,21.83,0.0,21.83,0.0,21.83,21.83,770.53,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2017-06-30,1760.0,0.0,1760.0,167.0,567.0,99.0,193.0,59.0,660.0,15.0,8.0,23.0,43.0,-20.0,0.0,-20.0,0.0,-20.0,-20.0,771.52,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2017-09-30,1804.0,0.0,1804.0,165.0,846.0,-145.0,197.0,67.0,648.0,26.0,7.0,33.0,43.0,-10.0,0.0,-10.0,0.0,-10.0,-10.0,771.64,-0.13,-0.13,0.0,0.0,0.0,0.0,0.0
2017-12-31,1855.0,0.0,1855.0,174.0,763.0,-72.0,209.0,67.0,643.0,71.0,7.0,78.0,43.0,35.0,0.0,35.0,0.0,35.0,35.0,772.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2018-03-31,1753.59,0.0,1753.59,158.31,795.86,-128.38,173.07,87.04,591.48,76.21,10.76,86.97,42.67,44.3,0.0,44.3,-68.82,113.12,113.12,771.69,1.46,1.46,0.0,0.0,0.0,0.0,0.0
2018-06-30,1913.52,0.0,1913.52,143.84,880.26,-102.91,217.61,72.3,660.88,41.54,8.47,50.01,44.41,5.6,0.0,5.6,0.0,5.6,5.6,771.72,0.07,0.07,0.0,0.0,0.0,0.0,0.0
