Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Net Sales/Income from operations,1007.0,348.69,468.17,113.89,415.67,885.01,202.23,14.44,158.41,271.14,175.15,83.3,332.37,298.35,66.72,42.37,450.39,304.72,0.06,0.06,665.29,192.38,0.06,0.06,260.27,240.38,264.24,67.94,225.84,241.96,243.3,124.19,347.28,239.56,191.83,30.98,158.41,49.85,35.28,30.91,11.46,11.46
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1007.0,348.69,468.17,113.89,415.67,885.01,202.23,14.44,158.41,271.14,175.15,83.3,332.37,298.35,66.72,42.37,450.39,304.72,0.06,0.06,665.29,192.38,0.06,0.06,260.27,240.38,264.24,67.94,225.84,241.96,243.3,124.19,347.28,239.56,191.83,30.98,158.41,49.85,35.28,30.91,11.46,11.46
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,855.41,213.65,249.25,76.39,91.84,737.46,176.78,--,156.37,270.8,174.95,83.12,331.7,298.26,61.96,42.19,449.72,304.71,--,--,664.95,192.26,--,--,260.11,237.84,262.37,67.93,222.37,241.76,239.28,112.2,326.47,221.15,184.3,23.48,129.36,19.15,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,0.19,2.5,2.56,1.61,1.2,0.45,0.26,0.14,0.15,0.28,0.39,0.36,0.29,-0.13,0.63,0.78,0.74,0.8,0.85,1.41,0.66,0.72,1.26,0.63,0.92,1.02,1.51,1.0,1.17,1.12,1.09,2.69,1.5,3.05,1.81,7.08,0.77,6.82,8.84,7.83,12.18,4.77
Depreciation,0.26,0.15,0.1,0.09,0.1,0.09,0.12,0.03,0.05,0.04,0.03,0.03,0.05,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.08,0.04,0.04,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
