Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,22.05,32.05,591.67,591.67,623.72,0.0,276.52,4.27,0.0,0.0,280.79,386.02,871.63,15.63,17.68,1290.96,2195.47,33.61,0.0,2.4,0.0,0.0,36.01,69.38,0.0,0.92,107.78,0.0,219.47,1453.81,199.63,214.78,0.0,2087.69,2195.47,591.98,188.59,0.0,4841.46,2.21,17.04,0.0,69.38,0.0,0.0,1.47,0.0,0.0,0.0,1967.12,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,22.55,22.55,654.72,654.72,677.27,0.0,625.64,7.83,0.0,0.0,633.47,213.69,1692.37,126.56,37.0,2069.62,3380.36,49.71,0.0,53.48,0.0,0.0,103.19,46.67,0.0,2.85,154.18,0.0,323.1,2140.37,479.38,283.33,0.0,3226.18,3380.36,1256.65,198.14,0.0,10807.97,1.22,17.04,0.04,46.63,0.0,0.0,1.47,0.0,0.0,0.0,9029.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,22.62,22.62,747.81,747.81,770.43,0.0,1126.3,8.65,0.0,0.0,1134.95,193.42,1782.0,83.13,75.29,2133.84,4039.22,67.23,0.0,83.14,0.0,0.0,150.37,192.93,0.0,0.0,345.23,0.0,388.35,2243.94,588.86,472.84,0.0,3693.99,4039.22,1248.07,183.12,0.0,2604.57,25.03,17.04,0.06,192.92,0.0,0.0,1.93,0.0,0.0,0.0,3761.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,24.65,24.65,1019.53,1019.53,1044.18,0.0,2781.33,18.89,0.0,0.0,2800.22,243.22,1369.57,281.65,100.87,1995.31,5839.71,201.81,2.91,112.21,0.0,0.0,316.93,600.82,0.0,0.0,919.74,0.0,398.78,1653.58,1357.88,1509.73,0.0,4919.97,5839.71,991.2,114.23,0.0,3545.82,75.97,17.04,0.04,600.8,0.0,0.0,1.99,0.0,0.0,0.0,3713.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,24.65,24.65,1313.01,1313.01,1337.66,0.0,2965.12,19.18,0.0,0.0,2984.3,97.4,1842.67,272.66,163.71,2376.44,6698.4,198.89,3.06,17.15,0.0,0.0,219.1,1494.77,0.0,0.0,1716.9,0.0,914.89,1230.62,1089.58,1746.41,0.0,4981.5,6698.4,1362.79,205.76,0.0,5857.98,92.78,17.04,22.62,1472.26,0.0,0.0,3.03,0.0,0.0,0.0,4503.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,24.66,24.66,1618.44,1618.44,1643.1,0.0,1522.28,22.65,0.0,0.0,1544.93,1684.44,1228.38,381.44,218.18,3512.44,6700.47,207.02,3.06,11.92,0.0,0.0,222.0,2156.75,0.0,0.0,2381.56,0.0,331.8,1742.42,1380.21,864.48,0.0,4318.91,6700.47,1419.98,228.72,0.0,5987.94,149.14,17.04,10.18,2146.57,0.0,0.0,2.81,0.0,0.0,0.0,5666.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,49.8,49.8,1920.3,1920.3,1970.1,0.0,987.17,22.56,0.0,0.0,1009.73,2484.14,1329.92,363.43,281.82,4459.31,7439.14,157.5,3.14,50.96,0.0,0.0,211.6,2381.01,0.0,2.26,2599.78,0.0,266.15,1383.4,1182.41,2007.4,0.0,4839.36,7439.14,1000.76,111.95,0.0,3688.77,19.13,41.84,15186.46,1510.32,0.0,0.0,4.91,0.0,0.0,0.0,7878.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,109.98,109.98,9658.18,9658.18,9768.16,0.0,150.0,0.95,0.0,3.15,154.1,646.81,732.39,155.08,157.28,1691.56,11613.82,208.86,29.28,122.82,0.0,0.0,360.96,3440.83,3608.01,4.33,7414.13,31.94,470.91,925.15,291.08,2477.11,3.5,4199.69,11613.82,1346.42,15.92,0.0,48.76,1.58,41.84,38480.01,1241.1,9.77,22.17,0.0,0.0,2022.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,109.98,109.98,9892.08,9892.08,10002.06,0.0,857.7,22.68,287.32,4.34,1172.04,705.07,1768.28,381.87,142.9,2998.12,14172.22,889.38,26.32,145.24,0.0,0.0,1060.94,3545.69,3778.42,0.55,8385.6,82.44,643.31,1833.03,374.46,2714.8,138.58,5786.62,14172.22,946.69,29.96,0.0,0.0,0.0,41.84,30593.45,1345.96,9.54,72.9,0.0,0.0,3237.39,405.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,109.98,109.98,10256.96,10256.96,10366.94,0.0,1490.0,72.61,341.25,5.19,1909.05,3438.27,3770.36,635.29,182.76,8026.68,20302.67,895.46,21.53,163.49,0.0,0.0,1080.48,4046.1,5753.21,0.0,10879.79,20.59,736.71,3698.32,1898.88,3001.1,67.28,9422.88,20302.67,3396.99,40.09,1.77,17.29,0.0,41.84,27756.56,1846.37,0.0,20.59,0.0,0.0,7576.82,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
