Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,2129.8,2182.08,1802.57,1890.43,1963.59,1886.67,1529.79,1426.61,1383.82,1378.24,1220.58,1254.51,1057.78,1078.51,1090.02,1210.82,1192.29,1305.18,1081.96,797.72,1185.05,1182.76,1071.14,1204.33,1594.28,1457.6,1203.27,1081.23,1944.35,1417.28,1526.74,1805.77,1234.85,1309.83,1277.92,1020.81,942.35,1027.38,1539.07,1048.16,933.62,922.82,849.5,854.01,801.08,801.84,794.1,1638.78,771.51,868.23
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.67,23.95,34.35,--,32.93,20.6,16.94,26.66,30.91,260.77,24.72,69.15,78.13,83.69,79.01,143.68,23.95
Total Income From Operations,2129.8,2182.08,1802.57,1890.43,1963.59,1886.67,1529.79,1426.61,1383.82,1378.24,1220.58,1254.51,1057.78,1078.51,1090.02,1210.82,1192.29,1305.18,1081.96,797.72,1185.05,1182.76,1071.14,1204.33,1594.28,1457.6,1203.27,1081.23,1944.35,1417.28,1526.74,1805.77,1234.85,1324.5,1301.87,1055.16,942.35,1060.31,1559.67,1065.1,960.28,953.73,1110.27,878.73,870.23,879.97,877.79,1717.79,915.19,892.18
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,62.7,70.56,78.97,88.07,109.53,65.76,71.27,86.37,86.93,70.64,59.75,77.38,57.19,58.44,64.88,60.01,55.51,60.92,60.2,58.38,54.63,53.4,56.65,59.93,71.36,51.26,56.16,52.11,48.39,46.67,42.87,55.85,50.09,55.22,56.65,49.03,46.03,43.04,50.53,39.32,39.03,49.33,40.15,29.05,29.22,37.43,25.58,24.77,24.32,24.44
Depreciation,170.34,163.35,163.11,163.77,162.44,167.51,165.46,160.18,152.5,152.1,154.74,153.64,149.3,153.68,155.65,156.16,153.27,155.92,155.7,154.29,156.11,137.45,130.94,128.79,126.15,111.49,121.88,114.69,116.55,113.88,120.84,126.43,136.2,135.86,133.31,135.34,118.85,143.56,132.03,124.88,120.1,125.88,122.99,119.65,109.22,121.76,120.03,104.7,97.22,91.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,633.68,467.73,457.09,742.66,657.43,637.02,777.05,364.33,304.13,909.83,1339.39,1564.59,880.57,319.4,291.84,686.2,325.5,141.67,-158.52,244.13,1406.65,439.48,797.0,341.61,335.11,59.8,783.14,588.75,850.83,109.91,323.59,622.72,98.73,343.44,254.91,284.89,279.16,279.82,300.48,273.52,280.41,279.59,328.42,246.91,273.15,273.81,231.93,709.82,238.51,215.77
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1263.08,1480.44,1103.4,895.93,1034.19,1016.38,516.01,815.73,840.26,245.67,-333.3,-541.1,-29.28,546.99,577.65,308.45,658.01,946.67,1024.58,340.92,-432.34,552.43,86.55,674.0,1061.66,1235.05,242.09,325.68,928.58,1146.82,1039.44,1000.77,949.83,789.98,857.0,585.9,498.31,593.89,1076.63,627.38,520.74,498.93,618.71,483.12,458.64,446.97,500.25,878.5,555.14,560.5
Other Income,494.9,521.08,540.27,851.51,523.75,587.51,415.93,450.17,1458.58,428.06,514.67,597.48,566.38,777.47,656.29,519.18,478.33,611.77,597.67,578.54,1199.21,559.26,633.92,510.58,572.35,465.78,852.45,452.32,478.36,407.59,380.5,340.87,395.88,283.36,295.91,272.0,382.68,282.81,263.02,236.0,177.38,224.96,169.06,164.06,171.42,172.04,250.08,86.21,115.97,35.18
"P/L Before Int., Excpt. Items & Tax",1757.98,2001.52,1643.67,1747.44,1557.94,1603.89,931.94,1265.9,2298.84,673.73,181.37,56.38,537.1,1324.46,1233.94,827.63,1136.34,1558.44,1622.25,919.46,766.87,1111.69,720.47,1184.58,1634.01,1700.83,1094.54,778.0,1406.94,1554.41,1419.94,1341.64,1345.71,1073.34,1152.91,857.9,880.99,876.7,1339.65,863.38,698.12,723.89,787.77,647.18,630.06,619.01,750.33,964.71,671.11,595.68
