Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,386.05,371.2,414.89,399.69,356.62,322.05,352.15,409.79,411.67,388.52,408.87,473.48,425.64,376.66,348.69,391.81,382.13,323.89,291.27,245.15,234.77,256.91,234.97,266.23,237.45,212.67,218.14,178.14,174.07,153.13,138.11,159.52,131.13,132.49,120.09,107.83,117.57,109.25,119.96,125.83,115.77,111.03,116.93,124.25,122.39,102.14,112.97,102.79,95.08,93.54
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.88,4.37,0.84,3.47,2.35,2.59,2.58,1.91,2.92,0.92,2.65,1.83,2.11,0.64,1.24,1.52,2.27
Total Income From Operations,386.05,371.2,414.89,399.69,356.62,322.05,352.15,409.79,411.67,388.52,408.87,473.48,425.64,376.66,348.69,391.81,382.13,323.89,291.27,245.15,234.77,256.91,234.97,266.23,237.45,212.67,218.14,178.14,174.07,153.13,138.11,159.52,131.13,136.37,124.47,108.67,121.04,111.6,122.55,128.41,117.68,113.95,117.85,126.9,124.21,104.25,113.6,104.04,96.6,95.81
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,216.77,191.3,216.14,210.17,199.16,169.37,193.42,213.2,231.26,206.58,196.3,221.85,253.14,218.54,188.36,212.84,177.95,127.71,120.36,107.93,110.54,114.46,114.72,136.5,135.97,124.59,111.79,109.01,94.33,83.18,67.43,78.89,81.61,72.41,55.21,53.06,59.17,70.56,62.87,67.82,63.08,63.74,62.36,64.33,65.0,61.23,52.03,62.98,55.85,59.37
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-7.84,0.33,10.39,1.52,-18.09,-0.67,-2.19,13.36,-10.54,-8.29,12.05,10.46,-15.6,-10.13,1.03,-12.64,-13.56,-1.02,3.56,0.2,-2.64,0.16,0.15,10.61,5.75,-8.87,1.39,-19.16,-4.05,2.0,9.76,2.7,-9.65,-3.58,12.27,1.97,0.38,-15.37,5.25,1.25,-0.53,-3.11,0.72,8.56,2.99,-8.0,9.74,-5.47,-0.46,-6.5
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.07,11.07,10.99,11.86,13.37,12.3,14.1,12.69,13.18,13.19,12.48,12.31,14.4,12.07,13.0,11.29,13.97
Employees Cost,24.82,26.09,26.75,25.89,23.65,23.26,23.12,25.11,23.01,23.6,24.17,26.86,20.2,21.16,22.15,24.62,27.51,23.98,21.3,19.92,16.96,19.04,16.96,16.69,12.65,13.54,13.98,12.61,11.15,10.06,10.32,10.46,8.5,9.99,9.92,9.82,8.25,8.69,8.43,9.35,7.99,7.09,8.38,7.73,6.28,6.38,6.83,6.43,5.43,5.28
Depreciation,17.61,17.93,18.01,17.68,17.43,16.78,12.53,12.18,11.59,10.65,11.17,11.77,11.6,7.9,7.7,7.55,7.27,7.57,7.21,7.02,7.2,6.8,6.51,6.4,6.46,5.7,5.62,5.55,3.99,3.9,3.86,3.92,4.04,3.45,3.36,3.44,3.42,3.34,3.23,2.91,2.83,2.88,2.95,2.69,2.91,2.85,2.77,2.6,2.5,2.56
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
