Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,213.29,228.3,234.11,229.36,176.73,174.89,175.33,167.71,137.16,132.99,131.88,127.95,108.89,102.0,98.3,94.47,67.09,64.77
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,213.29,228.3,234.11,229.36,176.73,174.89,175.33,167.71,137.16,132.99,131.88,127.95,108.89,102.0,98.3,94.47,67.09,64.77
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,99.07,98.29,107.12,106.51,82.18,76.14,78.66,76.82,61.46,56.97,57.38,59.05,50.73,48.43,45.39,41.9,40.94,33.47
Depreciation,5.85,5.24,4.84,4.39,3.94,3.74,3.34,3.25,3.06,3.08,2.82,2.59,2.07,3.01,2.83,2.82,2.8,2.98
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,25.55,25.6,24.96,26.94,24.04,21.15,21.4,19.49,16.31,15.5,15.12,14.13,13.49,9.88,10.31,10.13,12.75,10.82
"P/L Before Other Inc. , Int., Excpt. Items & Tax",82.82,99.18,97.19,91.52,66.57,73.87,71.94,68.16,56.33,57.43,56.56,52.17,42.59,40.68,39.78,39.63,10.61,17.49
Other Income,18.44,6.38,6.27,7.23,12.42,4.21,6.02,2.92,3.49,1.6,1.32,1.26,1.45,2.31,1.34,0.21,3.31,0.6
"P/L Before Int., Excpt. Items & Tax",101.26,105.56,103.46,98.75,79.0,78.08,77.96,71.08,59.82,59.03,57.88,53.43,44.04,42.98,41.11,39.83,13.93,18.1
Interest,3.65,3.52,2.94,1.38,1.83,1.63,1.62,1.36,1.07,1.13,0.81,0.89,0.63,0.32,0.38,0.68,0.74,0.93
P/L Before Exceptional Items & Tax,97.6,102.04,100.51,97.37,77.16,76.45,76.34,69.72,58.75,57.9,57.07,52.54,43.41,42.66,40.73,39.15,13.19,17.17
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,97.6,102.04,100.51,97.37,77.16,76.45,76.34,69.72,58.75,57.9,57.07,52.54,43.41,42.66,40.73,39.15,13.19,17.17
Tax,25.18,26.34,25.46,25.14,21.66,19.52,19.7,17.36,15.56,15.01,14.44,13.07,9.38,10.79,10.57,9.77,5.36,4.51
P/L After Tax from Ordinary Activities,72.43,75.7,75.06,72.23,55.5,56.92,56.65,52.36,43.19,42.9,42.63,39.47,34.03,31.87,30.16,29.39,7.83,12.66
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,72.43,75.7,75.06,72.23,55.5,56.92,56.65,52.36,43.19,42.9,42.63,39.47,34.03,31.87,30.16,29.39,7.83,12.66
Equity Share Capital,41.51,20.76,20.76,20.73,20.91,20.87,20.87,20.84,20.84,20.84,20.84,20.81,20.81,20.81,20.81,20.81,13.76,13.76
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,8.71,18.19,18.02,17.27,13.31,13.64,13.58,12.56,10.36,10.3,10.24,9.48,8.19,7.68,7.25,7.06,2.85,4.6
Diluted EPS,8.71,18.19,18.02,17.25,13.29,13.6,13.54,12.5,10.32,10.27,10.21,9.44,8.15,7.65,7.24,--,1.89,3.05
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
