Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Intangible Assets Under Development,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,3.12,3.12,3.74,3.74,0.0,6.86,10.54,1.07,0.0,0.0,11.61,0.0,0.0,5.27,0.0,5.27,23.75,5.66,0.0,0.0,0.0,5.66,0.0,0.0,0.02,5.68,0.0,0.0,0.0,18.07,0.0,18.07,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.12,3.12,4.44,4.44,0.0,7.56,20.72,1.39,0.0,0.0,22.11,0.0,0.0,9.74,0.0,9.74,39.41,8.83,0.0,0.0,0.0,8.83,0.0,0.0,0.0,8.83,0.0,0.0,0.0,30.58,0.0,30.58,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,3.12,3.12,5.84,5.84,0.0,8.96,7.1,1.53,0.0,0.0,8.63,19.91,4.66,6.59,1.65,32.8,50.38,9.52,0.0,0.0,0.0,9.52,0.0,0.0,0.0,9.52,19.17,14.56,0.69,6.45,0.0,40.87,50.38,0.0,7.34,23.48,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,3.2,3.2,12.32,12.32,0.0,15.52,11.89,1.87,0.0,0.0,13.76,33.48,3.9,8.55,5.39,51.33,80.6,17.12,0.0,0.0,0.0,17.12,0.0,0.0,0.0,17.28,32.39,21.54,0.86,8.53,0.0,63.32,80.6,0.0,12.52,29.15,0.0,0.0,0.0,0.0,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.68,10.68,50.04,50.04,0.0,60.72,16.97,2.26,0.0,0.0,19.23,50.68,5.4,9.48,14.63,80.19,166.58,23.38,0.0,0.09,0.0,23.47,2.97,0.0,0.0,26.45,52.41,40.1,4.99,42.63,0.0,140.13,166.58,0.0,6.44,38.17,0.0,0.0,0.0,1.21,5.67,0.0,0.0,0.0,0.0,0.0,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,20.3,20.3,163.4,163.4,0.0,183.7,3.97,3.68,0.0,0.0,7.65,133.27,4.24,9.56,2.91,149.98,341.33,38.14,0.0,4.26,0.0,42.4,45.55,0.0,0.0,87.95,31.21,39.81,93.12,89.24,0.0,253.38,341.33,0.0,3.58,76.98,0.0,0.97,0.87,43.51,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.3,20.3,175.89,175.89,0.0,196.18,4.54,8.19,0.0,0.0,12.73,102.53,5.58,13.8,8.91,130.82,339.73,69.66,0.0,20.12,0.0,89.78,43.51,0.0,0.69,134.01,59.22,41.41,26.33,78.77,0.0,205.72,339.73,0.0,3.59,24.16,0.0,0.97,0.0,43.51,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,20.3,20.3,196.54,196.54,0.0,224.06,22.61,13.37,0.0,0.29,36.26,142.29,33.31,10.76,9.92,196.28,456.6,103.88,0.0,11.29,0.0,115.17,79.02,37.53,0.97,232.69,97.22,80.68,18.34,14.68,12.99,223.91,456.6,5.39,5.97,33.38,0.0,0.97,0.97,76.76,0.0,0.0,6.92,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,21.3,21.3,236.92,236.92,0.0,266.48,47.96,19.66,0.0,0.42,68.04,144.54,43.43,24.28,9.15,221.4,555.91,124.12,0.0,33.92,0.0,158.03,76.81,53.98,2.24,291.06,93.0,139.89,3.15,19.08,9.74,264.85,555.91,0.35,3.39,27.31,0.0,0.97,0.06,76.76,0.0,0.0,3.4,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,22.32,22.32,274.46,274.46,0.0,300.83,47.39,27.46,0.05,0.63,75.54,250.68,61.63,26.24,18.31,356.85,733.22,185.46,0.0,1.7,0.0,188.15,77.97,78.51,5.58,350.21,177.55,165.44,9.86,25.17,4.99,383.01,733.22,13.36,0.66,53.24,0.0,0.97,1.05,76.76,0.0,0.0,0.0,0.0,4.04,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
