Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,368.8,0.48,369.28,124.2,48.66,-22.23,49.52,8.85,21.72,80.19,61.39,3.42,64.81,3.88,60.93,0.0,60.93,11.93,49.0,0.0,49.0,37.7,2.6,2.6,4.88,25.87,13.97,100.0,74.13
2013-03-31,374.52,1.5,376.02,108.1,33.48,25.5,50.77,8.64,22.0,74.46,53.07,0.07,53.14,1.83,51.31,0.0,51.31,11.6,39.71,0.0,39.71,37.7,2.11,2.11,4.88,25.87,13.97,100.0,74.13
2013-06-30,425.48,0.57,426.05,135.97,49.49,-13.03,56.36,9.53,20.7,102.27,64.76,0.02,64.78,1.47,63.31,0.0,63.31,13.84,49.47,0.0,49.47,37.7,2.62,2.62,4.88,25.87,13.97,100.0,74.13
2013-09-30,482.72,0.46,483.18,137.64,59.3,-7.44,59.31,9.85,31.21,108.26,85.05,0.2,85.25,2.57,82.68,0.0,82.68,18.85,63.83,0.0,63.83,37.7,3.39,3.39,4.88,25.87,13.97,100.0,74.13
2013-12-31,475.06,0.78,475.84,151.44,47.99,-24.24,62.02,10.12,27.27,108.18,93.06,0.2,93.26,3.48,89.78,0.0,89.78,21.94,67.84,0.0,67.84,37.7,3.6,3.6,4.88,25.87,13.97,100.0,74.13
2014-03-31,453.77,0.7,454.47,130.88,41.28,4.07,66.77,10.99,25.93,98.89,75.66,2.77,78.43,2.29,76.14,0.0,76.14,19.0,57.14,0.0,57.14,37.7,3.03,3.03,4.88,25.87,13.97,100.0,74.13
2014-06-30,479.65,0.63,480.28,147.28,56.46,-26.77,73.22,10.71,27.54,109.91,81.93,0.18,82.11,0.56,81.55,0.0,81.55,20.07,61.48,0.0,61.48,37.7,3.26,3.26,4.88,25.87,13.97,100.0,74.13
2014-09-30,539.33,0.83,540.16,155.01,71.27,-36.6,74.32,10.84,27.7,134.37,103.25,0.14,103.39,0.92,102.47,0.0,102.47,18.42,84.05,0.0,84.05,37.7,4.46,4.46,4.88,25.87,13.97,100.0,74.13
2014-12-31,496.92,0.83,497.75,123.61,63.95,-13.99,76.58,11.9,25.59,117.34,92.77,0.13,92.9,-0.42,93.32,0.0,93.32,19.33,73.99,0.0,73.99,37.7,3.92,3.92,4.88,25.87,13.97,100.0,74.13
2015-03-31,491.84,1.01,492.85,114.59,54.95,4.47,72.45,10.96,28.2,121.07,86.16,0.12,86.28,0.05,86.23,0.0,86.23,18.43,67.8,-0.71,67.09,37.7,3.56,3.56,4.88,25.87,13.97,100.0,74.13
2015-06-30,574.08,0.92,575.0,152.35,65.84,-4.98,84.87,12.88,40.23,128.42,95.39,0.03,95.42,0.37,95.05,0.0,95.05,18.75,76.3,0.0,76.3,37.7,4.05,4.05,4.88,25.87,13.97,100.0,74.13
2015-09-30,921.62,0.92,922.54,186.79,78.32,-38.91,114.74,13.25,57.34,184.32,326.69,0.05,326.74,0.53,326.21,0.0,326.21,73.54,252.67,0.0,252.67,37.7,13.4,13.4,4.88,25.87,13.97,100.0,74.13
