Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Money Received Against Share Warrants,Long Term Provisions,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,39.52,39.52,207.16,207.16,246.67,126.54,53.45,0.0,179.99,29.85,42.32,31.26,38.6,142.04,568.7,271.38,0.03,0.53,0.0,271.93,82.16,0.0,5.65,359.74,0.0,33.22,72.25,14.36,80.32,8.81,208.96,568.7,86.21,0.0,11.37,1.02,2.56,7.88,21.8,50.24,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,41.6,41.6,286.22,286.22,327.82,124.68,53.56,0.0,178.25,12.94,37.57,31.4,55.34,137.26,643.32,287.63,0.03,4.83,0.0,292.48,99.25,0.0,3.33,395.07,0.0,37.12,80.82,21.91,101.38,7.02,248.25,643.32,118.45,0.0,12.55,1.67,2.45,16.46,57.22,41.56,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,50.6,50.6,603.88,603.88,654.48,80.83,55.02,0.0,135.85,1.94,45.03,55.96,89.31,192.24,982.57,340.18,0.01,13.32,0.0,353.51,255.53,0.0,1.77,610.82,0.0,45.72,89.04,36.44,183.09,17.47,371.75,982.57,119.52,0.0,13.53,2.13,1.77,9.03,47.08,212.01,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,51.64,51.64,694.83,694.83,746.47,142.11,57.06,0.0,199.17,2.07,68.89,56.57,91.21,218.73,1171.24,402.81,0.03,42.46,0.0,445.3,263.98,0.0,0.78,710.06,0.0,55.19,97.89,64.4,184.71,58.98,461.17,1171.24,423.69,0.0,20.0,8.81,1.42,13.21,40.78,304.52,0.0,0.0,2.97,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,58.69,58.69,1164.78,1164.78,1223.47,289.58,58.97,0.0,348.55,16.05,73.08,67.21,140.48,296.82,1883.41,524.31,0.03,74.75,0.0,599.1,646.45,0.0,0.31,1245.86,0.0,79.09,126.16,104.56,268.19,59.56,637.55,1883.41,354.19,0.0,27.12,5.28,0.19,13.0,69.65,602.02,0.0,0.0,3.32,0.0,0.0,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,60.24,60.24,1302.91,1302.91,1363.15,432.59,62.66,0.0,495.25,16.89,77.29,75.41,197.09,366.67,2232.78,662.64,0.04,245.15,0.0,907.83,538.05,0.0,0.05,1445.92,0.0,108.84,160.74,74.62,361.43,81.23,786.86,2232.78,569.85,0.0,86.45,7.71,0.39,19.59,74.1,498.45,0.0,0.0,2.75,0.0,0.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,61.78,61.78,1479.99,1479.99,1541.78,589.99,75.15,0.0,665.13,100.0,146.28,115.82,260.74,622.85,2829.76,923.97,0.06,293.65,0.0,1217.69,489.79,0.0,0.01,1707.49,0.0,134.34,205.53,285.56,496.83,0.0,1122.27,2829.76,494.38,0.0,80.9,2.26,0.38,18.04,532.84,412.96,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,62.36,62.36,1641.3,1641.3,1772.16,558.63,107.11,5.03,876.05,117.32,179.4,142.03,68.41,507.15,3155.36,1036.36,9.39,341.16,11.24,1398.15,515.54,452.15,0.0,2365.84,108.57,150.52,269.64,141.44,100.92,18.44,789.53,3155.36,995.33,2.44,0.0,2.86,0.37,21.51,65.93,479.58,0.0,20.38,58.96,68.51,205.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,67.23,67.23,2246.33,2246.33,2352.27,421.67,170.09,4.78,862.23,138.3,170.94,157.27,77.32,543.82,3758.32,1423.88,12.12,189.32,11.62,1636.94,647.01,510.33,0.0,2794.29,117.11,182.71,353.77,186.96,97.67,25.83,964.04,3758.32,1468.14,2.17,0.0,3.45,0.36,21.85,71.37,607.64,100.18,20.38,40.78,38.71,265.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,69.56,69.56,2658.03,2658.03,2727.6,878.78,239.41,3.77,1121.95,18.93,176.34,203.76,106.0,505.03,4354.58,1677.47,14.04,357.92,14.81,2064.24,525.45,301.6,0.0,2891.29,370.59,205.39,426.61,255.47,189.93,15.31,1463.29,4354.58,1216.72,6.32,0.0,3.93,0.37,31.21,66.02,486.08,365.75,13.59,89.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
