Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-06-30,122.3,122.3,15.24,1.36,1.29,1.72,102.69,2.24,104.93,45.72,59.21,59.21,12.86,46.35,46.35,99.12,0.0,0.94,0.0
2020-09-30,130.31,130.31,16.97,1.44,0.55,2.74,108.62,3.05,111.67,44.1,67.57,67.57,14.33,53.24,53.24,94.51,0.0,1.13,1.12
2020-12-31,135.9,135.9,16.39,1.53,0.17,4.07,113.74,5.43,119.16,46.6,72.56,72.56,16.23,56.33,56.33,99.12,0.0,1.14,1.17
2021-03-31,146.16,146.16,16.81,1.34,2.94,6.07,119.0,6.16,125.16,45.65,79.5,79.5,17.57,61.93,61.93,94.93,1796.16,6.52,0.0
2021-06-30,150.39,150.39,18.76,1.44,6.16,3.39,120.64,3.63,124.27,47.14,77.13,77.13,16.99,60.13,60.13,99.12,0.0,1.21,1.24
2021-09-30,163.48,163.48,21.83,1.54,6.6,4.13,129.37,5.93,135.31,47.5,87.81,87.81,18.67,69.14,69.14,99.12,0.0,1.42,1.4
2021-12-31,175.46,175.46,17.82,1.48,7.56,3.52,145.09,5.67,150.75,42.24,108.52,108.52,23.92,84.6,84.6,99.38,0.0,1.71,1.7
2022-03-31,189.65,189.65,15.65,2.15,9.01,6.26,156.57,8.68,165.25,42.32,122.93,122.93,28.57,94.36,94.36,99.38,0.0,1.92,1.91
2022-06-30,202.03,202.03,21.66,1.66,7.32,4.02,167.37,8.03,175.4,45.85,129.55,129.55,27.62,101.93,101.93,99.38,0.0,2.05,2.04
2022-09-30,227.72,227.72,30.25,2.31,5.91,6.65,182.61,9.27,191.88,57.75,134.13,134.13,27.35,106.79,106.79,99.6,0.0,2.15,2.14
2022-12-31,245.08,245.08,27.87,1.74,5.81,6.24,203.42,7.67,211.08,68.71,142.37,142.37,36.0,106.37,106.37,99.6,0.0,2.14,2.13
2023-03-31,253.92,253.92,30.66,1.51,9.67,7.49,204.6,6.36,210.96,69.97,140.98,140.98,31.48,109.5,109.5,99.61,0.0,2.2,2.19
2023-06-30,254.54,254.54,23.51,1.95,0.89,5.09,223.1,4.73,227.83,76.0,151.83,151.83,32.91,118.92,118.92,99.61,0.0,2.39,2.38
2023-09-30,268.57,268.57,31.34,2.63,4.24,5.79,224.55,7.24,231.79,81.67,150.13,150.13,31.45,118.67,118.67,99.74,0.0,2.38,2.37
2023-12-31,276.4,276.4,32.98,2.4,6.63,6.53,227.87,8.24,236.11,80.7,155.41,155.41,34.63,120.79,120.79,99.78,0.0,2.42,2.41
2024-03-31,288.33,288.33,37.79,2.33,7.73,8.26,232.22,11.83,244.04,84.69,159.36,159.36,37.12,122.24,122.24,99.78,0.0,2.45,2.44
2024-06-30,298.97,298.97,39.12,2.6,2.38,9.26,245.61,7.46,253.07,91.07,162.0,162.0,34.73,127.27,127.27,99.78,0.0,2.55,2.54
2024-09-30,313.63,313.63,32.05,2.84,6.72,9.17,262.85,9.32,272.17,96.53,175.65,175.65,38.86,136.79,136.79,99.95,0.0,2.74,2.73
2024-12-31,329.07,329.07,28.75,3.28,9.35,8.26,279.43,8.79,288.22,108.25,179.96,179.96,38.21,141.75,141.75,99.96,0.0,2.84,2.84
2025-03-31,354.36,354.36,28.81,3.34,1.92,6.56,313.74,15.49,329.23,109.64,219.59,219.59,49.95,169.63,169.63,99.96,0.0,3.4,3.39
