Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,508.31,0.08,508.39,165.92,2.38,16.09,109.03,36.75,37.39,137.45,3.38,1.71,5.09,41.19,-36.1,0.0,-36.1,-12.37,-23.73,0.0,-23.73,15.99,-1.48,-1.48,7.17,44.84,6.93,78.6,43.36
2013-03-31,491.98,4.05,496.03,154.87,2.28,7.74,110.64,44.0,37.96,125.92,12.62,1.74,14.36,42.89,-28.53,0.0,-28.53,-11.77,-16.76,0.0,-16.76,15.99,-1.05,-1.05,7.17,44.84,6.85,77.65,42.83
2013-06-30,496.97,0.02,496.99,154.68,1.0,18.25,109.44,39.96,35.11,143.98,-5.43,1.22,-4.21,39.75,-43.96,0.0,-43.96,-14.26,-29.7,0.0,-29.7,15.99,-1.86,-1.86,7.17,44.84,6.79,77.0,42.47
2013-09-30,534.57,0.21,534.78,177.31,1.5,-12.2,113.14,40.12,36.37,164.14,14.4,1.19,15.59,41.35,-25.76,0.0,-25.76,-8.35,-17.41,0.0,-17.41,24.31,-0.88,-0.88,10.89,44.79,11.13,82.96,45.8
2013-12-31,527.96,0.42,528.38,168.93,0.99,2.39,126.31,40.36,34.85,116.43,38.12,1.13,39.25,40.25,-1.0,0.0,-1.0,-0.33,-0.67,0.0,-0.67,24.31,-0.02,-0.02,10.89,44.79,11.19,83.41,46.06
2014-03-31,545.58,0.12,545.7,175.29,1.66,2.44,120.25,44.24,30.74,123.11,47.97,1.28,49.25,41.15,8.1,0.0,8.1,0.54,7.56,0.0,7.56,24.31,0.37,0.37,11.07,45.55,10.95,82.73,45.04
2014-06-30,517.13,0.0,517.13,174.39,1.41,-7.97,117.0,41.34,33.66,125.93,31.37,0.89,32.26,37.43,-5.17,0.0,-5.17,-1.75,-3.42,0.0,-3.42,24.31,-0.14,-0.14,11.07,45.56,11.19,84.55,46.03
2014-09-30,536.04,0.0,536.04,173.77,6.94,19.96,86.21,40.84,19.63,128.66,60.03,7.1,67.13,36.19,30.94,-3.85,27.09,7.2,19.89,0.0,19.89,24.31,0.82,0.82,11.09,45.63,11.28,85.32,46.39
2014-12-31,485.19,0.0,485.19,167.14,13.77,-13.34,82.55,42.37,25.08,119.83,47.79,6.76,54.55,40.55,14.0,0.0,14.0,2.63,11.37,0.0,11.37,24.31,0.47,0.47,11.09,45.61,11.81,89.3,48.57
2015-03-31,518.85,0.81,519.66,169.07,4.89,20.55,66.16,46.21,28.81,112.67,71.3,2.06,73.36,45.16,28.2,-0.44,27.76,5.39,22.37,0.0,22.37,24.31,0.92,0.92,11.08,45.59,11.98,90.58,49.28
2015-06-30,526.13,0.0,526.13,177.89,7.16,1.87,67.96,43.9,26.14,131.48,69.73,0.96,70.69,37.22,33.47,0.0,33.47,11.59,21.88,0.0,21.88,24.31,0.9,0.9,11.08,45.59,12.04,91.0,49.52
2015-09-30,549.92,0.0,549.92,194.13,9.01,-4.68,69.86,46.57,26.43,139.2,69.4,0.91,70.31,36.07,34.24,0.0,34.24,11.84,22.4,0.0,22.4,24.31,0.92,0.92,11.08,45.59,12.17,92.05,50.08
2015-12-31,524.53,0.01,524.54,188.36,11.92,-21.45,64.47,46.35,26.51,132.62,75.76,0.66,76.42,35.98,40.44,-1.4,39.04,13.51,25.53,0.0,25.53,24.31,1.05,1.05,11.08,45.59,12.42,93.9,51.09
