Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Deferred Tax Liabilities [Net],Non-Current Investments,"Stores, Spares And Loose Tools"
2009-12-31,5.0,5.0,139.52,139.52,144.52,0.0,0.0,2.05,12.16,34.04,43.15,89.35,235.92,30.02,0.0,0.33,30.34,4.99,0.0,0.0,35.34,35.2,68.21,68.24,26.38,2.56,200.58,235.92,0.52,1.93,33.75,17.55,11.11,2.5,0.0,0.0,20.67,0.45,2.05,0.01,0.0
2011-03-31,5.0,5.0,174.69,174.69,179.69,0.52,3.1,3.62,14.38,62.71,48.29,125.37,308.68,27.45,0.0,23.93,51.39,7.54,26.91,3.29,89.13,57.2,43.71,85.39,28.33,4.92,219.55,308.68,40.6,1.58,22.5,40.44,6.91,2.5,0.0,0.0,34.3,2.82,0.0,0.01,0.06
2012-03-31,5.0,5.0,184.29,184.29,189.29,0.54,0.0,0.54,17.77,86.19,48.3,152.25,342.08,31.69,0.0,58.49,90.18,17.76,34.6,1.97,144.52,75.1,32.31,53.65,24.16,12.35,197.56,342.08,49.42,3.47,22.5,34.26,14.78,2.5,0.0,0.0,35.0,3.76,0.0,0.01,0.01
2013-03-31,5.0,5.0,94.75,94.75,99.75,0.49,0.0,0.49,90.67,77.21,37.98,205.86,306.1,24.54,0.0,73.7,98.24,0.0,34.73,8.32,141.29,85.37,27.96,18.47,20.33,12.68,164.81,306.1,37.21,4.98,7.87,14.68,14.89,2.5,0.0,0.0,27.66,0.12,0.0,0.01,0.0
2014-03-31,5.0,5.0,166.6,166.6,171.6,0.49,0.0,0.49,109.87,96.5,37.13,243.5,415.59,94.22,0.0,9.31,103.53,0.0,39.05,0.37,142.95,95.76,52.93,89.07,30.34,4.54,272.64,415.59,0.0,16.38,2.25,27.02,10.44,2.5,0.01,0.0,27.03,3.6,0.0,0.0,0.0
2015-03-31,5.0,5.0,145.76,145.76,150.76,1.02,0.0,1.02,111.27,111.6,36.95,259.82,411.59,100.99,0.0,12.21,113.19,0.0,34.55,0.59,148.33,86.13,42.77,25.08,107.46,1.81,263.26,411.59,41.56,10.54,0.0,2.35,0.93,2.5,0.01,0.0,10.26,0.54,0.0,0.0,0.0
2016-03-31,5.0,5.0,151.01,151.01,156.01,1.27,0.0,1.27,94.63,120.73,33.08,248.44,405.72,97.36,0.0,6.31,103.67,0.0,33.16,0.61,137.44,76.73,84.36,76.83,27.64,2.73,268.28,405.72,42.75,4.15,0.0,0.0,9.7,2.5,0.01,0.0,16.2,0.15,0.0,0.0,0.0
2017-03-31,5.0,5.0,217.87,217.87,222.87,0.0,2.28,2.28,87.66,75.23,27.45,190.34,415.49,86.84,0.0,4.81,91.65,40.22,2.87,29.2,163.94,57.71,43.0,115.58,1.22,34.04,251.55,415.49,17.25,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,5.0,5.0,241.93,241.93,246.93,0.0,6.66,6.66,95.34,76.63,34.98,206.95,460.54,75.46,0.0,3.57,79.03,32.55,2.64,25.4,139.62,113.15,54.63,125.92,1.24,25.98,320.92,460.54,11.85,201.49,0.0,0.0,29.96,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,5.0,5.0,295.8,295.8,300.8,0.0,2.02,2.02,168.2,56.21,34.57,258.98,561.8,74.83,0.0,6.9,81.73,23.36,2.86,49.13,157.08,118.1,79.75,173.3,0.81,32.76,404.72,561.8,32.57,196.33,0.0,0.0,23.62,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,5.0,5.0,359.44,359.44,364.44,9.3,5.38,14.68,209.72,73.16,44.36,327.24,706.36,71.53,0.0,24.24,95.77,14.64,3.9,49.73,164.04,165.15,83.21,252.52,0.8,40.64,542.32,706.36,69.19,308.0,0.0,0.0,30.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,5.0,5.0,451.17,451.17,456.17,8.63,6.41,15.04,178.37,88.21,36.92,303.5,774.71,80.96,0.0,4.02,84.98,14.53,4.33,52.11,155.95,159.8,85.19,352.35,0.36,21.06,618.76,774.71,89.17,238.2,0.0,0.0,31.77,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,5.0,5.0,506.39,506.39,511.39,5.02,7.5,12.52,188.06,104.42,40.17,332.65,856.56,74.49,0.0,2.2,76.69,16.3,0.41,57.49,150.89,140.22,85.89,448.46,0.09,31.01,705.67,856.56,124.6,255.2,0.0,0.0,44.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,5.0,5.0,583.69,583.69,588.69,3.69,8.56,12.25,227.88,114.37,41.68,383.93,984.87,68.86,0.0,1.33,70.19,20.67,0.88,57.66,149.4,190.21,107.52,500.48,0.08,37.18,835.47,984.87,132.28,374.7,0.0,0.0,61.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
