Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17
Net Sales/Income from operations,1335.85,1290.93,1215.77,1143.53,1165.95,1155.3,1094.9,1055.58,1114.62,1105.56,1115.5,1042.35,1012.02,883.27,648.19,494.33,584.48,496.11,417.86,197.15,462.25,489.17,472.57,450.56,465.86,457.34,423.17,372.59,445.57,327.53
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1335.85,1290.93,1215.77,1143.53,1165.95,1155.3,1094.9,1055.58,1114.62,1105.56,1115.5,1042.35,1012.02,883.27,648.19,494.33,584.48,496.11,417.86,197.15,462.25,489.17,472.57,450.56,465.86,457.34,423.17,372.59,445.57,327.53
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-2.29,1.74,-1.55,-1.0,0.98,-1.94,0.33,0.72,-4.09,1.35,10.37,-4.58,-6.69,-1.46,-0.99,0.27,1.08,-0.98,-1.34,0.16,-0.24,0.32,-0.21,0.47,10.31,-3.72,-1.65,0.5,-0.34,-1.74
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,13.2,14.1,13.76,14.6,18.68,16.57,16.59,14.61,14.36,16.51,13.91,10.71,17.88,13.23,11.91,11.71,14.53,11.21,12.43,13.35,15.03,10.34,13.03,9.06,10.04,9.5,10.68,11.78,9.35,9.67
Depreciation,51.67,51.66,50.03,44.68,48.82,38.26,37.39,32.63,30.72,31.06,27.43,23.75,22.48,20.98,20.68,18.59,17.14,16.07,15.02,14.29,13.55,12.93,11.67,12.55,18.2,17.11,16.13,15.87,15.86,15.33
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1059.82,1010.59,896.36,833.61,857.64,852.64,798.57,792.6,909.09,857.47,865.0,817.67,869.69,668.18,405.84,275.24,364.2,273.12,197.24,106.28,279.51,322.4,323.92,306.16,305.92,344.6,308.56,257.8,344.84,234.61
"P/L Before Other Inc. , Int., Excpt. Items & Tax",213.45,212.84,257.17,251.64,239.83,249.77,242.02,215.02,164.54,199.17,198.79,194.8,108.66,182.34,210.75,188.52,187.53,196.69,194.51,63.07,154.4,143.18,124.16,122.32,121.39,89.85,89.45,86.64,75.86,69.66
Other Income,8.63,7.68,5.64,11.71,15.87,13.06,10.1,7.59,9.75,8.2,10.06,9.11,10.18,8.06,15.03,8.23,19.18,8.77,8.04,8.37,11.73,10.33,11.61,10.72,11.64,11.68,27.57,35.79,27.05,25.77
"P/L Before Int., Excpt. Items & Tax",222.08,220.52,262.81,263.35,255.7,262.83,252.12,222.61,174.29,207.37,208.85,203.91,118.84,190.4,225.78,196.75,206.71,205.46,202.55,71.44,166.13,153.51,135.77,133.04,133.03,101.53,117.02,122.43,102.91,95.43
Interest,23.62,27.4,22.93,26.37,29.05,31.37,27.11,23.82,32.23,6.31,21.31,18.7,15.3,13.45,12.69,11.29,11.35,10.12,10.15,8.86,10.03,9.89,10.79,10.34,10.5,10.42,31.33,37.6,35.69,36.86
P/L Before Exceptional Items & Tax,198.46,193.12,239.88,236.98,226.65,231.46,225.01,198.79,142.06,201.06,187.54,185.21,103.54,176.95,213.09,185.46,195.36,195.34,192.4,62.58,156.1,143.62,124.98,122.7,122.53,91.11,85.69,84.83,67.22,58.57
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-4.48,--,-9.99,--,--,--,--,--,-2.64,-25.0,--,--,--,--
P/L Before Tax,198.46,193.12,239.88,236.98,226.65,231.46,225.01,198.79,142.06,201.06,187.54,185.21,103.54,176.95,213.09,185.46,190.88,195.34,182.41,62.58,156.1,143.62,124.98,122.7,119.89,66.11,85.69,84.83,67.22,58.57
Tax,49.08,49.68,61.77,59.89,61.31,59.18,57.22,51.1,37.81,52.67,48.2,47.37,27.75,45.37,54.2,47.06,46.06,50.21,46.74,16.25,34.03,29.15,4.55,43.43,44.21,20.61,33.5,29.49,24.38,21.3
P/L After Tax from Ordinary Activities,149.38,143.44,178.11,177.09,165.34,172.28,167.79,147.69,104.25,148.39,139.34,137.84,75.79,131.58,158.89,138.4,144.82,145.13,135.67,46.33,122.07,114.47,120.43,79.27,75.68,45.5,52.19,55.34,42.84,37.27
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,149.38,143.44,178.11,177.09,165.34,172.28,167.79,147.69,104.25,148.39,139.34,137.84,75.79,131.58,158.89,138.4,144.82,145.13,135.67,46.33,122.07,114.47,120.43,79.27,75.68,45.5,52.19,55.34,42.84,37.27
Equity Share Capital,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,256.74,256.74
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,622.16,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.36,1.3,1.62,1.61,1.5,1.57,1.53,1.34,0.95,1.35,1.27,1.25,0.69,1.2,1.44,1.26,1.32,1.32,1.23,0.42,1.11,1.04,1.1,0.72,0.69,0.41,0.47,0.5,0.17,0.34
Diluted EPS,1.36,1.3,1.62,1.61,1.5,1.57,1.53,1.34,0.95,1.35,1.27,1.25,0.69,1.2,1.44,1.26,1.32,1.32,1.23,0.42,1.11,1.04,1.1,0.72,0.69,0.41,0.47,0.5,--,0.34
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
