Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,440.15,10.67,450.82,246.66,2.66,21.27,48.06,30.84,12.86,46.09,42.38,4.89,47.27,7.81,39.46,0.0,39.46,11.56,27.9,27.9,29.66,9.41,9.41,1.47,49.64,1.49,100.0,50.36
2013-03-31,491.0,11.99,502.99,267.9,1.07,17.34,55.11,33.69,13.02,80.75,34.11,7.03,41.14,8.19,32.95,-1.07,31.88,10.44,21.44,21.44,29.66,7.23,7.23,1.47,49.64,1.49,100.0,50.36
2013-06-30,508.33,8.42,516.75,304.94,7.33,-27.78,62.6,34.61,12.55,68.95,53.55,3.15,56.7,7.33,49.37,10.16,59.53,19.08,40.45,40.45,29.66,13.64,13.64,1.47,49.52,1.5,100.0,50.48
2013-09-30,574.35,14.37,588.72,333.82,7.6,-24.8,68.03,35.52,12.44,77.98,78.13,5.01,83.14,9.07,74.07,2.69,76.76,21.22,55.54,55.54,29.66,18.72,18.72,1.47,49.45,1.5,100.0,50.55
2013-12-31,575.77,16.22,591.99,333.21,3.59,-17.8,68.31,36.53,11.94,81.63,74.58,22.91,97.49,8.36,89.13,-2.06,87.07,21.83,65.24,65.24,29.66,22.0,22.0,1.47,49.42,1.5,100.0,50.58
2014-03-31,648.07,19.92,667.99,354.9,5.17,1.64,79.05,33.19,17.3,94.1,82.64,0.34,82.98,9.25,73.73,0.0,73.73,22.17,51.56,51.56,29.66,17.38,17.38,1.46,49.38,1.5,100.0,50.62
2014-06-30,636.19,10.89,647.08,354.1,7.83,-5.98,72.36,40.07,13.56,74.87,90.27,1.52,91.79,6.17,85.62,0.0,85.62,25.84,59.78,59.78,29.66,20.15,20.15,1.46,49.37,1.5,100.0,50.63
2014-09-30,651.24,11.17,662.41,361.81,8.41,-5.25,75.14,38.36,13.67,86.97,83.3,8.56,91.86,5.73,86.13,0.0,86.13,27.06,59.07,59.07,29.66,19.92,19.92,1.46,49.36,1.46,97.14,49.19
2014-12-31,617.18,9.94,627.12,324.77,6.14,2.7,73.46,38.77,13.85,87.07,80.36,3.86,84.22,6.25,77.97,0.0,77.97,24.26,53.71,53.71,29.66,18.11,18.11,1.46,49.32,1.46,97.14,49.23
2015-03-31,605.81,13.23,619.04,292.54,5.84,24.65,73.46,36.65,14.2,105.19,66.51,1.37,67.88,5.49,62.39,0.0,62.39,17.53,44.86,44.86,29.66,15.12,15.12,1.46,49.28,1.38,91.82,46.57
2015-06-30,576.2,11.16,587.36,320.66,8.53,-37.9,66.38,40.35,14.1,90.91,84.33,8.22,92.55,5.27,87.28,0.0,87.28,27.23,60.05,60.05,29.66,20.24,20.24,1.46,49.28,1.38,91.82,46.57
2015-09-30,632.37,12.58,644.95,324.43,5.54,-9.83,67.15,41.56,14.79,91.51,109.8,14.81,124.61,6.31,118.3,2.67,120.97,36.51,84.46,84.46,29.66,28.48,28.48,1.46,49.17,1.38,91.84,46.68
2015-12-31,592.18,13.52,605.7,296.58,2.92,3.78,65.32,44.09,15.74,89.25,88.02,7.14,95.16,7.68,87.48,0.0,87.48,26.54,60.94,60.94,29.66,20.54,20.54,1.46,49.17,1.38,91.84,46.68
2016-03-31,606.47,14.42,620.89,292.38,2.69,15.93,64.47,46.19,17.06,93.86,88.31,15.57,103.88,6.58,97.3,0.0,97.3,34.69,62.61,62.61,29.66,21.11,21.11,0.0,0.0,0.0,0.0,0.0
2016-06-30,622.91,12.72,635.63,324.58,3.82,-0.78,67.9,43.54,20.44,79.5,96.63,5.62,102.25,7.23,95.02,0.0,95.02,14.48,80.54,80.54,29.66,27.15,27.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,685.18,13.61,698.79,327.23,5.05,4.88,84.21,44.17,22.34,90.31,120.6,10.57,131.17,5.07,126.1,0.0,126.1,43.78,82.32,82.32,29.66,27.76,27.76,0.0,0.0,0.0,0.0,0.0
2016-12-31,626.57,13.71,640.28,313.61,4.51,-5.98,81.62,43.88,23.41,93.83,85.4,3.18,88.58,5.81,82.77,0.0,82.77,24.19,58.58,58.58,29.66,19.75,19.75,0.0,0.0,0.0,0.0,0.0
2017-03-31,719.57,0.0,719.57,359.09,4.66,19.5,82.08,41.64,24.93,111.22,76.45,23.09,99.54,2.91,96.63,0.0,96.63,32.77,63.86,63.86,29.66,21.52,21.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,649.98,0.0,649.98,369.21,5.19,-20.79,77.34,42.88,25.96,99.97,50.22,4.45,54.67,2.62,52.05,0.0,52.05,17.62,34.43,34.43,29.66,11.61,11.61,0.0,0.0,0.0,0.0,0.0
2017-09-30,787.25,0.0,787.25,396.14,0.89,37.16,85.81,44.92,26.11,97.47,98.75,7.85,106.6,2.66,103.94,0.0,103.94,33.87,70.07,70.07,29.66,23.62,23.62,0.0,0.0,0.0,0.0,0.0
2017-12-31,803.68,0.0,803.68,411.37,1.25,23.25,87.16,45.63,25.91,108.95,100.16,0.5,100.66,1.85,98.81,0.0,98.81,32.82,65.99,65.99,29.66,22.25,22.25,0.0,0.0,0.0,0.0,0.0
2018-03-31,866.58,0.0,866.58,471.55,0.76,-2.8,85.95,47.91,26.8,117.85,118.56,25.66,144.22,1.77,142.45,0.0,142.45,42.53,99.92,99.92,29.66,33.68,33.68,0.0,0.0,0.0,0.0,0.0
2018-06-30,888.06,0.0,888.06,527.33,1.34,-51.33,108.53,48.83,26.98,111.39,114.99,13.29,128.28,0.91,127.37,0.0,127.37,43.18,84.19,84.19,29.66,28.38,28.38,0.0,0.0,0.0,0.0,0.0
2018-09-30,1007.42,0.0,1007.42,561.23,1.73,-31.27,107.07,53.38,27.31,125.28,162.69,18.79,181.48,1.1,180.38,0.0,180.38,61.36,119.02,119.02,29.66,40.13,40.13,0.0,0.0,0.0,0.0,0.0
2018-12-31,1019.49,0.0,1019.49,544.47,0.82,-9.18,92.33,55.02,27.64,124.59,183.8,-4.65,179.15,0.82,178.33,0.0,178.33,61.44,116.89,116.89,29.66,39.41,39.41,0.0,0.0,0.0,0.0,0.0
2019-03-31,1000.84,0.0,1000.84,480.18,1.32,31.08,83.58,61.34,30.06,150.56,162.72,3.93,166.65,0.83,165.82,0.0,165.82,57.28,108.54,108.54,29.66,36.59,36.59,0.0,0.0,0.0,0.0,0.0
2019-06-30,993.3,0.0,993.3,501.74,1.44,-9.65,83.95,58.93,28.53,140.09,188.27,9.54,197.81,0.41,197.4,0.0,197.4,67.67,129.73,129.73,29.66,43.74,43.74,0.0,0.0,0.0,0.0,0.0
2019-09-30,1013.02,0.0,1013.02,508.97,2.75,-19.02,93.82,63.18,29.0,149.45,184.87,24.44,209.31,0.35,208.96,0.0,208.96,0.62,208.34,208.34,29.66,70.24,70.24,0.0,0.0,0.0,0.0,0.0
2019-12-31,978.03,0.0,978.03,436.03,1.12,24.65,92.72,62.8,29.08,129.01,202.62,10.18,212.8,1.26,211.54,0.0,211.54,51.68,159.86,159.86,29.66,53.89,53.89,0.0,0.0,0.0,0.0,0.0
2020-03-31,921.31,0.0,921.31,396.98,33.03,2.66,92.93,64.34,30.45,149.4,151.52,33.45,184.97,0.33,184.64,0.0,184.64,42.4,142.24,142.24,29.66,47.95,47.95,0.0,0.0,0.0,0.0,0.0
2020-06-30,602.75,0.0,602.75,231.48,28.36,-5.95,51.73,60.87,29.49,94.33,112.44,41.07,153.51,0.27,153.24,0.0,153.24,36.28,116.96,116.96,29.66,39.43,39.43,0.0,0.0,0.0,0.0,0.0
2020-09-30,957.03,0.0,957.03,401.85,43.72,-4.32,82.21,61.47,29.66,125.03,217.41,8.22,225.63,0.69,224.94,0.0,224.94,55.26,169.68,169.68,29.66,57.21,57.21,0.0,0.0,0.0,0.0,0.0
2020-12-31,874.56,0.0,874.56,389.02,27.13,-27.52,78.43,62.46,29.49,129.98,185.57,38.6,224.17,0.5,223.67,0.0,223.67,48.6,175.07,175.07,29.66,59.02,59.02,0.0,0.0,0.0,0.0,0.0
2021-03-31,1078.01,0.0,1078.01,502.66,40.52,-25.52,88.21,64.3,31.59,165.66,210.59,15.82,226.41,0.51,225.9,0.0,225.9,56.72,169.18,169.18,29.59,57.06,57.06,0.0,0.0,0.0,0.0,0.0
