Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,25.38,25.38,730.99,730.99,756.37,58.3,0.0,0.0,409.34,267.35,129.05,26.04,20.25,442.69,1643.4,473.0,0.0,111.6,0.0,584.6,148.89,0.0,0.0,739.68,0.0,259.64,456.85,37.41,149.48,0.34,903.72,1643.4,98.65,0.0,31.94,642.04,2.83,17.35,0.0,148.89,0.0,0.0,351.04,6.19,511.75,0.0,27.84,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.39,25.39,763.2,763.2,788.59,76.57,0.0,0.0,510.35,395.34,183.59,11.56,10.99,601.48,1935.42,578.05,16.73,176.5,0.0,771.28,151.27,0.0,0.0,943.14,0.0,323.58,441.38,13.8,213.5,0.02,992.28,1935.42,114.91,0.0,28.69,554.62,8.1,17.35,0.0,151.27,0.0,0.0,433.78,20.59,498.21,0.0,32.48,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,26.63,26.63,878.78,878.78,905.41,94.43,0.0,0.0,752.98,546.67,267.93,16.6,13.68,844.88,2503.31,681.68,36.74,145.45,0.0,863.87,174.16,0.0,0.0,1060.6,0.0,383.44,569.0,142.07,348.2,0.0,1442.71,2503.31,130.82,0.0,31.65,816.33,16.62,17.35,0.04,174.12,0.0,0.0,658.55,22.57,667.71,0.0,29.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,26.67,26.67,902.63,902.63,929.3,86.79,0.0,0.0,1436.93,626.2,314.8,8.05,23.63,972.68,3338.93,710.65,1.83,183.14,0.0,895.62,202.73,0.0,0.0,1117.92,0.0,547.28,624.41,500.07,549.25,0.0,2221.01,3338.93,79.47,0.0,52.06,1096.83,64.46,17.35,0.03,202.7,0.0,0.0,1350.14,19.57,948.79,0.0,38.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,26.88,26.88,1193.72,1193.72,1220.6,92.04,0.0,0.0,1236.75,610.94,403.65,10.37,33.8,1058.76,3516.11,826.07,1.01,124.69,0.0,951.77,290.04,0.0,0.0,1261.39,0.0,651.23,798.97,239.32,565.2,0.0,2254.72,3516.11,180.41,0.0,69.87,1339.5,98.29,17.35,0.03,287.92,0.0,0.0,1144.71,19.58,1018.34,0.0,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,26.88,26.88,1293.95,1293.95,1320.83,97.13,0.0,0.0,1231.23,980.58,415.11,82.78,30.77,1509.24,4061.3,871.94,0.93,285.96,0.0,1158.83,277.74,0.0,0.0,1455.3,0.0,735.52,1105.67,86.94,677.87,0.0,2606.0,4061.3,90.03,0.0,55.38,1746.65,100.38,17.35,0.02,269.39,0.0,0.0,1134.1,18.73,1187.3,0.0,67.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,27.86,27.86,1886.5,1886.5,1914.36,111.11,0.0,0.0,951.72,1104.17,514.27,94.56,39.37,1752.37,4618.45,1041.38,3.96,499.47,0.0,1544.81,379.24,0.0,0.0,1940.09,0.0,944.82,1151.35,4.56,576.29,1.34,2678.36,4618.45,139.04,0.0,58.99,2086.37,125.88,17.35,0.05,370.87,0.0,0.0,840.61,16.04,1251.77,0.0,77.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,29.11,29.11,2540.5,2540.5,2569.61,121.82,0.0,3.1,599.86,1220.91,733.14,663.33,54.32,2671.7,5841.17,1349.72,0.17,0.0,0.0,1886.62,493.04,196.44,0.12,2576.22,0.04,1261.02,1480.29,122.21,375.08,26.31,3264.95,5841.17,0.0,0.0,63.26,2696.98,235.34,17.35,0.0,493.04,0.07,0.0,474.94,0.0,1506.15,14.29,82.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,29.11,29.11,2464.06,2464.06,2493.17,3.79,0.0,4.12,841.65,1608.21,584.85,405.78,57.55,2656.39,5991.21,1626.65,0.09,0.0,0.0,2184.82,610.32,178.49,0.12,2973.75,18.68,1219.26,1426.28,14.01,262.48,76.75,3017.46,5991.21,0.0,0.0,361.33,2923.99,54.01,17.35,0.0,610.32,0.05,18.64,833.74,0.0,1384.51,12.34,73.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,29.12,29.12,2909.98,2909.98,2939.1,67.94,0.0,8.5,1117.5,1733.9,901.28,68.04,64.75,2767.97,6824.57,2011.91,0.0,0.0,0.0,2178.25,707.94,289.1,18.58,3193.87,0.04,1431.73,1730.59,114.57,275.98,77.79,3630.7,6824.57,0.0,0.0,116.64,3871.01,34.6,17.35,0.0,707.94,0.04,0.0,1041.06,0.0,1784.58,8.44,34.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
