Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,949.93,949.93,661.62,0.0,87.49,33.97,27.13,48.47,91.25,5.64,96.89,21.6,75.29,0.0,75.29,15.07,60.22,60.22,24.43,2.47,2.46,14.43,59.07,10.0,100.0,40.93
2013-03-31,744.74,744.74,1674.33,0.0,-1184.95,40.35,26.18,91.35,97.48,25.9,123.38,26.65,96.73,0.0,96.73,25.75,70.98,70.98,24.43,2.91,2.9,14.43,59.07,10.0,100.0,40.93
2013-06-30,681.62,681.62,223.36,0.0,339.75,29.42,26.58,40.15,22.36,7.91,30.27,40.04,-9.77,0.0,-9.77,0.0,-9.77,-9.77,24.43,-0.4,-0.4,14.43,59.07,10.0,100.0,40.93
2013-09-30,568.3,568.3,6.61,0.0,548.36,32.08,27.49,44.33,-90.57,3.93,-86.64,33.52,-120.16,0.0,-120.16,1.95,-122.11,-122.11,24.43,-4.99,-4.98,14.43,59.07,10.0,100.0,40.93
2013-12-31,690.71,690.71,404.17,0.0,221.09,33.57,27.46,39.95,-35.53,5.58,-29.95,20.81,-50.76,0.0,-50.76,0.0,-50.76,-50.76,24.48,-2.07,-2.07,14.48,59.16,10.0,100.0,40.84
2014-03-31,699.98,699.98,1641.4,0.0,-1318.52,45.58,27.0,93.19,211.33,8.51,219.84,22.86,196.98,0.0,196.98,7.08,189.9,189.9,24.48,7.76,7.75,14.48,59.16,10.0,100.0,40.84
2014-06-30,804.36,804.36,246.61,0.0,437.7,34.41,21.87,39.0,24.77,2.69,27.46,31.42,-3.96,0.0,-3.96,0.0,-3.96,-3.96,24.49,-0.16,-0.16,14.49,59.17,10.0,100.0,40.83
2014-09-30,682.61,682.61,-42.63,0.0,657.76,31.91,39.99,35.48,-39.9,3.95,-35.95,27.95,-63.9,0.0,-63.9,0.0,-63.9,-63.9,24.49,-2.61,-2.61,14.49,59.17,10.0,100.0,40.83
2014-12-31,841.69,841.69,533.46,0.0,247.78,37.81,25.71,49.37,-52.44,2.93,-49.51,16.18,-65.69,0.0,-65.69,0.0,-65.69,-65.69,24.49,-2.68,-2.68,14.49,59.17,10.0,100.0,40.83
2015-03-31,658.32,658.32,1346.1,0.0,-916.83,46.17,28.03,80.43,74.42,9.51,83.93,26.54,57.39,0.0,57.39,-18.43,75.82,75.82,24.49,3.1,3.09,14.49,59.17,10.0,100.0,40.83
2015-06-30,636.12,636.12,140.85,0.0,441.37,34.37,28.05,34.76,-43.28,4.38,-38.9,29.68,-68.58,-4.16,-72.74,0.0,-72.74,-72.74,24.49,-2.97,-2.97,14.49,59.17,10.0,100.0,40.83
2015-09-30,501.07,501.07,3.56,0.0,422.99,33.58,28.37,37.55,-24.98,30.1,5.12,19.54,-14.42,0.0,-14.42,0.0,-14.42,-14.42,24.49,-0.59,-0.59,14.49,59.17,10.0,100.0,40.83
2015-12-31,848.88,848.88,527.54,0.0,110.59,38.49,27.45,52.73,92.08,3.48,95.56,7.58,87.98,0.0,87.98,0.18,87.8,87.8,24.49,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2016-03-31,770.6,770.6,1440.59,0.0,-1111.18,44.99,26.24,84.57,285.39,6.59,291.98,18.8,273.18,-168.94,104.24,5.46,98.78,98.78,24.49,4.03,4.03,0.0,0.0,0.0,0.0,0.0
2016-06-30,826.83,826.83,46.82,0.0,490.3,34.09,26.78,69.87,158.97,5.31,164.28,21.19,143.09,0.0,143.09,32.39,110.7,110.7,24.49,4.52,4.52,0.0,0.0,0.0,0.0,0.0
2016-09-30,887.48,887.48,3.12,0.0,633.61,37.34,27.36,40.7,145.35,4.08,149.43,11.95,137.48,0.0,137.48,31.48,106.0,106.0,24.5,4.33,4.33,0.0,0.0,0.0,0.0,0.0
2016-12-31,937.28,937.28,820.08,0.0,-255.78,44.16,25.63,82.53,220.66,9.69,230.35,2.8,227.55,0.0,227.55,52.35,175.2,175.2,24.5,7.15,7.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,846.09,846.09,1706.83,0.0,-1287.65,65.32,25.17,96.76,239.66,5.86,245.52,19.49,226.03,0.0,226.03,25.64,200.39,200.39,23.5,8.29,8.29,0.0,0.0,0.0,0.0,0.0
