headline,link,date_str,parsed_date_iso,sentiment_score
Bata India Q3 profit grows marginally to Rs 58.6 crore on weak demand,https://www.financialexpress.com/business/industry-bata-india-q3-profit-grows-marginally-to-rs-58-6-crore-on-weak-demand-3745406/,2025-02-11T01:15:00+05:30,2025-02-10T19:45:00,-0.128
Bata India rolls out VRS scheme at Hosur facility,https://www.financialexpress.com/business/industry-bata-india-rolls-out-vrs-scheme-at-hosur-facility-3703758/,2024-12-31T02:15:00+05:30,2024-12-30T20:45:00,0.0
"Bata posts Q2 profit jump of 52.9% at Rs 51.98 crore despite subdued consumption, premiumisation strategy at play",https://www.financialexpress.com/business/industry-bata-posts-q2-profit-jump-of-52-9-at-rs-5198-crore-despite-subdued-consumption-premiumisation-strategy-at-play-3656743/,2024-11-05T11:12:41+05:30,2024-11-05T05:42:41,0.6486
"Bata India Q4 Results: Profit drops by 3% to Rs 63.65 crore, dividend of Rs 12 announced",https://www.financialexpress.com/business/industry-bata-india-q4-results-profit-drops-by-3-to-rs-63-65-crore-dividend-of-rs-12-announced-3507118/,2024-05-30T14:35:05+05:30,2024-05-30T09:05:05,0.4404
Bata collaborates with Easyrewardz for ‘BataClub’ Loyalty Program,https://www.financialexpress.com/business/industry-bata-collaborates-with-easyrewardz-for-bataclub-loyalty-program-3347507/,2023-12-26T11:47:40+05:30,2023-12-26T06:17:40,0.5423
"How did Bata, a European shoe company become Indian outshining the local brands? Here’s why Sushant Singh Rajput was signed as its brand ambassador",https://www.financialexpress.com/life/lifestyle-how-did-bata-an-european-shoe-company-become-indian-outshining-the-local-brands-heres-why-sushant-singh-rajput-was-signed-as-its-brand-ambassador-3201228/,2023-08-18T08:30:00+05:30,2023-08-18T03:00:00,0.0
Bata India shares spike 6% on Adidas partnership speculations,https://www.financialexpress.com/market/bata-india-shares-spike-6-on-adidas-partnership-speculations-3214251/,2023-08-18T08:12:16+05:30,2023-08-18T02:42:16,0.296
Bata in strategic partnership talks with Adidas for India market,https://www.financialexpress.com/business/industry-bata-in-strategic-partnership-talks-with-adidas-for-india-market-3214156/,2023-08-18T02:40:00+05:30,2023-08-17T21:10:00,0.0
"Bata Q1 profit declines 10.5% to Rs 106.89 crore on subdued demand, revenue up 1.6%",https://www.financialexpress.com/business/industry-bata-q1-profit-declines-10-5-to-rs-10689-crore-on-subdued-demand-revenue-up-16-3205651/,2023-08-10T09:43:35+05:30,2023-08-10T04:13:35,0.34
"Bata’s premium category brands like Marie Claire, Red Label gain market shares",https://www.financialexpress.com/business/industry-batas-premium-category-brands-like-marie-claire-red-label-gain-market-shares-3178639/,2023-07-20T02:45:00+05:30,2023-07-19T21:15:00,0.7964
