Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,36.87,36.87,564.37,564.37,601.24,1.8,0.0,0.0,34.33,31.48,135.37,971.34,51.44,1189.63,1825.2,133.85,0.0,1.78,0.0,135.63,2.79,16.94,0.0,32.37,187.73,573.27,443.56,507.95,101.1,11.59,1637.47,1825.2,31.43,0.45,43.44,0.36,2.53,0.0,0.0,32.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,36.87,36.87,697.81,697.81,734.68,0.0,0.0,0.0,23.05,74.91,261.47,875.49,189.0,1400.88,2158.6,116.58,0.0,6.25,0.0,122.83,2.53,20.4,0.0,40.3,186.05,620.8,608.2,396.29,337.54,9.73,1972.55,2158.6,33.49,2.27,39.09,0.0,2.53,0.0,0.0,23.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,36.87,36.87,842.84,842.84,879.71,0.0,0.0,0.0,19.69,24.88,301.3,883.01,34.6,1243.78,2143.18,125.2,0.0,17.59,0.0,142.79,2.53,18.56,0.0,25.81,189.69,649.08,770.21,380.0,148.19,6.01,1953.5,2143.18,108.9,4.57,44.59,0.0,2.53,0.0,0.0,19.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,36.87,36.87,996.61,996.61,1033.49,0.0,0.0,0.0,20.17,25.57,311.65,843.42,49.52,1230.17,2283.83,143.86,0.0,28.26,0.0,172.12,2.53,18.94,0.0,18.9,212.47,729.28,904.26,347.84,83.99,5.99,2071.35,2283.83,150.3,16.09,85.53,0.0,2.53,0.0,0.0,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,41.77,41.77,1663.93,1663.93,1705.7,0.0,0.0,0.0,24.94,303.27,14.82,1289.59,67.75,1675.43,3406.07,210.58,0.0,24.63,0.0,235.21,7.95,27.97,0.0,13.94,285.07,929.58,1496.06,521.1,168.36,5.91,3121.0,3406.07,125.55,2.7,33.62,0.0,7.94,0.0,0.0,24.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,41.77,41.77,1873.6,1873.6,1915.38,0.0,0.0,0.0,31.73,567.64,722.07,411.19,536.15,2237.06,4184.16,255.49,0.0,23.61,0.0,279.1,7.95,31.69,0.0,8.3,327.03,1620.58,1545.27,263.51,421.63,6.15,3857.13,4184.16,150.71,15.76,282.79,0.0,7.95,0.0,0.0,31.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,41.77,41.77,1996.07,1996.07,2037.84,0.0,0.0,0.0,33.64,908.55,450.58,441.66,560.88,2361.68,4433.16,273.87,0.0,32.21,0.0,306.08,8.2,67.84,0.0,1.45,383.57,1653.0,1360.74,567.15,461.96,6.73,4049.58,4433.16,206.49,9.69,133.91,0.0,8.2,0.0,0.0,33.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,41.77,41.77,2097.27,2097.27,2139.04,127.8,82.03,75.38,285.21,671.64,440.06,465.06,243.77,1820.52,4244.77,362.51,27.02,79.46,0.0,468.99,8.2,46.04,271.23,5.8,800.26,1888.91,1168.04,48.28,218.91,120.36,3444.51,4244.77,833.86,13.52,179.37,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,41.77,41.77,2130.31,2130.31,2172.09,247.69,417.07,121.13,785.9,695.25,474.82,609.16,197.89,1977.11,4935.09,501.7,27.52,23.86,0.0,553.09,4.43,62.77,280.99,5.23,906.51,2420.64,792.46,192.47,407.41,215.6,4028.58,4935.09,1295.02,683.5,116.12,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,41.77,41.77,2038.26,2038.26,2080.03,498.11,406.04,149.17,1053.31,716.2,489.56,680.89,195.15,2081.79,5215.14,502.54,28.21,113.23,28.56,672.53,2.58,105.24,282.98,2.46,1065.78,2456.2,861.51,76.92,386.13,367.04,4149.36,5215.14,148.96,672.9,179.42,0.0,2.58,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,41.77,41.77,2038.07,2038.07,2079.84,465.2,379.4,135.87,980.47,439.43,385.8,758.92,116.37,1700.52,4760.83,477.75,20.94,135.34,37.54,671.57,2.58,100.05,297.61,4.28,1076.09,2152.1,977.36,16.23,234.38,303.38,3684.75,4760.83,911.84,428.43,73.25,0.0,2.58,1.29,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,41.77,41.77,2034.98,2034.98,2076.76,413.93,316.97,164.36,895.26,178.24,543.29,771.42,125.97,1618.91,4590.93,454.56,14.15,149.95,41.75,660.41,2.58,101.38,233.91,4.07,1002.34,1921.2,991.7,144.73,166.32,363.84,3588.58,4590.93,1020.95,313.85,258.46,0.0,2.58,1.86,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.77,41.77,2067.59,2067.59,2109.36,362.65,363.99,160.64,887.29,145.42,408.21,617.51,155.17,1326.31,4322.96,523.06,17.16,58.83,45.05,644.1,2.58,103.52,228.16,4.34,982.7,1696.32,1208.05,65.56,206.82,162.89,3340.27,4322.96,1138.59,439.67,140.0,0.0,2.58,1.86,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,41.77,41.77,2139.78,2139.78,2181.55,310.52,342.31,174.94,827.78,112.85,496.85,925.97,149.4,1685.07,4694.4,518.44,52.42,79.42,0.0,650.29,2.58,111.18,16.8,101.83,882.67,1974.46,1430.37,14.01,8.22,384.16,3811.73,4694.4,0.0,0.0,0.0,0.0,2.58,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,41.77,41.77,2158.46,2158.46,2200.24,304.49,333.75,166.37,804.6,135.02,535.16,662.96,336.69,1669.83,4674.67,530.84,52.01,68.02,0.0,650.88,2.58,138.27,8.59,126.72,927.03,1799.51,1642.23,2.34,8.18,294.93,3747.63,4674.67,938.6,3.96,0.23,0.0,2.58,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
