Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,819.0,3.2,822.2,465.2,61.0,-17.5,35.5,11.7,177.8,88.5,8.5,97.0,7.3,89.7,0.0,89.7,24.3,65.4,65.4,69.26,1.89,1.89,8.47,24.46,26.16,100.0,75.54
2013-03-31,734.09,2.22,736.31,369.96,58.38,8.51,32.96,12.68,181.18,72.64,8.86,81.5,7.17,74.33,0.0,74.33,23.43,50.9,50.9,69.26,1.47,1.47,8.47,24.46,26.16,100.0,75.54
2013-06-30,816.16,2.19,818.35,423.67,66.86,8.02,42.34,12.43,187.39,77.64,7.46,85.1,6.69,78.41,0.0,78.41,23.25,55.16,55.16,69.26,1.59,1.59,8.66,25.0,25.97,100.0,75.0
2013-09-30,827.29,3.26,830.55,463.56,71.01,-35.09,40.99,13.52,199.29,77.27,7.32,84.59,9.0,75.59,0.0,75.59,20.06,55.53,55.53,69.29,1.6,1.6,8.68,25.04,25.97,100.0,74.96
2013-12-31,879.24,3.54,882.78,460.96,78.14,-0.69,41.29,14.84,196.8,91.44,7.21,98.65,8.74,89.91,0.0,89.91,24.26,65.65,65.65,69.3,1.89,1.89,8.68,25.04,25.97,100.0,74.96
2014-03-31,850.03,3.11,853.14,424.75,90.17,0.56,34.12,17.48,201.01,85.05,8.6,93.65,9.83,83.82,0.0,83.82,25.88,57.94,57.94,69.3,1.67,1.67,8.68,25.04,25.97,100.0,74.96
2014-06-30,937.85,2.71,940.56,479.6,78.18,6.1,47.22,18.14,217.68,93.64,9.1,102.74,8.58,94.16,0.0,94.16,31.61,62.55,62.55,69.3,1.81,1.81,8.68,25.04,25.97,100.0,74.96
2014-09-30,957.42,3.43,960.85,539.39,86.71,-63.41,45.92,18.2,242.66,91.38,7.12,98.5,9.63,88.87,0.0,88.87,29.45,59.42,59.42,69.33,1.71,1.71,8.68,25.03,25.99,100.0,74.97
2014-12-31,974.89,3.41,978.3,469.33,76.68,23.78,46.08,22.5,230.21,109.72,8.6,118.32,8.59,109.73,0.0,109.73,36.36,73.37,73.37,69.33,2.12,2.12,8.68,25.03,25.99,100.0,74.97
2015-03-31,922.26,4.54,926.8,434.91,86.07,8.8,39.0,19.78,236.21,102.03,9.37,111.4,7.92,103.48,0.0,103.48,32.8,70.68,70.68,69.33,1.02,1.02,17.36,25.03,51.97,100.0,74.97
