headline,link,date_str,parsed_date_iso,sentiment_score
Bharat Forge surges 5% on rising India-Pakistan tension: Can defence orderbook fuel FY26 growth?,https://www.financialexpress.com/market/bharat-forge-surges-5-on-rising-india-pakistan-tension-can-defence-orderbook-fuel-fy26-growth-3838507/,2025-05-09T13:20:57+05:30,2025-05-09T07:50:57,0.1779
Bharat Forge logs 24% rise in Q4 profit,https://www.financialexpress.com/business/industry-bharat-forge-logs-24rise-in-q4-profit-3837680/,2025-05-08T22:13:15+05:30,2025-05-08T16:43:15,0.4404
Defence stocks yielding high dividend? 3 stocks that stand out amidst growing India-Pak tension,https://www.financialexpress.com/market/defence-stocks-yielding-high-dividend-3-stocks-that-stand-out-amidst-growing-india-pak-tension-3830124/,2025-05-02T12:47:40+05:30,2025-05-02T07:17:40,-0.0516
Auto parts maker to face Trump’s 25% tariff heat,https://www.financialexpress.com/auto/news/auto-parts-maker-to-face-trumps-25-tariff-heat/3793044/,2025-03-30T06:02:15+05:30,2025-03-30T00:32:15,0.0
"Trump Tariff impact: Nomura lists 3 key concerns for Tata Motors, Bharat Forge",https://www.financialexpress.com/market/trump-tariff-impact-nomura-lists-3-key-concerns-for-tata-motors-bharat-forge-3791355/,2025-03-28T14:37:53+05:30,2025-03-28T09:07:53,0.0
Bharat Forge signs ATAG deal with MoD,https://www.financialexpress.com/business/industry-bharat-forge-sings-atag-deal-with-mod-3790899/,2025-03-28T06:56:39+05:30,2025-03-28T01:26:39,0.0
"Trump tariff: CLSA lists impact on Tata Motors, Bharat Forge and 2 more",https://www.financialexpress.com/market/trump-tariff-clsa-lists-impact-on-tata-motors-bharat-forge-and-2-more-3790369/,2025-03-27T14:13:40+05:30,2025-03-27T08:43:40,0.0
Why is Bharat Forge falling today? 4 things that investors need to know now,https://www.financialexpress.com/market/why-is-bharat-forge-falling-today-4-things-that-investors-need-to-know-now-3789995/,2025-03-27T11:00:05+05:30,2025-03-27T05:30:05,-0.1531
From Adani Group to Piramal Enterprises – Here are 8 stocks to watch,https://www.financialexpress.com/market/stocks-to-watch-adani-group-wipro-hul-bharti-airtel-jb-pharma-bharat-forge-nbcc-piramal-enterprises-3789838/,2025-03-27T06:44:35+05:30,2025-03-27T01:14:35,0.0
Stocks To Watch: From Bharat Forge to Waaree Energies- Here’s a list of 10 stocks in news today,https://www.financialexpress.com/market/stocks-to-watch-from-bharat-forge-to-waaree-energies-heres-a-list-of-10-stocks-in-news-today-3754774/,2025-02-20T06:39:56+05:30,2025-02-20T01:09:56,0.2263
This BSE 100 company declared 125% dividend; record date set on February 18,https://www.financialexpress.com/market/this-bse-100-company-declared-125-dividend-record-date-set-on-feb-18-3751635/,2025-02-17T12:00:55+05:30,2025-02-17T06:30:55,0.0
Bharat Forge’s net profit declines 16.38%; setting up aerospace facility with Liebherr,https://www.financialexpress.com/business/express-mobility-bharat-forges-net-profit-declines-16-38-setting-up-aerospace-facility-with-liebherr-3747728/,2025-02-13T02:15:00+05:30,2025-02-12T20:45:00,0.4404
