Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2015-03-31,2.86,2.86,0.0,1.12,0.72,2.7,-1.68,0.27,-1.42,-0.52,-0.9,-0.9,0.09,-0.98,-0.98,10.25,-0.96,-0.96
2015-12-31,2.03,2.03,0.0,1.57,0.55,1.85,-1.94,0.03,-1.91,0.02,-1.93,-1.93,-0.03,-1.9,-1.9,10.25,-1.85,-1.85
2016-03-31,2.14,2.14,0.0,1.69,0.54,1.91,-2.0,1.58,-0.42,-0.22,-0.2,-0.2,-0.21,0.01,0.01,10.25,0.01,0.01
2016-06-30,5.06,5.06,0.0,1.9,0.34,2.38,0.45,0.14,0.59,0.06,0.52,0.52,0.15,0.38,0.38,10.25,0.37,0.37
2016-09-30,5.89,5.89,0.0,1.82,0.37,2.21,1.49,0.09,1.57,0.07,1.5,1.5,0.5,1.0,1.0,10.25,0.97,0.97
2016-12-31,6.21,6.21,0.0,2.0,0.46,2.27,1.48,0.08,1.56,0.06,1.51,1.51,0.52,0.99,0.99,10.25,0.97,0.97
2017-03-31,6.93,6.93,0.0,2.57,0.43,4.42,-0.49,1.43,0.94,0.07,0.87,0.87,0.11,0.76,0.76,10.25,0.75,0.75
2017-06-30,11.76,11.76,0.0,2.9,0.58,5.09,3.18,0.31,3.49,0.04,3.45,3.45,1.07,2.37,2.37,10.25,0.23,0.23
2017-09-30,9.07,9.07,0.0,3.12,0.58,4.22,1.15,5.07,6.22,0.07,6.14,6.14,1.16,4.98,4.98,10.25,0.49,0.49
2017-12-31,10.03,10.03,0.0,3.21,0.68,4.16,1.99,0.19,2.18,0.12,2.06,2.06,0.62,1.44,1.44,10.25,0.14,0.14
2018-03-31,10.03,10.03,0.0,3.5,0.57,5.23,0.73,0.51,1.23,0.17,1.06,1.06,-0.7,1.77,1.77,10.25,0.17,0.17
2018-06-30,11.97,11.97,0.0,4.11,0.33,4.76,2.77,5.73,8.5,0.14,8.36,8.36,1.85,6.51,6.51,10.25,0.64,0.64
2018-09-30,16.16,16.16,0.0,4.13,0.37,6.28,5.37,1.05,6.42,0.18,6.24,6.24,2.23,4.02,4.02,10.25,0.39,0.39
2018-12-31,11.71,11.71,0.0,4.07,0.38,5.74,1.53,1.13,2.66,0.25,2.41,2.41,0.82,1.6,1.6,10.25,0.16,0.16
2019-03-31,11.85,11.85,0.0,4.52,0.42,6.59,0.31,1.44,1.75,0.17,1.58,1.58,0.43,1.16,1.16,10.25,0.11,0.11
2019-06-30,13.36,13.36,0.0,4.99,0.35,4.61,3.4,17.01,20.41,0.21,20.2,20.2,3.51,16.69,16.69,10.25,1.63,1.63
2019-09-30,13.77,13.77,0.94,4.67,0.44,4.15,3.56,1.39,4.96,0.2,4.75,4.75,1.78,2.97,2.97,10.25,0.29,0.29
2019-12-31,12.57,12.57,1.4,4.41,0.49,4.74,1.53,0.83,2.36,0.15,2.22,2.22,0.61,1.61,1.61,10.25,0.16,0.16
2020-03-31,13.44,13.44,1.03,4.25,0.63,5.92,1.61,0.79,2.39,0.04,2.36,2.36,0.55,1.8,1.8,10.25,0.18,0.18
2020-06-30,3.15,3.15,0.0,1.59,0.4,2.2,-1.04,25.98,24.94,0.02,24.93,24.93,4.35,20.58,20.58,10.25,2.01,2.01
2020-09-30,4.42,4.42,0.0,3.07,0.39,3.79,-2.84,1.07,-1.77,0.0,-1.77,-1.77,-0.04,-1.73,-1.73,10.25,-0.17,-0.17
2020-12-31,6.19,6.19,0.0,2.48,0.39,3.68,-0.36,0.57,0.21,0.0,0.21,0.21,-0.04,0.25,0.25,10.25,0.02,0.02
2021-03-31,6.5,6.5,0.0,2.86,0.73,4.65,-1.74,2.29,0.55,0.12,0.43,0.43,-1.28,1.71,1.71,10.25,0.17,0.17
2021-06-30,6.15,6.15,0.0,3.13,0.39,3.35,-0.72,0.92,0.2,0.02,0.19,0.19,0.05,0.13,0.13,10.25,0.01,0.01
2021-09-30,7.78,7.78,0.46,3.69,0.47,3.77,-0.62,3.77,3.16,0.02,3.13,3.13,0.14,2.99,2.99,10.25,0.29,0.29
