Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Long Term Provisions,Short Term Borrowings,Short Term Provisions,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,23.76,23.76,108.66,108.66,132.42,40.62,0.0,57.31,24.54,9.68,72.89,262.62,132.23,10.19,5.31,0.0,147.73,30.14,0.5,0.0,0.76,179.12,0.0,1.2,45.5,6.32,30.48,0.0,83.5,262.62,43.94,0.38,1.36,4.26,17.51,30.14,0.0,16.69,0.0,24.68,13.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42,0.0,0.0
2009-12-31,23.76,23.76,426.05,426.05,449.81,0.0,0.0,21.49,59.25,38.91,107.99,579.29,153.66,18.01,17.08,0.0,188.74,104.69,2.93,0.0,0.0,296.37,0.0,2.0,125.94,25.47,129.51,0.0,282.92,579.29,181.66,0.8,1.92,6.82,11.86,104.69,0.0,21.49,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,23.76,23.76,517.65,517.65,541.41,0.0,0.0,21.6,96.55,24.9,132.84,695.85,156.44,26.66,26.72,0.0,209.82,95.98,3.43,0.0,0.0,309.24,0.0,2.17,153.29,34.73,196.43,0.0,386.61,695.85,181.89,0.42,1.92,11.32,17.51,95.98,0.0,21.6,0.0,0.0,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,23.76,23.76,634.37,634.37,658.13,0.0,0.0,26.73,52.91,93.51,152.3,837.16,192.62,40.11,1.85,1.02,235.6,19.77,0.0,272.98,0.15,528.5,51.7,2.62,188.98,37.56,27.02,0.78,308.66,837.16,15.96,0.55,1.92,17.83,17.51,19.77,51.7,18.24,8.49,0.0,5.88,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,23.76,23.76,625.93,625.93,649.69,0.0,0.0,27.21,72.88,87.91,363.25,1040.15,182.48,37.7,4.86,7.42,232.46,19.77,0.0,267.82,0.26,520.31,0.0,2.35,227.21,236.49,53.54,0.25,519.84,1040.15,2.92,0.89,3.85,35.58,17.51,19.77,0.0,14.86,12.35,0.0,202.46,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,23.76,23.76,611.53,611.53,635.29,0.0,0.0,26.7,105.88,117.0,268.77,930.76,187.73,39.99,1.12,7.34,236.18,19.77,0.0,231.95,0.43,488.33,0.0,2.72,266.72,105.93,67.02,0.04,442.43,930.76,14.3,0.94,188.64,33.01,17.51,19.77,0.0,17.54,9.16,0.0,45.89,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.76,23.76,273.34,273.34,297.1,332.19,0.0,356.97,124.8,127.11,320.15,974.22,170.25,45.13,4.86,20.54,240.78,19.77,0.0,176.36,0.58,437.49,0.0,3.95,291.4,165.63,70.98,4.77,536.73,974.22,19.17,0.9,26.69,28.23,17.51,19.77,0.0,10.28,14.5,0.0,68.24,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.76,23.76,446.86,446.86,470.62,332.19,0.0,353.93,204.56,125.11,329.67,1154.22,194.61,48.73,2.81,17.72,263.87,73.45,0.0,54.37,76.93,468.62,0.0,5.18,291.35,287.05,39.92,62.1,685.6,1154.22,15.83,1.63,35.59,32.59,17.51,73.45,0.0,3.97,17.77,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.76,23.76,497.96,497.96,521.72,166.09,25.34,192.92,222.13,148.74,536.97,1251.61,185.33,48.89,2.91,30.54,267.67,144.06,0.0,29.96,85.79,527.48,0.0,5.53,359.75,255.43,25.47,77.95,724.13,1251.61,16.52,3.56,0.0,9.51,17.51,144.06,0.0,1.49,0.0,166.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.76,23.76,597.49,597.49,621.25,71.18,5.8,76.98,295.92,137.35,528.18,1226.41,175.11,44.35,6.75,39.9,266.11,144.06,5.14,10.93,77.92,504.16,0.0,4.48,420.01,227.32,20.03,50.41,722.25,1226.41,24.22,5.67,0.0,2.63,17.51,0.0,0.0,0.0,0.0,94.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
