Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,417.31,0.77,418.08,0.0,60.6,7.44,312.52,37.52,7.95,45.47,0.0,45.47,0.0,45.47,13.27,32.2,32.2,23.73,13.57,13.57,0.45,18.97,1.92,100.0,81.03
2012-12-31,458.35,1.03,459.38,0.0,62.96,6.82,332.77,56.83,8.41,65.24,0.0,65.24,0.0,65.24,20.23,45.01,45.01,23.73,18.96,18.96,0.59,25.0,1.78,100.0,75.0
2013-03-31,445.43,0.56,445.99,0.0,59.85,5.48,330.72,49.94,8.42,58.36,0.0,58.36,0.0,58.36,16.61,41.75,41.75,23.73,17.6,17.6,0.59,25.0,1.78,100.0,75.0
2013-06-30,453.19,0.33,453.52,0.0,63.85,6.73,341.32,41.62,18.48,60.1,0.01,60.09,0.0,60.09,19.44,40.65,40.65,23.73,17.13,17.13,0.59,25.0,1.78,100.0,75.0
2013-09-30,471.02,0.58,471.6,0.0,68.93,6.83,360.88,34.96,8.56,43.52,0.01,43.51,0.0,43.51,13.45,30.06,30.06,23.73,12.67,12.67,0.59,25.0,1.78,100.0,75.0
2013-12-31,505.41,0.09,505.5,0.0,65.32,6.81,406.81,26.56,7.88,34.44,0.01,34.43,0.0,34.43,11.39,23.04,23.04,23.73,9.71,9.71,0.59,25.0,1.78,100.0,75.0
2014-03-31,502.89,0.64,503.53,0.0,66.75,6.73,388.55,41.5,7.84,49.34,0.0,49.34,0.0,49.34,18.69,30.65,30.65,23.73,12.92,12.92,0.59,25.0,1.78,100.0,75.0
2014-06-30,526.94,0.01,526.95,0.0,75.13,9.63,394.84,47.35,6.61,53.96,0.01,53.95,0.0,53.95,19.79,34.16,34.16,23.73,14.4,14.4,0.59,25.0,1.78,100.0,75.0
2014-09-30,581.66,0.01,581.67,0.0,79.37,10.7,451.73,39.87,6.64,46.51,0.0,46.51,0.0,46.51,15.7,30.81,30.81,23.73,12.98,12.98,0.59,25.0,1.78,100.0,75.0
2014-12-31,588.85,0.02,588.87,0.0,81.81,10.29,458.68,38.09,6.03,44.12,3.52,40.6,0.0,40.6,13.47,27.13,27.13,23.73,11.43,11.43,0.59,25.0,1.78,100.0,75.0
2015-03-31,571.0,0.01,571.01,0.0,83.14,12.92,419.97,54.98,5.2,60.18,7.68,52.5,0.0,52.5,17.76,34.74,34.74,23.73,14.65,14.65,0.59,25.0,1.78,100.0,75.0
