headline,link,date_str,parsed_date_iso,sentiment_score
Three auto stocks potentially at bargain buying point,https://www.financialexpress.com/market/stock-insights/three-auto-stocks-potentially-at-bargain-buying-point/3775940/,2025-03-13T06:00:00+05:30,2025-03-13T00:30:00,0.2023
"Bosch Q1 FY25 PAT up 14%, revenue grows 3.8%",https://www.financialexpress.com/business/express-mobility-bosch-q1-fy25-pat-up-14-revenue-grows-3-8-3576477/,2024-08-07T17:01:32+05:30,2024-08-07T11:31:32,0.0
Bosch acquires LCV HVAC business from Johnson Controls,https://www.financialexpress.com/business/express-mobility-bosch-acquires-lcv-hvac-business-from-johnson-controls-3562913/,2024-07-23T17:59:37+05:30,2024-07-23T12:29:37,0.0
79% of Indians agree on the labelling of AI content: Survey,https://www.financialexpress.com/business/digital-transformation-79-of-indians-agree-on-the-labelling-of-ai-content-survey-3422593/,2024-03-12T15:00:00+05:30,2024-03-12T09:30:00,0.3612
Bosch successfully tests hydrogen-powered truck; to be showcased in early 2024,https://www.financialexpress.com/business/express-mobility-bosch-successfully-tests-hydrogen-powered-truck-to-be-showcased-in-early-2024-3196623/,2023-08-02T13:29:21+05:30,2023-08-02T07:59:21,0.4939
"Over 29,000 pedestrians lost lives in road accidents in 2021: Bosch study",https://www.financialexpress.com/business/express-mobility-over-29000-pedestrians-lost-lives-in-road-accidents-in-2021-bosch-study-3088392/,2023-05-15T14:42:41+05:30,2023-05-15T09:12:41,-0.5574
"Bosch India clocks Rs 1,425 profit in FY2023, anticipates strong growth in FY2024",https://www.financialexpress.com/business/express-mobility-bosch-india-clocks-rs-1425-profit-in-fy2023-anticipates-strong-growth-in-fy2024-3083180/,2023-05-11T14:15:19+05:30,2023-05-11T08:45:19,0.8316
"Bosch realigns mobility business, targets sales worth 80 billion euro by 2029",https://www.financialexpress.com/business/express-mobility-bosch-realigns-mobility-business-targets-sales-worthnbsp80-billion-euro-by-2029-3074487/,2023-05-04T18:11:36+05:30,2023-05-04T12:41:36,0.2263
Dr Christian Danz appointed CTO at Chetak Technology,https://www.financialexpress.com/business/express-mobility-dr-christian-danz-appointed-cto-at-chetak-technology-3033439/,2023-04-04T16:43:29+05:30,2023-04-04T11:13:29,0.0
Bosch India announces management change: Guruprasad Mudlapur appointed new President,https://www.financialexpress.com/business/express-mobility-bosch-india-announces-management-change-guruprasad-mudlapur-appointed-new-president-3018985/,2023-03-22T17:43:13+05:30,2023-03-22T12:13:13,0.0
Bosch readies itself for rising demand for specialty semiconductors,https://www.financialexpress.com/business/express-mobility-bosch-readies-itself-for-rising-demand-for-specialty-semiconductors-2901211/,2022-12-05T16:25:57+05:30,2022-12-05T10:55:57,-0.128
"Bosch eyes to enter every Indian home: Neeraj Bahl, MD & CEO, BSH Home Appliances (India & SAARC)",https://www.financialexpress.com/business/brandwagon-bosch-eyes-to-enter-every-indian-home-2815344/,2022-11-15T08:30:55+05:30,2022-11-15T03:00:55,0.0
IAA Transportation 2022: Bosch plans expanding climate-neutral powertrain portfolio,https://www.financialexpress.com/business/express-mobility-iaa-transportation-2022-bosch-plans-expanding-climate-neutral-powertrain-portfolio-2684312/,2022-12-16T16:48:11+05:30,2022-12-16T11:18:11,0.0
Bosch India partners PTV Group for driving the future of connected mobility,https://www.financialexpress.com/business/express-mobility-bosch-india-partners-ptv-group-for-driving-the-future-of-connected-mobility-2647793/,2022-08-29T10:58:38+05:30,2022-08-29T05:28:38,0.0
India well poised to drive connected mobility tech say experts at FE Connected Mobility Summit 2022,https://www.financialexpress.com/business/express-mobility-india-well-poised-to-drive-connected-mobility-tech-say-experts-at-fe-connected-mobility-summit-2022-2643989/,2022-08-25T16:56:10+05:30,2022-08-25T11:26:10,0.4767
"Bosch clocks steady Q1 gains on robust order book, easing supply constraints",https://www.financialexpress.com/business/express-mobility-bosch-clocks-steady-q1-gains-on-robust-order-book-easing-supply-constraints-2615689/,2022-08-03T12:09:08+05:30,2022-08-03T06:39:08,0.7003
Buy these two stocks for gains while Nifty trades bearish; trend reversal only if index breaches 16000,https://www.financialexpress.com/market/cafeinvest-buy-these-two-stocks-for-gains-while-nifty-trades-bearish-trend-reversal-only-if-index-breaches-16000-2581573/,2022-07-04T08:21:22+05:30,2022-07-04T02:51:22,0.6249
"Bosch, Mahindra and Mahindra top stock picks for next 3 months, analysts see strong upside, check target price",https://www.financialexpress.com/market/bosch-mahindra-and-mahindra-top-stock-picks-for-next-3-months-analysts-see-strong-upside-check-target-price-2573776/,2022-06-27T09:45:43+05:30,2022-06-27T04:15:43,0.6249
"Bosch Global Software Technologies to hire 3,000 people in Pune",https://www.financialexpress.com/business/industry-bosch-global-software-technologies-to-hire-3000-people-in-pune-2484990/,2022-04-08T02:15:00+05:30,2022-04-07T20:45:00,0.0
