headline,link,date_str,parsed_date_iso,sentiment_score
Britannia net profit up 4% in Q4,https://www.financialexpress.com/business/industry-britannia-net-profit-up-4-in-q4-3837855/,2025-05-08T22:32:54+05:30,2025-05-08T17:02:54,0.4404
"Zomato, Jio Financial to bring Rs 7,834 crore into Nifty post rejig",https://www.financialexpress.com/market/zomato-jio-financial-to-bring-rs-7834-crore-into-nifty-post-rejig-3789720/,2025-03-27T08:22:50+05:30,2025-03-27T02:52:50,0.4019
Britannia’s former CEO Rajneet Kohli to join HUL as foods head,https://www.financialexpress.com/business/industry-britannias-former-ceo-rajneet-kohli-to-join-hul-as-foods-head-3789652/,2025-03-26T21:18:00+05:30,2025-03-26T15:48:00,0.296
"Britannia CEO Rajneet Singh Kohli resigns, stock dips 0.6% post announcement",https://www.financialexpress.com/business/industry-britannia-ceo-rajneet-singh-kohli-resigns-stock-dips-0-6-post-announcement-3769528/,2025-03-07T10:06:37+05:30,2025-03-07T04:36:37,-0.3182
"Nifty rejig: Zomato and Jio Financial Services to replace Britannia, BPCL from March 28",https://www.financialexpress.com/market/nifty-rejig-zomato-and-jio-financial-services-to-replace-britannia-bpcl-from-march-28nbsp-3758462/,2025-02-24T09:34:23+05:30,2025-02-24T04:04:23,0.4019
Britannia to take on inflation with steep price hikes,https://www.financialexpress.com/business/industry-britannia-to-take-on-inflation-with-steep-price-hikes-3741562/,2025-02-07T22:31:15+05:30,2025-02-07T17:01:15,0.0
"Harry Potter fans, Britannia has dropped something magical – And its limited edition!",https://www.financialexpress.com/business/brandwagon-harry-potter-fans-britannia-has-dropped-something-magical-and-its-limited-edition-3738651/,2025-02-05T14:16:18+05:30,2025-02-05T08:46:18,-0.2942
"Middle class hit by low wages, costly realty: Britannia’s Berry",https://www.financialexpress.com/business/industry-middle-class-hit-by-low-wages-costly-realty-britannias-berry-3663415/,2024-11-13T06:00:00+05:30,2024-11-13T00:30:00,-0.3612
Britannia strengthens partnership with Bel Group to announce local cheese manufacturing in India,https://www.financialexpress.com/business/industry-britannia-strengthens-partnership-with-bel-group-to-announce-local-cheese-manufacturing-in-india-3635534/,2024-10-09T17:19:21+05:30,2024-10-09T11:49:21,0.4588
"Britannia Industries Q1 results: Net profit sees 5% decline QoQ, revenue rose 6% YoY",https://www.financialexpress.com/business/industry/britannia-q1-results-net-profit-sees-5-decline-qoq-revenue-rose-6-yoy/3572423/,2024-08-02T18:07:06+05:30,2024-08-02T12:37:06,0.4404
Britannia reports 4% fall in profit,https://www.financialexpress.com/business/industry-britannia-reports-4-fall-in-profit-3476815/,2024-05-03T23:23:35+05:30,2024-05-03T17:53:35,0.4404
"Meet Nusli Wadia, the only descendant of politician and Pakistan founder Mohammed Ali Jinnah – Know about Britannia owner’s lifestyle and net worth",https://www.financialexpress.com/life/lifestyle-meet-nusli-wadia-the-only-descendant-of-politician-and-pakistan-founder-mohammed-ali-jinnah-know-about-britannia-owners-lifestyle-and-net-worth-3433243/,2024-04-05T12:38:00+05:30,2024-04-05T07:08:00,0.2263
"Britannia expects volume growth uptick soon, says Varun Berry",https://www.financialexpress.com/business/industry-britannia-expects-volume-growth-uptick-soon-says-varun-berry-3387307/,2024-02-08T00:30:00+05:30,2024-02-07T19:00:00,0.3818
"Meet the Wadia family: The 280-year-old family lineage that owns Britannia, Bombay Dyeing and other brands; know about their relation to Jinnah; their businesses, and net worth",https://www.financialexpress.com/life/lifestyle-meet-the-wadia-family-the-280-year-old-family-lineage-that-now-owns-britannia-bombay-dyeing-and-other-brands-know-about-their-relation-to-jinnah-their-businesses-and-net-worth-3220564/,2023-12-21T00:37:39+05:30,2023-12-20T19:07:39,0.2263
"Who is Jehangir Wadia? Meet Nusli Wadia’s son, who leads Go First and Bombay Dyeing; know about his lifestyle, journey, and net worth",https://www.financialexpress.com/life/lifestyle-who-is-jehangir-wadia-meet-nusli-wadias-son-who-is-leading-go-first-and-bombay-dyeing-know-about-his-lifestyle-journey-and-net-worth-3247307/,2023-09-20T08:55:00+05:30,2023-09-20T03:25:00,0.2263
"Britannia stock tanks 2% today after Q1 earnings miss estimates; should you buy, sell or hold Britannia shares?",https://www.financialexpress.com/market/britannia-stock-tanks-2-today-after-q1-earnings-miss-estimates-should-you-buy-sell-or-hold-britannia-shares-3202058/,2023-08-07T10:16:36+05:30,2023-08-07T04:46:36,0.1531
