Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,4218.9,4281.06,4391.88,3967.38,3862.93,4031.41,4220.26,3824.27,3758.7,3911.4,4144.65,3470.37,3336.45,3373.7,3369.53,3236.17,2856.5,2916.1,3161.44,3179.61,2629.79,2769.31,2867.31,2554.16,2631.29,2685.37,2685.94,2386.89,2357.04,2398.32,2373.42,2077.15,2067.01,2092.57,2200.87,1949.36,1935.67,1968.59,1962.83,1781.39,1846.55,1834.31,1801.23,1618.37,1619.77,1614.43,1594.45,1403.44,1486.63,1453.33
Other Operating Income,63.61,137.07,108.96,127.06,61.31,70.95,68.59,46.36,136.03,99.77,46.38,51.12,--,--,55.77,--,96.14,62.64,66.13,40.27,62.15,49.88,28.78,25.3,36.81,17.82,18.68,19.8,31.34,12.68,11.96,42.15,22.33,23.39,21.52,35.55,24.72,18.22,18.03,18.43,25.47,18.02,16.18,15.86,33.28,13.6,15.55,12.87,15.79,14.25
Total Income From Operations,4282.51,4418.13,4500.84,4094.44,3924.24,4102.36,4288.85,3870.63,3894.73,4011.17,4191.03,3521.49,3336.45,3373.7,3425.3,3236.17,2952.64,2978.74,3227.57,3219.88,2691.94,2819.19,2896.09,2579.46,2668.1,2703.19,2704.62,2406.69,2388.38,2411.0,2385.38,2119.3,2089.34,2115.96,2222.39,1984.91,1960.39,1986.81,1980.86,1799.82,1872.02,1852.33,1817.41,1634.23,1653.05,1628.03,1610.0,1416.31,1502.42,1467.58
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2126.03,2295.22,2264.65,1922.74,1773.61,1843.5,1987.69,1789.94,1716.61,1779.83,1906.08,1681.57,1533.46,1556.68,1644.94,1631.23,1289.46,1253.54,1509.29,1457.4,1125.07,1314.27,1404.88,1208.45,1210.55,1314.29,1283.35,1136.58,855.79,1287.71,1188.63,1073.04,1080.34,1085.98,1172.32,1003.2,942.69,1004.55,975.33,888.0,915.7,930.59,926.1,820.6,805.65,848.48,846.59,664.81,648.37,825.82
Purchase of Traded Goods,507.33,509.02,514.18,462.63,455.5,506.12,547.63,524.11,496.26,568.1,758.65,630.41,584.23,597.59,539.6,461.99,474.97,462.71,515.99,454.83,453.58,387.67,382.17,320.13,342.78,351.01,347.51,340.58,617.8,301.6,238.61,214.45,236.99,235.74,223.61,208.44,204.1,225.09,212.75,191.07,137.75,223.11,208.78,179.69,170.1,159.22,162.93,164.53,206.0,167.38
Increase/Decrease in Stocks,11.5,-17.61,-63.52,1.67,-2.26,18.6,-16.24,-0.09,2.92,-28.99,-37.05,-19.01,-6.2,-11.78,3.69,-59.67,23.73,24.77,-106.44,14.72,80.37,-6.83,-32.17,20.14,23.62,-73.76,13.73,-12.61,16.45,-94.72,60.56,13.53,-18.43,-6.31,-8.53,-15.97,43.19,-36.73,-9.17,-4.41,38.75,-35.08,-32.19,3.04,41.42,-19.17,-42.91,8.08,82.53,-73.37
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,127.51,67.75,194.73,164.71,124.89,163.19,125.05,152.15,136.53,141.54,129.67,112.81,88.32,95.43,121.24,108.57,92.95,101.11,104.37,104.42,89.65,92.26,94.18,92.78,77.61,85.57,78.41,80.05,81.28,66.92,81.22,65.46,61.22,60.17,60.49,59.01,53.95,57.21,52.14,51.72,47.03,44.62,42.81,44.07,39.24,42.76,41.82,48.63,28.44,40.16
Depreciation,73.83,75.2,68.93,66.71,72.7,70.71,64.43,63.35,57.51,50.0,44.08,43.51,43.34,42.65,42.51,41.51,45.16,40.91,40.63,40.07,39.32,38.44,36.65,37.28,36.28,36.85,31.49,30.38,36.3,27.48,28.2,27.78,26.83,24.3,23.06,21.76,23.99,21.34,20.6,20.87,42.1,25.52,25.1,24.55,16.4,16.02,15.66,15.3,14.89,14.92
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,169.48,139.98,123.62,117.58,112.95,132.07,131.36,126.53,124.4,122.75
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,731.44,753.32,844.57,814.4,802.11,778.09,803.78,737.89,747.72,760.87,746.29,645.82,614.6,623.31,584.89,570.34,583.71,565.88,583.44,516.75,513.0,550.07,576.68,549.76,591.32,579.83,556.96,494.36,447.21,474.9,463.2,440.02,443.08,446.08,451.64,431.69,449.65,445.81,448.14,414.27,342.1,354.87,351.84,311.47,319.05,316.04,317.0,274.08,280.81,292.43
"P/L Before Other Inc. , Int., Excpt. Items & Tax",704.87,735.23,677.3,661.58,697.69,722.15,776.51,603.28,737.18,739.82,643.31,426.38,478.7,469.82,488.43,482.2,442.66,529.82,580.29,631.69,390.95,443.31,433.7,350.92,385.94,409.4,393.17,337.35,333.55,347.11,324.96,285.02,259.31,270.0,299.8,276.78,242.82,269.54,281.07,238.3,179.11,168.72,171.35,133.23,148.24,132.61,137.55,114.35,116.98,77.49
Other Income,71.58,59.83,51.98,67.29,55.16,49.61,53.18,52.16,53.23,48.42,65.82,53.12,103.04,53.41,50.98,152.0,56.52,77.76,71.18,87.33,75.21,64.6,130.2,65.54,58.3,55.42,39.53,38.54,40.02,32.76,49.23,33.99,32.55,37.93,40.3,37.59,34.82,30.34,32.1,22.93,29.0,20.52,18.52,19.57,11.42,5.64,4.38,13.87,21.13,11.4
"P/L Before Int., Excpt. Items & Tax",776.45,795.06,729.28,728.87,752.85,771.76,829.69,655.44,790.41,788.24,709.13,479.5,581.74,523.23,539.41,634.2,499.18,607.58,651.47,719.02,466.16,507.91,563.9,416.46,444.24,464.82,432.7,375.89,373.57,379.87,374.19,319.01,291.86,307.93,340.1,314.37,277.64,299.88,313.17,261.23,208.11,189.24,189.87,152.8,159.66,138.25,141.93,128.22,138.11,88.89
Interest,30.1,44.14,34.28,28.58,25.84,29.22,47.95,48.39,29.59,35.4,51.09,38.87,31.04,34.67,36.25,31.5,20.51,28.68,26.72,21.9,20.68,22.13,14.04,8.32,0.34,0.37,0.36,0.47,0.31,0.38,0.44,0.32,0.35,0.36,0.34,0.29,0.31,0.34,0.3,0.3,0.26,0.32,0.35,0.28,0.38,0.57,1.14,3.35,10.38,9.14
P/L Before Exceptional Items & Tax,746.35,750.92,695.0,700.29,727.01,742.54,781.74,607.05,760.82,752.84,658.04,440.63,550.7,488.56,503.16,602.7,478.67,578.9,624.75,697.12,445.48,485.78,549.86,408.14,443.9,464.45,432.34,375.42,373.26,379.49,373.75,318.69,291.51,307.57,339.76,314.08,277.33,299.54,312.87,260.93,207.85,188.92,189.52,152.52,159.28,137.68,140.79,124.87,127.73,79.75
Exceptional Items,--,--,-0.15,-24.64,--,-2.9,--,--,--,227.74,--,--,--,--,--,--,--,--,--,--,--,--,35.0,-16.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-4.0,-12.12,159.92,--,-20.0,--,--,--,--,--
P/L Before Tax,746.35,750.92,694.85,675.65,727.01,739.64,781.74,607.05,760.82,980.58,658.04,440.63,550.7,488.56,503.16,602.7,478.67,578.9,624.75,697.12,445.48,485.78,584.86,392.14,443.9,464.45,432.34,375.42,373.26,379.49,373.75,318.69,291.51,307.57,339.76,314.08,277.33,299.54,312.87,260.93,203.85,176.8,349.44,152.52,139.28,137.68,140.79,124.87,127.73,79.75
Tax,189.25,193.79,180.44,173.57,196.86,201.28,211.25,164.0,202.66,213.65,165.49,118.97,137.27,131.99,135.85,136.82,125.21,150.51,162.44,181.25,64.32,125.43,92.28,141.93,154.21,161.75,148.77,129.18,128.57,130.32,128.41,110.0,94.78,96.81,112.19,103.69,85.47,102.82,107.33,90.19,62.81,56.28,96.4,44.71,47.75,41.35,45.11,38.58,39.88,22.79
P/L After Tax from Ordinary Activities,557.1,557.13,514.41,502.08,530.15,538.36,570.49,443.05,558.16,766.93,492.55,321.66,413.43,356.57,367.31,465.88,353.46,428.39,462.31,515.87,381.16,360.35,492.58,250.21,289.69,302.7,283.57,246.24,244.69,249.17,245.34,208.69,196.73,210.76,227.57,210.39,191.86,196.72,205.54,170.74,141.04,120.52,253.04,107.81,91.53,96.33,95.68,86.29,87.85,56.96
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,557.1,557.13,514.41,502.08,530.15,538.36,570.49,443.05,558.16,766.93,492.55,321.66,413.43,356.57,367.31,465.88,353.46,428.39,462.31,515.87,381.16,360.35,492.58,250.21,289.69,302.7,283.57,246.24,244.69,249.17,245.34,208.69,196.73,210.76,227.57,210.39,191.86,196.72,205.54,170.74,141.04,120.52,253.04,107.81,91.53,96.33,95.68,86.29,87.85,56.96
Equity Share Capital,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.07,24.06,24.05,24.05,24.03,24.03,24.03,24.03,24.03,24.01,24.01,24.01,24.01,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.99,23.99,23.99,23.99,23.99,23.99,23.97,23.94,23.91,23.91
Reserves Excluding Revaluation Reserves,--,--,--,--,3503.43,2974.71,2436.35,--,--,--,--,--,--,--,1607.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,23.13,23.13,21.36,20.84,22.01,22.35,23.68,18.39,23.17,31.84,20.45,13.35,17.16,14.8,15.25,19.34,14.67,17.79,19.21,21.45,15.85,14.99,20.5,10.41,12.05,12.6,23.61,20.51,20.38,20.75,20.43,17.39,16.39,17.56,18.97,17.53,15.99,16.4,17.13,14.23,11.76,10.05,21.1,8.99,7.63,8.04,7.99,7.21,7.35,4.77
Diluted EPS,23.13,23.13,21.36,20.84,22.01,22.35,23.68,18.39,23.17,31.84,20.45,13.35,17.16,14.8,15.25,19.34,14.67,17.78,19.2,21.45,15.85,14.98,20.49,10.41,12.05,12.59,23.59,20.5,20.37,20.74,20.43,17.39,16.39,17.56,18.96,17.53,15.99,16.39,17.13,14.23,11.76,10.05,21.1,8.99,7.63,8.04,7.98,7.21,7.3,4.76
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.9,5.88,5.87,5.87
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49.26,49.25,49.25,49.25,49.25,49.25,49.25,49.2,49.15,49.08,49.08
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50.74,50.75,50.75,50.75,50.75,50.75,50.75,50.8,50.85,50.92,50.92
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
