Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,48.76,48.76,168.64,168.64,0.0,217.4,0.0,23.81,23.81,13.33,7.08,18.08,38.5,279.72,25.62,2.55,0.0,0.0,28.17,40.94,0.92,8.63,0.0,78.66,143.24,3.89,26.16,3.47,24.3,201.06,279.72,0.36,0.42,0.0,36.57,0.51,40.44,143.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,48.76,48.76,189.95,189.95,0.0,238.71,0.0,28.39,28.39,15.36,10.66,5.51,31.52,298.61,25.63,1.98,0.0,0.0,27.61,40.93,0.88,6.26,0.0,75.68,168.33,3.27,17.11,6.59,27.64,222.93,298.61,0.25,0.65,0.0,36.57,0.54,40.44,168.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,48.76,48.76,215.06,215.06,0.0,263.82,0.0,31.06,33.86,15.4,10.62,19.33,45.35,343.03,30.06,3.24,0.0,0.0,33.31,176.93,0.0,9.94,1.71,221.87,55.68,2.28,18.95,6.94,37.3,121.16,343.03,31.76,0.62,0.0,36.57,0.52,176.43,55.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,48.76,48.76,232.1,232.1,0.0,280.86,0.0,31.41,31.41,20.1,9.72,18.01,47.83,360.11,57.9,5.03,0.0,0.0,62.94,183.86,1.55,8.76,0.0,257.11,48.61,1.27,10.19,6.89,36.04,102.99,360.11,45.61,0.34,0.0,36.57,0.54,183.37,48.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,48.76,48.76,250.19,250.19,0.0,298.95,0.0,31.67,31.67,23.82,7.78,30.82,62.42,393.04,53.03,3.42,0.0,0.0,56.46,183.86,6.28,9.29,0.0,255.88,90.88,7.81,6.02,7.01,25.45,137.16,393.04,3.56,0.28,0.0,36.57,0.55,183.36,90.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,48.76,48.76,312.69,312.69,0.0,361.45,0.0,42.29,42.29,28.42,16.19,4.24,48.86,452.59,57.25,4.67,0.0,0.0,61.92,186.92,5.13,11.66,0.0,265.63,118.58,9.15,8.9,5.9,44.43,186.96,452.59,4.6,0.0,0.0,36.57,0.0,186.92,118.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,48.76,48.76,363.99,363.99,0.0,412.75,0.0,54.14,54.14,33.87,32.62,6.93,73.42,540.31,67.09,12.66,0.0,0.0,79.75,186.83,7.38,9.62,9.33,292.89,145.04,14.63,18.72,0.45,68.58,247.42,540.31,0.0,0.82,0.0,36.57,0.0,186.83,145.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,48.76,48.76,343.4,343.4,0.0,392.16,0.0,67.94,67.94,34.47,52.65,15.36,102.48,562.58,69.33,17.87,0.0,0.0,87.2,186.83,10.42,9.92,4.65,299.03,136.0,18.04,34.18,0.57,74.77,263.56,562.58,0.0,0.0,0.0,36.57,0.0,184.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,48.76,48.76,436.71,436.71,3.62,489.09,64.27,69.08,133.36,36.58,47.51,8.87,92.96,715.4,147.06,10.75,0.0,0.0,157.81,199.42,7.48,10.08,0.49,375.28,197.55,26.24,39.44,0.57,76.33,340.12,715.4,15.68,2.42,0.0,36.57,0.0,198.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,48.79,48.79,409.69,409.69,11.23,469.71,61.35,70.64,131.99,52.02,111.57,12.34,175.92,777.62,132.31,11.22,0.0,0.0,143.53,226.41,9.54,8.99,2.97,391.44,135.83,24.14,142.1,4.01,80.1,386.18,777.62,8.54,2.6,0.0,36.57,0.0,225.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
