Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Work-In-Progress,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2004-03-31,20.49,20.49,116.92,116.92,137.41,1027.9,0.0,0.0,1027.97,2.23,0.0,12.54,37.63,1203.01,3.87,3.87,2.38,0.0,42.3,0.0,0.0,33.23,1089.14,38.33,1160.7,1203.01,5.02,0.01,0.0,36.06,0.0,0.0,0.07,22.86,36.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,20.49,20.49,132.08,132.08,152.56,1199.46,0.0,0.0,1199.55,14.23,0.0,11.9,48.92,1401.03,3.58,3.58,2.75,0.0,39.64,0.0,0.0,26.08,1303.24,32.07,1361.4,1401.03,5.01,0.01,0.0,33.31,0.0,0.0,0.09,22.8,33.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.49,20.49,153.18,153.18,173.67,1543.08,0.0,0.0,1543.15,60.62,0.0,13.23,97.21,1814.03,3.41,3.41,2.67,0.0,39.07,0.0,0.0,25.46,1721.39,28.11,1774.96,1814.03,9.37,0.02,0.0,33.0,0.0,0.0,0.07,23.37,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,20.49,20.49,177.3,177.3,197.78,1739.9,0.0,0.0,1739.95,12.45,0.0,14.43,56.36,1994.09,3.22,3.22,2.34,0.0,37.04,0.0,0.0,29.66,1902.53,24.86,1957.06,1994.09,5.34,0.02,0.0,31.48,0.0,0.0,0.05,29.49,31.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,20.49,20.49,199.27,199.27,219.76,1637.07,0.0,0.0,1637.11,58.29,0.0,24.6,116.06,1972.93,2.89,2.89,3.63,0.0,31.31,0.0,0.0,46.89,1876.03,18.71,1941.62,1972.93,5.37,0.02,0.0,24.78,0.0,0.0,0.04,33.17,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,20.49,20.49,226.01,226.01,246.5,1639.96,0.0,0.0,1640.01,9.83,0.0,22.45,64.43,1950.93,2.77,2.77,3.76,0.0,25.81,0.0,0.0,38.65,1874.62,11.85,1925.12,1950.93,11.13,0.01,0.0,19.28,0.0,0.0,0.04,32.15,19.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.49,20.49,254.41,254.41,274.89,1759.64,0.0,0.0,1759.65,105.68,0.0,12.03,157.41,2191.95,2.79,2.79,4.33,0.0,24.55,0.0,0.0,57.0,2106.81,3.59,2167.4,2191.95,14.32,0.01,0.0,17.44,0.0,0.0,0.01,39.7,17.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,20.49,20.49,290.47,290.47,310.96,1424.3,0.0,14.16,1438.49,113.82,0.0,381.57,519.29,2268.73,2.58,2.58,5.1,0.0,2200.56,3.07,0.0,34.21,29.22,1.67,68.17,2268.73,17.63,0.0,0.0,17.0,3.07,0.0,0.03,23.9,16.94,2175.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.49,20.49,327.09,327.09,347.57,1859.25,0.0,14.62,1874.06,123.04,0.0,345.83,494.71,2716.34,3.24,3.24,5.85,0.0,2661.85,0.0,0.0,16.16,36.82,1.51,54.49,2716.34,10.22,0.0,0.0,17.0,0.0,0.0,0.2,25.83,16.94,2635.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,20.49,20.49,371.68,371.68,392.17,2899.26,0.0,14.0,2913.26,173.67,0.0,536.63,743.57,4049.0,6.5,6.79,4.87,0.0,4005.11,0.0,0.0,8.54,34.94,0.4,43.89,4049.0,13.57,0.0,0.0,16.0,0.0,0.0,0.0,33.28,15.94,3977.51,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,20.49,20.49,431.82,431.82,452.3,4328.79,0.0,40.76,4369.55,365.89,0.0,673.11,1089.79,5911.65,7.82,7.82,4.86,0.0,5858.23,0.0,0.0,9.15,43.8,0.46,53.41,5911.65,9.31,0.0,0.0,15.0,0.0,0.0,0.0,50.79,14.94,5830.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,26.62,26.62,744.86,744.86,771.49,5457.26,0.0,53.94,5532.82,1483.66,0.0,475.56,2029.57,8334.35,9.28,9.28,0.0,0.0,8231.19,0.0,0.0,8.0,94.84,0.33,103.17,8334.35,7.66,0.0,0.0,15.0,0.0,0.48,21.61,70.35,14.94,8206.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
