Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,29.33,0.0,29.33,8.16,13.17,-1.19,1.75,0.34,0.0,1.99,5.11,0.47,5.58,0.02,5.56,5.56,1.98,3.58,0.0,3.58,15.11,2.37,2.37,0.65,42.82,0.86,100.0,57.18
2013-03-31,29.11,0.0,29.11,7.18,12.14,0.36,1.98,0.35,0.0,2.07,5.04,0.21,5.24,0.03,5.22,5.22,1.55,3.67,0.0,3.67,15.11,2.43,2.43,0.65,42.82,0.86,100.0,57.18
2013-06-30,35.93,0.0,35.93,8.15,15.5,-0.19,2.35,0.44,0.0,6.43,3.26,0.3,3.56,0.15,3.41,3.41,1.74,1.67,-0.09,1.59,15.11,1.05,1.05,0.65,42.82,0.86,100.0,57.18
2013-09-30,39.76,0.0,39.76,8.11,17.9,-1.13,2.66,0.43,0.0,7.18,4.6,0.48,5.08,0.04,5.04,5.04,1.25,3.79,0.0,3.79,15.11,2.51,2.51,0.65,42.82,0.86,100.0,57.18
2013-12-31,40.85,0.0,40.85,5.41,18.74,1.1,2.91,0.52,0.0,3.31,8.86,0.82,9.68,0.02,9.67,9.67,1.62,8.05,0.0,8.05,15.11,5.33,5.33,0.65,42.82,0.86,100.0,57.18
2014-03-31,41.39,0.0,41.39,5.17,18.96,0.08,3.33,0.86,0.0,3.93,9.06,1.35,10.4,0.02,10.39,10.39,3.52,6.87,0.0,6.87,15.11,4.54,4.54,0.62,41.29,0.89,100.0,58.71
2014-06-30,45.93,0.0,45.93,6.32,20.21,-0.74,3.5,1.55,0.0,7.44,7.64,0.69,8.33,0.05,8.28,8.28,1.35,6.93,0.0,6.93,15.11,4.58,4.58,0.62,41.29,0.89,100.0,58.71
2014-09-30,54.38,0.0,54.38,6.6,24.91,-0.49,3.97,1.89,0.0,8.07,9.43,0.54,9.98,0.05,9.93,9.93,1.4,8.53,0.0,8.53,15.11,5.64,5.64,0.62,41.29,0.89,100.0,58.71
2014-12-31,57.46,0.0,57.46,9.84,20.56,0.91,4.43,1.83,0.0,9.44,10.44,0.73,11.18,0.05,11.13,11.13,2.02,9.11,0.0,9.11,15.11,6.03,6.03,0.62,41.29,0.89,100.0,58.71
2015-03-31,60.92,0.0,60.92,9.29,22.97,-0.08,4.63,1.36,1.54,8.23,12.97,0.62,13.6,0.04,13.56,13.56,2.96,10.6,0.0,10.6,15.11,7.01,7.01,0.49,32.19,1.02,100.0,67.81
2015-06-30,67.55,0.0,67.55,10.01,25.31,-1.59,5.35,3.09,1.76,8.19,15.43,0.84,16.28,0.1,16.18,16.18,3.48,12.7,0.0,12.7,15.11,8.4,8.4,0.49,32.19,1.02,100.0,67.81
2015-09-30,75.49,0.0,75.49,10.58,27.97,1.36,5.34,2.1,1.38,8.31,18.45,0.79,19.24,0.03,19.21,19.21,5.01,14.2,0.0,14.2,15.11,9.4,9.4,0.49,32.19,1.02,100.0,67.81
2015-12-31,77.16,0.0,77.16,10.01,26.15,1.65,5.81,2.64,2.02,9.43,19.46,1.15,20.61,0.05,20.56,20.56,4.58,15.98,0.0,15.98,15.11,10.57,10.57,0.49,32.19,1.02,100.0,67.81
2016-03-31,78.64,0.0,78.64,18.39,23.95,-3.32,6.98,2.56,0.0,12.98,17.11,1.53,18.64,0.03,18.61,18.61,3.46,15.15,0.0,15.15,15.11,10.03,10.03,0.49,32.19,1.02,100.0,67.81
2016-06-30,79.55,0.0,79.55,17.44,24.5,-0.36,6.38,2.66,0.0,11.21,17.71,1.32,19.03,0.02,19.0,19.0,4.58,14.42,0.0,14.42,15.11,9.54,9.54,0.47,30.91,1.04,100.0,69.09
2016-09-30,82.62,0.0,82.62,16.95,23.54,0.43,6.93,2.59,0.0,12.83,19.35,1.63,20.98,0.05,20.93,20.93,4.11,16.82,0.0,16.82,15.11,2.23,2.23,0.47,30.91,1.04,100.0,69.09
2016-12-31,89.31,0.0,89.31,13.19,26.31,-1.35,8.52,2.97,0.0,17.61,22.06,1.48,23.54,0.2,23.33,23.33,5.63,17.7,0.0,17.7,15.11,2.34,2.34,2.34,30.91,5.22,100.0,69.09
2017-03-31,96.24,0.0,96.24,16.89,22.99,1.4,7.82,5.03,0.0,13.76,28.36,1.81,30.16,0.03,30.13,30.13,8.23,21.9,0.0,21.9,15.12,2.9,2.9,2.34,30.94,5.22,100.0,69.06
2017-06-30,101.89,0.0,101.89,20.25,24.04,-0.39,8.97,3.84,0.0,15.05,30.13,3.86,33.99,0.02,33.97,33.97,9.58,24.4,0.0,24.4,15.12,3.23,3.21,2.34,30.94,5.22,100.0,69.06
2017-09-30,103.41,11.4,114.8,24.05,20.08,-0.99,10.16,4.44,0.0,14.09,42.96,2.74,45.7,0.02,45.69,45.69,12.94,32.75,0.0,32.75,15.12,4.34,4.32,0.0,0.0,0.0,0.0,0.0
2017-12-31,110.83,0.0,110.83,25.12,21.74,1.67,9.87,4.52,0.0,15.46,32.45,2.25,34.7,0.01,34.68,34.68,11.1,23.59,0.0,23.59,15.12,3.13,3.11,0.0,0.0,0.0,0.0,0.0
2018-03-31,110.44,0.0,110.44,20.79,26.42,-2.67,9.82,6.17,0.0,21.25,28.66,3.07,31.73,0.01,31.71,31.71,10.13,21.58,0.0,21.58,15.12,2.94,2.93,0.0,0.0,0.0,0.0,0.0
2018-06-30,125.16,0.0,125.16,23.65,32.03,0.03,11.46,5.45,0.0,17.44,35.1,18.05,53.15,0.01,53.14,53.14,11.78,41.36,0.0,41.36,15.12,5.47,5.45,0.0,0.0,0.0,0.0,0.0
2018-09-30,131.24,0.0,131.24,23.0,37.46,-0.63,11.29,5.57,0.0,17.88,36.67,6.67,43.34,0.02,43.32,43.32,13.7,29.62,0.0,29.62,15.12,3.95,3.93,0.0,0.0,0.0,0.0,0.0
2018-12-31,139.76,0.0,139.76,24.68,37.93,-3.15,11.68,5.67,0.0,19.44,43.51,7.37,50.88,0.01,50.86,50.86,14.0,36.86,0.0,36.86,15.12,4.88,4.85,0.0,0.0,0.0,0.0,0.0
2019-03-31,140.74,0.0,140.74,22.71,38.07,1.24,7.58,4.16,0.0,14.94,52.03,3.31,55.34,0.01,55.33,55.33,15.01,40.32,0.0,40.32,15.13,5.34,5.31,0.0,0.0,0.0,0.0,0.0
2019-06-30,157.8,0.0,157.8,20.88,38.56,2.39,6.7,4.36,0.0,13.28,71.63,2.41,74.05,0.01,74.03,74.03,13.93,60.11,0.0,60.11,15.13,7.95,7.9,0.0,0.0,0.0,0.0,0.0
2019-09-30,133.26,0.0,133.26,30.85,29.05,-0.92,6.64,4.32,0.0,15.14,48.18,4.58,52.76,0.07,52.69,52.69,12.9,39.79,0.0,39.79,15.13,5.26,5.22,0.0,0.0,0.0,0.0,0.0
2019-12-31,154.17,0.0,154.17,24.0,46.22,0.76,6.9,5.3,0.0,18.78,52.2,8.43,60.64,0.05,60.59,60.59,12.99,47.59,0.0,47.59,15.13,6.29,6.25,0.0,0.0,0.0,0.0,0.0
2020-03-31,100.12,0.0,100.12,20.39,29.35,-3.36,4.76,5.68,0.0,10.46,32.86,33.01,65.87,0.05,65.81,65.81,15.67,50.15,0.0,50.15,15.13,6.63,6.59,0.0,0.0,0.0,0.0,0.0
2020-06-30,119.73,0.0,119.73,18.83,26.35,3.58,6.22,5.43,0.0,7.3,52.02,4.05,56.07,0.05,56.02,56.02,14.0,42.02,0.0,42.02,15.13,5.55,5.52,0.0,0.0,0.0,0.0,0.0
2020-09-30,116.92,0.0,116.92,28.63,23.09,-7.51,5.72,5.43,0.0,10.77,50.79,3.24,54.03,0.04,53.99,53.99,12.73,41.26,0.0,41.26,15.13,5.45,5.42,0.0,0.0,0.0,0.0,0.0
2020-12-31,123.16,0.0,123.16,32.05,13.28,2.77,7.34,5.61,0.0,10.74,51.37,3.98,55.35,0.04,55.31,55.31,13.83,41.48,0.0,41.48,15.13,5.48,5.45,0.0,0.0,0.0,0.0,0.0
2021-03-31,122.88,0.0,122.88,32.97,20.21,0.59,7.31,5.97,0.0,18.52,37.31,7.36,44.67,0.03,44.64,44.64,13.15,31.49,0.0,31.49,15.13,4.16,4.07,0.0,0.0,0.0,0.0,0.0
2021-06-30,127.5,0.0,127.5,37.55,14.17,-3.81,7.11,6.2,0.0,16.17,50.11,19.33,69.44,0.03,69.41,69.41,14.86,54.55,0.0,54.55,15.13,7.21,7.15,0.0,0.0,0.0,0.0,0.0
2021-09-30,160.4,0.0,160.4,45.5,16.17,-1.23,7.41,6.31,0.0,21.15,65.09,18.42,83.51,0.02,83.49,83.49,18.33,65.16,0.0,65.16,15.13,8.61,8.54,0.0,0.0,0.0,0.0,0.0
2021-12-31,128.22,0.0,128.22,30.06,14.01,7.84,8.44,6.31,0.0,14.39,47.17,8.54,55.71,0.02,55.69,55.69,16.57,39.12,0.0,39.12,15.15,5.17,5.12,0.0,0.0,0.0,0.0,0.0
2022-03-31,111.94,0.0,111.94,42.91,13.3,-11.79,7.51,6.95,0.0,21.6,31.46,10.26,41.72,0.02,41.7,41.7,12.68,29.02,0.0,29.02,15.16,3.83,3.79,0.0,0.0,0.0,0.0,0.0
2022-06-30,116.39,0.0,116.39,34.86,10.62,-4.0,8.27,6.37,0.0,20.53,39.74,34.97,74.71,0.01,74.7,74.7,11.46,63.24,0.0,63.24,15.16,8.34,8.27,0.0,0.0,0.0,0.0,0.0
2022-09-30,136.95,0.0,136.95,36.36,10.31,2.51,8.21,6.51,0.0,22.14,50.91,22.45,73.36,0.04,73.32,73.32,15.81,57.51,0.0,57.51,15.16,7.59,7.52,0.0,0.0,0.0,0.0,0.0
2022-12-31,130.6,0.0,130.6,39.47,12.14,-1.07,9.49,6.47,0.0,19.06,45.04,29.36,74.4,0.04,74.36,74.36,15.19,59.17,0.0,59.17,15.18,7.8,7.74,0.0,0.0,0.0,0.0,0.0
2023-03-31,144.67,0.0,144.67,40.67,15.31,0.89,10.71,6.29,0.0,12.22,58.58,12.22,70.8,0.03,70.77,70.77,16.44,54.33,0.0,54.33,15.18,7.15,7.09,0.0,0.0,0.0,0.0,0.0
