Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '12,Dec '11,Sep '11,Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,Mar '10,Dec '09
Net Sales/Income from operations,725.62,585.92,516.25,559.82,516.0,439.11,350.62,349.85,427.72,629.65,569.27,570.03,646.63,517.14,534.48,311.89,522.96,511.67,551.89,502.37,579.77,444.21,498.48,404.82,369.39,301.08
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,2.01,--,--,--,10.26,6.38,9.5,16.88,--,--,--,--,--,--
Total Income From Operations,725.62,585.92,516.25,559.82,516.0,439.11,350.62,349.85,427.72,629.65,569.27,570.03,648.64,517.14,534.48,311.89,533.22,518.05,561.38,519.24,579.77,444.21,498.48,404.82,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,279.25,250.99,233.09,227.72,228.35,175.8,154.63,167.41,172.63,175.92,188.03,202.34,194.64,187.25,174.51,145.5,302.54,321.64,434.53,502.15,378.44,422.69,409.49,255.71,370.95,211.9
Purchase of Traded Goods,128.36,51.63,--,107.38,31.02,128.69,--,0.85,--,52.52,58.1,130.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,9.37,4.48,13.03,-71.35,48.06,-69.18,-3.21,-14.07,5.15,78.02,18.34,-105.42,82.84,-48.55,34.13,-69.93,37.77,86.24,12.24,-111.97,83.17,-75.55,-18.79,70.63,-85.75,27.9
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,52.69,46.85,44.78,39.72,37.1,29.43,25.6,25.48,27.34,23.5,25.47,23.53,18.29,20.24,20.08,18.59,26.09,23.85,22.06,22.9,22.18,17.05,16.52,18.15,19.28,16.9
Depreciation,46.3,34.99,33.56,33.31,34.54,26.72,24.14,21.33,22.56,23.32,21.92,24.6,25.58,22.5,22.5,20.24,20.03,23.04,23.07,23.2,23.09,22.9,23.49,23.31,23.65,22.1
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,227.52,217.4,211.26,211.5,187.78,184.33,181.68,194.28,191.27,216.2,209.62,197.77,162.14,168.59,154.74,121.55,147.33,48.33,44.89,39.11,34.26,36.41,41.56,32.93,34.22,29.58
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-17.87,-20.42,-19.47,11.54,-50.85,-36.68,-32.22,-45.43,8.77,60.17,47.79,96.65,165.15,167.11,128.52,75.94,-0.53,14.95,24.59,43.85,38.65,20.7,26.21,4.1,--,--
Other Income,7.61,4.49,4.83,4.2,5.06,4.18,25.8,6.67,6.73,5.51,6.97,6.54,3.46,5.79,15.26,8.15,5.94,--,--,--,--,--,--,--,--,--
"P/L Before Int., Excpt. Items & Tax",-10.26,-15.93,-14.64,15.74,-45.79,-32.5,-6.42,-38.76,15.5,65.68,54.76,103.19,168.61,172.9,143.78,84.09,5.41,14.95,24.59,43.85,38.65,20.7,26.21,4.1,--,--
Interest,26.11,21.46,19.65,19.59,13.02,10.85,4.02,4.81,5.9,5.21,6.71,4.82,1.91,3.4,69.95,60.49,36.69,37.24,43.09,41.89,38.08,40.02,38.61,39.73,36.37,38.2
P/L Before Exceptional Items & Tax,-36.37,-37.39,-34.29,-3.85,-58.81,-43.35,-10.44,-43.57,9.6,60.47,48.05,98.37,166.7,169.5,73.83,23.6,-31.28,-22.29,-18.5,1.97,0.57,-19.31,-12.4,-35.63,-29.32,-45.5
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,-49.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,-36.37,-37.39,-34.29,-3.85,-58.81,-43.35,-10.44,-43.57,9.6,60.47,48.05,48.57,166.7,169.5,73.83,23.6,-31.28,-22.29,-18.5,1.97,0.57,-19.31,-12.4,-35.63,--,--
Tax,-11.16,-7.64,-26.42,-1.11,-29.1,16.56,-24.17,-15.59,1.38,3.64,6.15,9.95,18.58,26.68,6.68,2.21,-5.59,-7.71,-5.04,0.19,3.09,-5.44,0.38,-13.68,-15.31,-22.55
P/L After Tax from Ordinary Activities,-25.21,-29.75,-7.87,-2.74,-29.71,-59.91,13.73,-27.98,8.22,56.83,41.9,38.62,148.12,142.82,67.15,21.39,-25.68,-14.59,-13.46,1.78,-2.52,-13.87,-12.78,-21.95,--,--
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.56,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.5,--,--,--,-31.25,-20.89
Net Profit/(Loss) For the Period,-25.21,-29.75,-7.87,-2.74,-29.71,-59.91,13.73,-27.98,8.22,56.83,41.9,38.62,148.12,142.82,67.15,21.39,-25.68,-14.59,-13.46,1.78,6.42,-13.87,-12.78,-21.95,-45.26,-43.84
Equity Share Capital,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.06,79.97,79.97,79.97,79.97,79.97,79.97,79.97,79.97,79.97,79.97
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
