Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Intangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Short Term Provisions,Tangible Assets,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Inventories,Trade Receivables,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,18.47,18.47,376.83,376.83,395.3,121.38,36.95,0.0,0.0,158.33,94.26,171.79,70.32,451.7,1005.33,0.0,239.31,5.16,21.43,470.07,0.0,35.91,0.0,535.26,1005.33,61.67,0.01,82.65,0.0,8.84,129.84,135.78,0.0,0.0,0.0,115.33,225.65,13.66,204.17,0.0,105.47,243.03,150.85,35.87,0.0,0.0,9.99,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,36.95,36.95,411.24,411.24,448.19,130.18,43.97,0.0,0.0,174.15,99.48,260.42,19.66,540.54,1162.88,0.0,304.88,11.26,0.0,505.85,0.0,20.14,0.0,657.03,1162.88,69.25,0.01,180.16,0.0,27.31,267.34,85.57,0.0,0.0,0.0,160.98,283.07,21.81,189.71,0.0,149.8,295.2,191.89,41.52,0.0,0.0,8.76,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,36.95,36.95,495.15,495.15,532.1,131.97,49.74,0.0,0.0,181.71,112.33,214.5,86.14,565.2,1279.01,0.0,382.06,8.24,0.0,626.16,0.0,91.91,0.0,652.85,1279.01,138.39,0.01,152.12,0.0,27.31,503.68,165.44,0.0,0.0,0.0,152.23,301.57,80.49,235.86,0.0,165.72,206.35,188.87,111.13,0.0,0.0,41.91,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,36.95,36.95,618.9,618.9,655.85,82.04,49.79,0.0,0.0,131.83,124.41,284.25,12.57,613.65,1401.33,0.0,469.78,7.96,0.0,668.29,0.0,17.25,0.0,733.04,1401.33,111.2,0.03,146.57,0.0,27.31,231.3,124.98,0.0,0.0,0.0,192.42,364.24,105.54,190.55,0.0,205.8,277.23,232.76,103.9,0.0,0.0,17.86,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,36.95,36.95,681.02,681.02,717.97,172.58,53.43,0.0,0.0,226.01,154.92,341.37,13.42,660.4,1604.38,0.0,518.79,10.79,0.0,846.53,0.0,18.02,0.0,757.85,1604.38,111.17,0.01,154.82,0.0,27.31,360.14,193.96,0.0,0.0,0.0,150.69,461.48,57.31,316.95,0.0,227.04,287.94,224.85,94.44,0.0,0.0,46.64,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,36.95,36.95,700.0,700.0,736.95,264.1,55.74,0.0,0.0,319.84,135.66,345.43,15.82,605.55,1662.34,0.0,543.83,9.97,0.0,1008.15,0.0,12.07,0.0,654.19,1662.34,102.21,0.01,183.5,0.0,27.31,64.8,291.62,0.0,0.0,0.0,108.64,514.15,29.68,454.35,0.0,233.81,243.97,164.34,194.33,0.0,0.0,23.25,10.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,36.95,36.95,779.95,779.95,816.9,349.95,59.61,0.0,0.0,409.56,355.87,415.6,22.54,967.07,2193.53,0.0,570.56,18.3,0.0,1338.3,0.0,8.62,0.0,855.23,2193.53,384.81,0.01,109.98,0.0,27.31,227.26,586.71,0.0,0.0,0.0,173.06,527.63,42.93,749.44,0.0,294.39,325.78,226.44,227.71,0.0,0.0,35.98,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,37.13,37.13,954.27,954.27,991.4,362.68,51.76,0.0,0.0,414.44,258.38,515.77,147.34,970.97,2376.81,0.0,588.23,0.0,0.0,1536.52,18.05,13.64,0.0,840.29,2376.81,107.33,0.02,161.72,1.49,27.31,1265.04,246.35,0.0,18.05,0.0,49.48,560.84,27.39,892.5,55.79,387.69,373.37,47.54,142.42,8.72,123.1,14.98,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,37.26,37.26,1077.7,1077.7,1114.96,418.71,48.08,0.0,0.0,466.79,296.23,555.84,167.58,1060.67,2642.45,0.0,644.93,0.0,0.0,1662.07,0.0,85.92,0.0,980.38,2642.45,250.41,0.02,188.76,3.38,27.31,1360.99,284.0,0.0,0.0,0.03,41.02,606.51,38.42,930.15,86.99,409.51,435.85,49.1,230.3,8.5,180.03,27.92,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,37.33,37.33,1144.01,1144.01,1181.34,630.36,52.29,0.0,0.0,682.65,303.17,485.41,441.42,1273.93,3137.92,0.0,791.34,0.0,0.0,2314.04,0.02,33.27,0.0,823.88,3137.92,242.98,0.01,189.02,4.62,27.31,2296.63,333.76,0.0,0.02,0.0,43.93,631.61,159.73,1444.01,78.69,356.77,394.4,39.42,223.36,11.06,129.12,89.34,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
