Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,98.09,10.77,108.86,68.85,-10.71,8.24,7.89,6.96,17.02,10.62,1.45,12.06,1.07,10.99,0.0,10.99,0.0,10.99,0.0,10.99,92.17,0.0,1.19,1.19,4.33,47.03,4.88,100.0,52.97
2013-03-31,99.06,10.41,109.47,56.76,-0.5,9.0,7.57,7.02,16.72,12.91,0.67,13.58,1.28,12.3,0.0,12.3,-3.33,15.62,0.0,15.62,92.17,0.0,1.7,1.7,4.33,47.03,4.88,100.0,52.97
2013-06-30,95.03,8.47,103.5,54.82,-0.45,9.11,7.78,7.05,18.09,7.09,1.32,8.41,0.02,8.39,0.0,8.39,2.83,5.56,0.0,5.56,92.17,0.0,0.6,0.6,4.33,47.03,4.88,100.0,52.97
2013-09-30,86.5,8.41,94.91,49.11,2.49,8.49,8.75,7.09,15.57,3.4,3.28,6.67,0.08,6.59,0.0,6.59,2.15,4.44,0.0,4.44,92.26,0.0,0.48,0.48,4.34,47.08,4.88,100.0,52.92
2013-12-31,80.82,9.09,89.91,45.9,0.95,8.02,9.05,7.07,15.78,3.14,1.19,4.34,1.55,2.78,0.0,2.78,1.28,1.5,0.0,1.5,92.26,0.0,0.16,0.16,1.89,20.52,7.33,100.0,79.48
2014-03-31,88.87,9.34,98.22,50.44,-0.08,8.05,8.93,7.09,13.38,10.4,0.66,11.06,2.07,9.0,0.0,9.0,2.53,6.47,0.0,6.47,92.34,0.0,0.7,0.7,1.9,20.59,7.33,100.0,79.41
2014-06-30,88.92,9.7,98.62,51.01,0.4,7.02,9.87,6.13,14.37,9.83,1.39,11.22,1.69,9.52,0.0,9.52,2.98,6.54,0.0,6.54,92.46,0.0,0.71,0.71,1.91,20.69,7.33,100.0,79.31
2014-09-30,85.46,8.97,94.43,49.08,-0.6,7.85,10.01,6.67,14.96,6.46,1.24,7.7,1.58,6.12,0.0,6.12,1.53,4.59,0.0,4.59,93.25,0.0,0.49,0.49,1.99,21.37,7.33,100.0,78.63
2014-12-31,345.71,32.57,378.28,208.07,-4.63,0.0,47.09,16.26,99.81,11.67,9.63,21.31,3.53,17.78,0.0,17.78,4.62,13.16,0.0,13.16,93.46,0.0,0.41,0.41,2.01,21.54,7.33,100.0,78.46
2015-03-31,379.22,34.79,414.01,216.82,7.92,0.0,47.14,16.6,116.6,8.92,2.69,11.61,2.9,8.72,0.0,8.72,-6.6,15.31,16.72,32.04,322.98,0.0,0.99,0.99,8.59,26.61,23.7,100.0,73.39
2015-06-30,380.87,35.08,415.95,223.59,-8.86,0.0,50.46,16.77,110.74,23.24,2.28,25.51,0.99,24.52,0.0,24.52,8.3,16.22,0.0,16.22,322.98,0.0,0.5,0.5,8.13,25.16,24.18,100.0,74.84
2015-09-30,366.45,24.78,391.23,193.99,9.6,0.0,50.17,17.94,105.03,14.5,1.45,15.95,0.85,15.1,0.0,15.1,5.45,9.66,0.0,9.66,323.25,0.0,0.3,0.3,8.14,25.19,24.18,100.0,74.81
2015-12-31,365.98,30.48,396.46,208.08,2.4,0.0,50.77,19.67,106.84,8.7,1.35,10.05,0.45,9.6,0.0,9.6,4.63,4.97,0.0,4.97,323.34,2022.89,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2016-03-31,374.15,30.05,404.19,203.0,4.07,0.0,52.89,18.33,106.14,19.76,4.04,23.8,0.65,23.15,0.0,23.15,7.87,15.28,0.0,15.28,323.52,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2016-06-30,404.2,0.0,404.2,206.27,-8.84,0.0,59.08,17.19,107.93,22.57,5.22,27.8,1.08,26.72,-9.02,17.7,6.44,11.26,0.0,11.26,323.57,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2016-09-30,413.86,29.64,443.5,202.46,4.98,0.0,57.44,17.72,143.71,17.18,6.0,23.18,1.97,21.21,0.0,21.21,7.17,14.05,0.0,14.05,323.59,0.0,0.43,0.42,0.0,0.0,0.0,0.0,0.0
2016-12-31,447.34,0.0,447.34,203.29,4.45,0.0,53.32,17.79,154.67,13.82,6.13,19.95,3.02,16.93,0.0,16.93,5.99,10.94,0.0,10.94,378.09,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2017-03-31,464.05,0.0,464.05,252.11,0.46,0.0,56.64,17.12,111.73,26.0,2.91,28.92,2.55,26.36,0.0,26.36,9.73,16.64,0.0,16.64,378.11,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2017-06-30,449.51,0.0,449.51,238.98,-9.37,0.0,56.63,18.23,120.57,24.48,4.26,28.74,1.84,26.9,0.0,26.9,9.25,17.65,0.0,17.65,378.12,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2017-09-30,484.25,0.0,484.25,250.97,7.96,0.0,57.12,17.76,119.83,30.6,3.1,33.7,1.24,32.46,0.0,32.46,12.1,20.36,0.0,20.36,378.37,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2017-12-31,561.5,0.0,561.5,293.58,-11.7,0.0,75.59,22.82,145.71,35.5,3.77,39.27,3.3,35.97,-6.9,29.07,14.43,14.65,0.0,14.65,378.37,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2018-03-31,611.97,0.0,611.97,343.19,-7.03,0.0,67.38,18.85,134.51,55.08,6.1,61.18,1.52,59.66,0.0,59.66,21.09,38.57,0.0,38.57,378.47,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2018-06-30,649.96,0.0,649.96,368.07,-9.36,0.0,71.91,18.41,137.8,63.13,5.19,68.32,0.79,67.53,0.0,67.53,23.68,43.85,0.0,43.85,378.66,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2018-09-30,652.45,0.0,652.45,368.53,-6.04,0.0,72.68,18.55,136.98,61.75,4.18,65.93,0.99,64.94,0.0,64.94,22.36,42.58,0.0,42.58,378.62,0.0,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2018-12-31,808.44,0.0,808.44,399.89,1.63,0.0,106.9,27.65,195.35,77.03,9.89,86.92,1.68,85.24,-128.6,-43.37,33.47,-76.84,0.0,-76.84,378.78,0.0,-2.03,-2.03,0.0,0.0,0.0,0.0,0.0
2019-03-31,642.56,0.0,642.56,357.6,-1.92,0.0,71.82,17.82,136.42,60.82,14.82,75.64,2.88,72.76,0.0,72.76,25.83,46.93,0.0,46.93,378.81,0.0,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2019-06-30,540.91,0.0,540.91,292.38,6.55,0.0,67.97,18.11,119.93,35.98,6.5,42.48,5.42,37.06,0.0,37.06,13.71,23.35,0.0,23.35,379.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0
2019-09-30,656.44,0.0,656.44,317.8,9.35,0.0,93.71,28.06,164.75,42.77,7.84,50.6,3.83,46.77,5.1,51.88,42.47,9.41,0.0,9.41,379.01,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2019-12-31,655.57,0.0,655.57,306.51,16.86,0.0,90.13,30.84,172.38,38.86,4.65,43.51,4.05,39.46,6.82,46.28,-10.17,56.45,0.0,56.45,379.01,0.0,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2020-03-31,578.62,0.0,578.62,282.05,-21.06,0.0,96.32,28.29,154.13,38.9,7.78,46.68,2.45,44.23,0.0,44.23,11.81,32.42,0.0,32.42,379.01,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2020-06-30,188.59,0.0,188.59,81.03,9.55,0.0,77.99,19.03,65.36,-64.37,4.43,-59.94,2.03,-61.97,0.0,-61.97,-15.25,-46.72,0.0,-46.72,379.01,0.0,-1.23,-1.23,0.0,0.0,0.0,0.0,0.0
2020-09-30,621.04,0.0,621.04,286.6,12.38,0.0,92.96,31.3,159.35,38.45,3.88,42.33,2.82,39.51,0.0,39.51,11.03,28.47,0.0,28.47,379.01,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2020-12-31,756.51,0.0,756.51,368.95,-15.73,0.0,103.9,29.83,188.91,80.65,3.68,84.34,4.58,79.76,0.0,79.76,19.94,59.82,0.0,59.82,379.01,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2021-03-31,852.92,0.0,852.92,438.54,-18.25,0.0,111.73,29.09,201.82,90.0,2.69,92.69,3.23,89.46,0.0,89.46,165.58,-76.12,0.0,-76.12,379.01,0.0,-2.01,-2.01,0.0,0.0,0.0,0.0,0.0
2021-06-30,717.98,0.0,717.98,377.55,-32.49,0.0,110.1,29.32,176.09,57.41,5.73,63.13,2.1,61.03,0.0,61.03,15.69,45.34,0.0,45.34,379.03,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2021-09-30,878.94,0.0,878.94,486.79,-44.09,0.0,114.06,30.95,198.51,92.73,3.44,96.16,3.06,93.1,0.0,93.1,-4.95,98.05,0.0,98.05,379.05,0.0,2.59,2.59,0.0,0.0,0.0,0.0,0.0
2021-12-31,840.76,0.0,840.76,438.33,16.82,0.0,107.62,29.94,178.91,69.15,5.65,74.8,3.83,70.98,-12.75,58.23,15.14,43.09,0.0,43.09,379.05,0.0,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2022-03-31,992.49,0.0,992.49,528.9,14.92,0.0,115.83,30.95,194.57,107.32,93.76,201.07,3.51,197.57,0.0,197.57,28.88,168.69,0.0,168.69,379.12,0.0,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2022-06-30,1085.99,0.0,1085.99,610.48,0.94,0.0,96.87,32.48,223.54,121.7,9.42,131.12,2.04,129.08,0.0,129.08,32.05,97.03,0.0,97.03,379.13,0.0,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2022-09-30,1208.39,0.0,1208.39,697.96,-14.42,0.0,103.26,34.27,253.46,133.85,4.59,138.44,3.38,135.06,0.0,135.06,34.68,100.38,0.0,100.38,379.32,0.0,2.65,2.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,1110.95,0.0,1110.95,633.76,-27.29,0.0,100.33,35.51,243.13,125.52,12.87,138.39,4.53,133.86,37.87,171.73,25.74,145.99,0.0,145.99,379.32,0.0,3.84,3.84,0.0,0.0,0.0,0.0,0.0
2023-03-31,1142.38,0.0,1142.38,607.31,13.63,0.0,106.51,33.69,239.74,141.5,106.69,248.19,1.61,246.58,0.0,246.58,39.01,207.57,0.0,207.57,379.36,0.0,5.47,5.47,0.0,0.0,0.0,0.0,0.0
2023-06-30,1101.81,0.0,1101.81,572.83,6.4,0.0,104.56,32.76,240.5,144.77,13.34,158.11,2.58,155.53,0.0,155.53,38.35,117.18,0.0,117.18,379.36,0.0,3.09,3.09,0.0,0.0,0.0,0.0,0.0
2023-09-30,1188.19,0.0,1188.19,619.8,12.73,0.0,110.82,33.8,258.92,152.12,15.72,167.83,3.62,164.22,0.0,164.22,41.35,122.87,0.0,122.87,379.36,0.0,3.24,3.24,0.0,0.0,0.0,0.0,0.0
2023-12-31,1137.46,0.0,1137.46,606.85,-13.67,0.0,105.92,35.48,264.17,138.72,14.66,153.37,3.18,150.2,0.0,150.2,35.48,114.72,0.0,114.72,379.36,0.0,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2024-03-31,1164.46,0.0,1164.46,602.31,-2.19,0.0,110.86,35.93,261.57,155.98,109.25,265.23,4.91,260.32,0.0,260.32,43.33,216.99,0.0,216.99,379.36,0.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2024-06-30,1144.12,0.0,1144.12,587.5,0.91,0.0,114.81,35.12,256.23,149.56,22.89,172.45,2.7,169.75,0.0,169.75,43.05,126.7,0.0,126.7,379.36,0.0,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2024-09-30,1135.96,0.0,1135.96,580.94,-10.85,0.0,115.71,36.53,265.28,148.37,19.8,168.17,2.27,165.9,0.0,165.9,42.29,123.61,0.0,123.61,379.36,0.0,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2024-12-31,1118.93,0.0,1118.93,551.58,18.79,0.0,107.68,36.09,270.42,134.38,20.86,155.24,1.79,153.45,0.0,153.45,37.33,116.12,0.0,116.12,379.36,0.0,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2025-03-31,1163.45,0.0,1163.45,593.94,-10.54,0.0,116.89,37.48,277.03,148.64,119.12,267.77,3.41,264.36,0.0,264.36,45.82,218.54,0.0,218.54,379.36,0.0,5.76,5.76,0.0,0.0,0.0,0.0,0.0
