Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2030.7,39.79,2070.49,740.03,277.77,-220.24,258.6,78.0,521.44,414.89,53.48,468.37,9.3,459.07,0.0,459.07,120.29,338.78,0.0,338.78,160.58,4.22,4.22,50.25,62.58,29.55,100.0,36.8
2013-03-31,1906.21,60.48,1966.69,700.42,93.46,-49.49,255.07,78.25,557.78,331.2,58.45,389.65,17.63,372.02,0.0,372.02,104.46,267.56,0.0,267.56,160.58,3.33,3.33,50.1,62.4,29.55,100.0,36.8
2013-06-30,2284.7,179.18,2463.88,672.9,138.23,131.78,306.96,78.88,538.64,596.49,69.14,665.63,40.76,624.87,0.0,624.87,149.97,474.9,0.0,474.9,160.58,5.91,5.91,49.88,62.13,29.55,100.0,36.8
2013-09-30,2302.86,44.58,2347.44,798.19,213.6,-94.18,318.65,81.65,558.25,471.28,64.52,535.8,33.61,502.19,0.0,502.19,126.16,376.03,0.0,376.03,160.58,4.68,4.68,49.91,62.16,29.55,100.0,36.8
2013-12-31,2253.2,28.38,2281.58,860.43,217.67,-153.0,326.34,82.08,627.2,320.86,53.08,373.94,28.3,345.64,0.0,345.64,84.87,260.77,0.0,260.77,160.58,3.25,3.24,49.83,62.06,29.55,100.0,36.8
2014-03-31,2194.19,93.2,2287.39,813.82,203.9,-42.72,332.8,81.0,621.3,277.29,93.54,370.83,25.19,345.64,0.0,345.64,69.0,276.64,0.0,276.64,160.58,3.44,3.44,49.86,62.09,29.55,100.0,36.8
2014-06-30,2401.52,72.94,2474.46,684.66,157.03,146.21,382.81,114.24,571.22,418.29,37.28,455.57,25.15,430.42,0.0,430.42,98.25,332.17,0.0,332.17,160.58,4.14,4.13,49.85,62.09,29.55,100.0,36.8
2014-09-30,2349.28,140.35,2489.63,856.18,256.86,-191.66,359.28,109.77,655.12,444.08,23.24,467.32,31.84,435.48,0.0,435.48,99.41,336.07,0.0,336.07,160.58,4.18,4.17,49.82,62.05,29.55,100.0,36.8
2014-12-31,2325.17,141.06,2466.23,842.0,230.97,-97.68,375.93,97.71,633.29,384.01,46.64,430.65,43.36,387.29,0.0,387.29,88.34,298.95,0.0,298.95,160.58,3.72,3.71,49.35,61.47,29.55,100.0,36.8
2015-03-31,2607.32,94.14,2701.46,1043.9,258.55,-205.92,387.56,111.48,824.16,281.73,40.75,322.48,35.7,286.78,0.0,286.78,72.88,213.9,0.0,213.9,160.59,2.66,2.65,49.0,61.02,29.55,100.0,36.8
2015-06-30,3451.09,76.86,3527.95,1061.68,269.51,-116.64,459.29,105.31,913.95,834.85,113.32,948.17,46.75,901.42,0.0,901.42,206.65,694.77,0.0,694.77,160.62,8.65,8.62,48.9,60.9,29.55,100.0,36.79
2015-09-30,2994.66,76.13,3070.79,926.97,195.19,49.74,422.92,107.49,803.72,564.76,37.74,602.5,49.12,553.38,0.0,553.38,21.29,532.09,0.0,532.09,160.62,6.63,6.59,0.0,0.0,0.0,0.0,0.0
2015-12-31,2637.7,75.84,2713.54,890.15,264.79,32.06,437.87,110.83,756.35,221.49,68.86,290.35,21.8,268.55,0.0,268.55,42.3,226.25,0.0,226.25,160.65,2.82,2.8,0.0,0.0,0.0,0.0,0.0
2016-03-31,2722.64,60.14,2782.78,754.54,308.07,263.19,458.48,119.05,889.81,-10.36,60.37,50.01,29.39,20.62,0.0,20.62,11.43,9.19,0.0,9.19,160.68,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2016-06-30,2653.01,88.23,2741.24,670.32,271.75,174.68,461.53,110.96,742.54,309.46,31.19,340.65,12.92,327.73,0.0,327.73,48.98,278.75,0.0,278.75,160.72,3.47,3.46,0.0,0.0,0.0,0.0,0.0
2016-09-30,2738.61,75.38,2813.99,758.38,272.55,52.72,452.4,128.94,826.14,322.86,32.77,355.63,6.8,348.83,0.0,348.83,19.59,329.24,0.0,329.24,160.84,4.1,4.09,0.0,0.0,0.0,0.0,0.0
2016-12-31,2587.75,87.25,2675.0,726.18,267.97,-35.69,420.59,134.91,763.97,397.07,44.68,441.75,15.31,426.44,0.0,426.44,85.21,341.23,0.0,341.23,160.88,4.25,4.24,0.0,0.0,0.0,0.0,0.0
2017-03-31,2608.51,86.66,2695.17,801.16,316.72,-135.44,394.44,125.17,1135.54,57.58,30.57,88.15,4.02,84.13,0.0,84.13,58.27,25.86,0.0,25.86,160.9,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2017-06-30,2605.16,79.09,2684.25,746.08,271.48,-40.7,443.09,126.22,846.91,291.17,50.64,341.81,0.76,341.05,0.0,341.05,82.04,259.01,0.0,259.01,160.91,3.22,3.21,0.0,0.0,0.0,0.0,0.0
2017-09-30,2975.94,89.33,3065.27,886.26,277.17,-23.81,443.58,132.54,806.66,542.87,180.42,723.29,5.17,718.12,0.0,718.12,151.96,566.16,0.0,566.16,160.94,7.03,7.02,0.0,0.0,0.0,0.0,0.0
2017-12-31,2892.44,77.51,2969.95,908.78,245.85,-112.07,436.0,137.88,811.99,541.52,40.94,582.46,1.9,580.56,0.0,580.56,162.02,418.54,0.0,418.54,160.99,5.2,5.19,0.0,0.0,0.0,0.0,0.0
2018-03-31,2530.9,194.44,2725.34,762.19,269.73,-35.47,463.27,132.97,842.27,290.38,62.88,353.26,4.07,349.19,-77.52,271.67,46.86,224.81,0.0,224.81,161.02,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2018-06-30,2902.67,84.9,2987.57,765.7,287.61,100.25,458.06,135.48,819.27,421.2,106.07,527.27,2.34,524.93,0.0,524.93,134.38,390.55,0.0,390.55,161.04,4.85,4.84,0.0,0.0,0.0,0.0,0.0
2018-09-30,3035.62,59.09,3094.71,764.56,337.66,58.43,456.02,141.04,905.98,431.02,300.11,731.13,7.7,723.43,0.0,723.43,154.96,568.47,0.0,568.47,161.05,7.06,7.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,2754.08,81.12,2835.2,771.48,348.19,-94.64,466.9,148.58,857.19,337.5,76.95,414.45,2.94,411.51,0.0,411.51,116.19,295.32,0.0,295.32,161.13,3.67,3.66,0.0,0.0,0.0,0.0,0.0
2019-03-31,3276.07,180.46,3456.53,810.51,285.75,72.66,458.86,144.62,941.57,742.56,94.39,836.95,3.99,832.96,0.0,832.96,198.89,634.07,0.0,634.07,161.14,7.87,7.86,0.0,0.0,0.0,0.0,0.0
2019-06-30,3126.21,103.12,3229.33,767.89,328.02,-206.16,480.15,145.29,821.83,892.31,93.41,985.72,7.39,978.33,0.0,978.33,284.33,694.0,0.0,694.0,161.17,8.61,8.6,0.0,0.0,0.0,0.0,0.0
2019-09-30,3230.08,140.1,3370.18,769.62,320.06,35.04,479.54,150.93,997.97,617.02,312.75,929.77,9.87,919.9,0.0,919.9,182.52,737.38,0.0,737.38,161.22,9.15,9.14,0.0,0.0,0.0,0.0,0.0
2019-12-31,2821.92,104.28,2926.2,695.3,370.34,21.48,474.11,143.14,928.03,293.8,73.28,367.08,9.55,357.53,0.0,357.53,75.31,282.22,0.0,282.22,161.25,3.5,3.5,0.0,0.0,0.0,0.0,0.0
2020-03-31,3042.01,91.43,3133.44,766.36,344.7,106.56,477.28,160.42,973.74,304.38,413.41,717.79,9.24,708.55,0.0,708.55,103.98,604.57,0.0,604.57,161.25,7.5,7.49,0.0,0.0,0.0,0.0,0.0
2020-06-30,3035.72,92.3,3128.02,758.79,461.57,-195.55,469.47,143.73,689.0,801.01,45.66,846.67,14.21,832.46,0.0,832.46,222.16,610.3,0.0,610.3,161.25,7.57,7.56,0.0,0.0,0.0,0.0,0.0
2020-09-30,3711.03,96.86,3807.89,917.99,601.98,-119.39,512.87,140.8,763.47,990.17,39.17,1029.34,11.69,1017.65,0.0,1017.65,272.01,745.64,0.0,745.64,161.27,9.25,9.23,0.0,0.0,0.0,0.0,0.0
2020-12-31,3689.88,41.67,3731.55,872.53,434.64,129.55,553.5,134.57,745.18,861.58,96.12,957.7,10.33,947.37,0.0,947.37,248.44,698.93,0.0,698.93,161.29,8.67,8.65,0.0,0.0,0.0,0.0,0.0
2021-03-31,3173.39,59.73,3233.12,712.98,349.66,175.46,503.04,137.01,842.28,512.69,49.33,562.02,8.84,553.18,0.0,553.18,139.77,413.41,0.0,413.41,161.29,5.13,5.12,0.0,0.0,0.0,0.0,0.0
2021-06-30,3948.33,69.08,4017.41,990.38,1101.85,-599.21,530.27,136.98,848.63,1008.51,79.66,1088.17,8.0,1080.17,0.0,1080.17,288.4,791.77,0.0,791.77,161.32,9.82,9.8,0.0,0.0,0.0,0.0,0.0
2021-09-30,3858.82,76.21,3935.03,1061.64,643.66,-176.78,538.2,138.97,885.49,843.85,197.73,1041.58,7.6,1033.98,0.0,1033.98,251.61,782.37,0.0,782.37,161.33,9.7,9.68,0.0,0.0,0.0,0.0,0.0
2021-12-31,3954.79,0.0,3954.79,1069.56,578.4,-158.27,524.86,133.95,900.26,906.03,73.0,979.03,5.55,973.48,0.0,973.48,242.65,730.83,0.0,730.83,161.36,9.06,9.05,0.0,0.0,0.0,0.0,0.0
2022-03-31,2882.08,64.53,2946.61,369.54,526.94,405.69,429.0,116.82,827.79,270.83,316.31,587.14,5.78,581.36,0.0,581.36,105.06,476.3,176.66,652.96,161.36,8.09,8.09,0.0,0.0,0.0,0.0,0.0
2022-06-30,3069.83,87.3,3157.13,730.18,453.77,-38.88,484.77,107.46,669.91,749.92,117.68,867.6,2.21,865.39,0.0,865.39,221.39,644.0,115.16,759.16,161.38,7.98,7.97,0.0,0.0,0.0,0.0,0.0
2022-09-30,3746.06,405.21,4151.27,997.51,535.62,-11.79,599.14,176.01,969.74,885.04,92.28,977.32,7.5,969.82,0.0,969.82,264.63,705.19,15.11,720.3,161.4,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2022-12-31,3541.16,358.29,3899.45,753.93,552.08,52.74,591.25,129.96,1011.34,808.15,127.12,935.27,6.85,928.42,0.0,928.42,249.9,678.52,0.0,678.52,161.43,8.41,8.4,0.0,0.0,0.0,0.0,0.0
2023-03-31,3485.68,408.06,3893.74,757.67,451.92,203.19,595.33,161.58,1085.85,638.2,119.71,757.91,10.46,747.45,-185.9,561.55,206.06,355.49,0.0,355.49,161.43,4.4,4.4,0.0,0.0,0.0,0.0,0.0
2023-06-30,3857.73,460.46,4318.19,887.06,701.05,-133.79,661.83,135.95,997.35,1068.74,157.98,1226.72,0.31,1226.41,0.0,1226.41,331.39,895.02,0.0,895.02,161.45,11.09,11.08,0.0,0.0,0.0,0.0,0.0
2023-09-30,4166.74,497.98,4664.72,1001.21,654.61,-138.74,694.71,179.81,1073.81,1199.31,205.09,1404.4,7.8,1396.6,0.0,1396.6,366.91,1029.69,0.0,1029.69,161.47,12.76,12.75,0.0,0.0,0.0,0.0,0.0
2023-12-31,4381.33,0.0,4381.33,677.74,537.32,150.36,648.22,135.02,1011.83,1220.84,168.98,1389.82,9.06,1380.76,0.0,1380.76,363.0,1017.76,96.38,1114.14,161.47,13.8,13.79,0.0,0.0,0.0,0.0,0.0
2024-03-31,3444.92,591.74,4036.66,517.24,467.43,176.94,662.15,136.81,1385.01,691.08,538.61,1229.69,5.45,1224.24,0.0,1224.24,242.21,982.03,56.37,1038.4,161.47,12.86,12.85,0.0,0.0,0.0,0.0,0.0
2024-06-30,3752.25,748.8,4501.05,803.59,572.08,-78.11,763.91,137.86,1079.72,1222.0,213.52,1435.52,5.07,1430.45,0.0,1430.45,374.51,1055.94,0.0,1055.94,161.5,13.08,13.07,0.0,0.0,0.0,0.0,0.0
2024-09-30,3969.86,805.17,4775.03,974.92,544.27,-100.45,744.58,145.71,1173.67,1292.33,289.14,1581.47,3.0,1578.47,0.0,1578.47,400.31,1178.16,0.0,1178.16,161.51,14.59,14.58,0.0,0.0,0.0,0.0,0.0
2024-12-31,4134.87,836.01,4970.88,940.73,475.64,-44.56,761.45,142.62,1175.79,1519.21,188.69,1707.9,3.55,1704.35,0.0,1704.35,266.2,1438.15,0.0,1438.15,161.52,17.81,17.79,0.0,0.0,0.0,0.0,0.0
2025-03-31,4254.47,543.42,4797.89,923.6,464.76,-6.75,784.93,147.7,1312.64,1171.01,293.37,1464.38,3.49,1460.89,294.66,1755.55,270.15,1485.4,0.0,1485.4,161.52,18.39,18.38,0.0,0.0,0.0,0.0,0.0
