Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Trade/Other Goods,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Deferred Tax Liabilities [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,232.42,232.42,34.19,34.19,266.61,142.22,0.0,0.0,148.76,0.0,0.0,339.25,78.93,418.18,833.55,74.09,0.0,4.38,0.0,78.47,0.02,0.0,0.0,0.0,78.49,68.94,81.42,510.23,73.7,20.77,755.06,833.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,232.42,232.42,36.84,36.84,269.26,223.17,0.0,0.0,225.57,0.0,0.0,408.8,104.04,512.84,1007.67,78.3,0.0,1.19,0.0,79.49,0.01,0.0,0.0,0.0,79.5,169.17,167.75,426.82,114.46,49.97,928.17,1007.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,232.42,232.42,55.07,55.07,287.49,220.1,0.0,0.0,220.1,0.0,0.0,459.96,106.33,566.29,1073.88,76.34,0.0,7.16,0.0,83.5,0.01,0.77,0.0,0.0,84.28,304.76,255.58,240.99,129.39,58.88,989.6,1073.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,232.42,232.42,93.67,93.67,326.09,181.95,0.0,0.0,181.95,0.0,0.0,892.08,157.55,1049.63,1557.67,81.91,0.0,7.57,0.0,89.48,0.09,3.78,0.0,0.0,93.35,307.32,280.04,662.09,162.8,52.07,1464.32,1557.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,232.42,232.42,199.64,199.64,432.06,27.38,0.0,0.0,27.38,0.0,0.0,1305.57,301.12,1606.69,2066.13,92.16,0.0,17.45,0.0,109.61,0.09,40.57,0.0,0.0,150.27,205.63,219.21,1199.76,253.31,37.95,1915.86,2066.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,113.28,232.42,-109.67,-109.67,122.75,101.06,0.0,0.0,101.06,0.0,0.0,1838.8,505.18,2343.98,2567.79,119.99,1.65,44.58,0.0,166.22,0.09,75.19,0.0,0.0,241.51,428.13,479.31,901.62,459.5,57.72,2326.28,2567.79,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,119.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,113.28,192.42,490.54,490.54,682.96,0.0,0.0,0.0,0.0,0.0,0.0,1435.07,308.65,1743.72,2426.68,189.75,0.0,48.74,0.0,238.49,3.19,52.71,0.0,0.0,294.39,339.28,744.27,750.26,237.66,60.82,2132.29,2426.68,338.07,252.25,0.0,131.18,667.64,52.71,0.0,44.81,18.49,79.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,113.28,192.42,775.38,775.38,967.8,0.0,0.0,0.0,0.0,0.0,0.0,1307.26,281.53,1588.79,2556.59,190.67,0.0,40.55,0.0,231.23,0.19,23.12,0.0,0.0,254.54,234.76,1111.77,690.25,257.01,8.26,2302.05,2556.59,403.59,382.93,0.0,40.62,901.65,23.12,0.0,54.77,20.58,79.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,113.28,152.42,898.41,898.41,1050.83,0.0,4.97,0.0,4.97,0.0,390.63,970.35,185.6,1546.58,2602.38,192.48,0.13,63.62,0.0,256.23,0.19,9.72,6.14,57.46,329.73,362.54,779.92,908.9,141.64,79.66,2272.65,2602.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,113.28,113.28,1062.42,1062.42,1175.7,0.0,2.52,0.0,2.52,0.0,254.98,747.64,201.72,1204.35,2382.57,247.18,0.13,138.01,0.0,385.31,0.19,0.47,2.24,66.47,454.69,356.86,680.23,703.96,63.39,123.43,1927.88,2382.57,576.5,372.61,0.0,66.52,612.52,0.19,0.0,170.69,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
