Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Intangible Assets Under Development,Inventories,Equity Share Application Money,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,9.66,9.66,127.69,127.69,0.0,137.36,57.29,0.0,0.0,66.16,0.0,33.4,5.5,23.34,62.24,294.75,25.85,43.16,1.29,70.31,90.82,8.22,0.0,169.35,0.0,85.55,4.09,0.0,125.4,294.75,35.4,5.25,106.74,5.45,0.0,90.82,0.0,0.0,0.0,35.76,1.27,0.0,0.0,28.99,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0
2005-03-31,38.65,38.65,143.65,143.65,0.0,182.3,53.9,0.0,0.0,53.9,0.0,25.46,4.93,26.14,56.53,292.73,-27.55,87.64,0.07,60.16,96.97,0.0,0.0,157.14,0.0,67.69,27.79,0.0,135.6,292.73,34.29,10.69,164.32,1.95,0.0,96.97,0.0,0.0,0.0,40.12,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.65,38.65,178.4,178.4,0.0,217.05,41.78,0.0,0.0,41.78,2.0,23.38,5.76,29.27,60.4,319.24,-31.75,87.91,2.88,59.05,108.44,0.0,0.0,167.49,0.0,69.18,26.57,4.08,151.75,319.24,50.42,8.19,209.27,2.4,0.0,108.44,0.0,0.0,0.0,51.91,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,39.1,39.1,257.86,257.86,0.0,296.96,26.66,0.0,0.0,28.51,0.0,27.17,6.23,46.29,79.69,405.19,-32.66,89.14,3.7,60.18,196.7,2.34,0.0,259.22,0.0,102.17,6.31,0.86,145.97,405.19,76.33,8.06,265.65,2.64,0.0,196.7,0.0,0.0,0.0,36.63,2.99,0.0,0.0,0.02,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,58.7,58.7,329.04,329.04,0.0,387.74,16.66,0.0,0.0,19.76,0.0,44.7,30.07,73.47,148.24,555.74,-34.42,106.9,51.83,124.31,192.88,5.54,0.0,322.73,0.0,111.15,14.47,0.0,233.01,555.74,137.75,102.39,403.4,2.5,19.56,192.88,0.0,0.0,0.0,107.39,5.9,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,58.73,58.73,241.33,241.33,0.0,300.05,0.87,0.0,0.0,3.99,0.0,44.78,206.1,54.54,305.42,609.46,-1.85,103.52,105.21,206.88,108.62,43.29,0.0,358.79,0.0,98.67,50.82,0.0,250.67,609.46,99.78,157.85,454.17,1.77,19.56,108.62,0.0,0.0,0.0,101.18,10.66,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,58.79,58.79,416.2,416.2,0.0,474.99,0.91,0.0,0.0,1.75,0.0,39.31,31.88,63.63,134.82,611.57,-10.51,101.4,128.64,219.52,161.09,7.84,0.0,388.46,0.0,101.23,30.39,0.0,223.11,611.57,82.68,153.62,444.82,1.65,19.56,161.09,0.0,0.0,0.0,91.49,2.1,0.0,0.0,0.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,59.25,59.25,521.26,521.26,0.0,580.51,2.75,0.0,0.27,3.02,0.0,38.62,41.01,73.45,153.09,736.62,80.59,8.32,134.96,226.22,114.58,12.71,16.59,381.39,22.0,181.0,19.15,35.63,355.23,736.62,274.85,189.83,0.0,524.21,19.56,114.58,0.0,22.0,11.3,97.45,12.31,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,59.63,59.63,576.54,576.54,0.0,636.17,5.69,5.88,0.26,11.84,0.0,58.63,58.65,84.62,201.9,849.91,254.56,10.79,0.22,265.57,119.53,11.11,21.71,429.0,46.5,234.41,82.65,4.56,420.9,849.91,277.8,246.39,0.0,746.82,19.56,119.53,0.0,46.5,11.08,52.79,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,60.24,60.24,707.65,707.65,0.0,767.89,5.55,0.0,25.06,30.61,0.0,94.32,52.51,70.48,217.32,1015.82,260.41,13.53,27.75,301.69,123.42,7.04,13.22,463.97,75.0,317.64,65.99,43.13,551.84,1015.82,284.05,295.48,0.0,950.46,19.56,123.42,0.0,75.0,18.6,46.36,5.01,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,60.7,60.7,867.63,867.63,0.0,928.33,4.89,0.0,28.03,32.92,21.5,99.11,65.28,74.14,260.03,1221.28,258.77,12.13,115.95,386.86,123.42,10.32,5.08,569.03,40.06,431.65,48.64,45.23,652.24,1221.28,328.74,365.77,0.0,1074.31,19.56,123.42,0.0,40.06,43.35,81.88,3.05,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,61.04,61.04,958.8,958.8,0.0,1019.85,4.62,0.0,30.62,35.24,20.0,129.93,123.75,125.94,399.63,1454.71,310.23,65.54,116.0,491.77,210.75,26.01,6.09,784.16,23.19,441.99,73.53,44.93,670.55,1454.71,117.7,432.47,0.0,1085.15,19.56,210.75,0.0,23.19,49.54,78.68,26.05,0.0,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,61.19,61.19,1086.44,1086.44,0.0,1147.63,5.95,0.0,59.26,65.21,0.0,94.33,99.72,123.21,317.26,1530.1,469.39,53.05,0.69,523.14,345.79,5.69,9.57,963.67,63.0,250.7,104.15,41.37,566.42,1530.1,62.5,487.71,0.0,1272.44,19.56,345.79,0.0,63.0,79.49,107.21,25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,61.4,61.4,1266.7,1266.7,11.3,1339.4,21.0,0.0,66.0,87.0,2.8,54.2,84.2,45.9,187.1,1613.5,450.1,44.0,0.0,494.1,345.8,68.7,31.9,940.5,238.3,207.9,59.0,167.8,673.0,1613.5,33.4,570.2,0.0,1399.1,19.56,345.8,238.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,61.5,61.5,1393.3,1393.3,19.1,1473.9,17.4,3.1,70.7,91.2,0.0,80.4,103.5,35.9,219.8,1784.9,424.0,40.0,0.7,464.7,445.5,93.5,32.6,1036.3,298.2,250.6,67.7,132.1,748.6,1784.9,32.7,607.0,0.0,1476.9,19.56,445.5,298.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,61.8,61.8,1624.1,1624.1,18.0,1703.9,9.7,1.2,51.6,62.5,0.0,85.0,110.0,24.6,219.6,1986.0,395.6,30.9,1.4,427.9,580.8,87.3,25.3,1121.3,284.7,316.5,139.4,124.1,864.7,1986.0,63.3,873.0,0.0,1901.0,19.56,580.8,284.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,62.5,62.5,1904.3,1904.3,8.3,1975.1,4.5,26.1,47.0,77.6,0.0,138.2,142.5,12.7,293.4,2346.1,394.3,17.7,0.3,412.3,825.5,109.5,38.9,1386.2,11.7,401.2,443.4,103.6,959.9,2346.1,23.6,948.6,0.0,2120.7,19.56,825.5,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,60.6,60.6,1692.2,1692.2,52.3,1805.1,0.3,39.2,47.3,86.8,0.0,196.3,158.2,3.3,357.8,2249.7,377.4,5.3,0.2,382.9,842.4,122.7,68.8,1416.8,12.4,301.3,402.3,116.9,832.9,2249.7,40.8,971.7,0.0,2116.0,18.97,842.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,60.9,60.9,2087.7,2087.7,57.5,2206.1,336.5,88.0,0.0,424.5,0.2,383.2,226.9,0.0,610.3,3240.9,386.2,7.9,8.6,402.7,1833.6,233.0,137.7,2607.0,0.0,424.6,62.4,146.9,633.9,3240.9,127.5,1129.3,0.0,2960.8,18.97,1833.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,61.1,61.1,2465.8,2465.8,88.4,2615.3,338.2,160.4,0.0,498.6,0.0,334.2,330.0,0.0,664.2,3778.1,429.1,6.8,1.7,437.6,1833.6,305.7,164.9,2741.8,0.0,783.6,139.5,113.2,1036.3,3778.1,81.7,1129.3,0.0,2960.8,18.97,1833.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,61.8,61.8,3208.4,3208.4,42.0,3312.2,339.9,192.2,0.0,532.1,0.0,422.5,218.0,0.0,640.5,4484.8,441.8,6.4,20.3,468.5,2168.0,480.1,212.9,3329.5,0.0,969.2,45.3,140.8,1155.3,4484.8,101.8,1472.8,0.0,4566.4,18.97,2168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,66.9,66.9,5667.9,5667.9,0.0,5734.8,6.4,372.7,0.0,379.1,440.5,432.4,389.3,0.0,1262.2,7376.1,524.8,7.7,2.3,534.8,4264.4,501.8,387.5,5688.5,0.0,1141.2,138.1,408.3,1687.6,7376.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
