Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Intangible Assets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,135.99,135.99,108.32,108.32,0.0,244.31,11.84,0.0,0.0,14.01,173.51,53.96,65.75,293.22,551.54,48.96,4.16,93.95,115.89,11.72,0.0,0.0,221.55,61.68,32.62,127.95,107.73,0.0,329.98,551.54,35.02,25.25,46.82,17.39,2.59,111.89,11.39,105.22,0.0,2.17,0.0,21.15,0.0,0.0,1.03,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,135.99,135.99,113.78,113.78,0.0,249.77,7.91,0.0,0.0,11.89,202.44,12.62,97.11,312.17,573.83,38.92,67.46,147.21,160.78,12.94,0.0,3.56,324.49,74.47,17.35,56.14,101.38,0.0,249.34,573.83,69.06,19.24,46.82,16.96,3.18,111.89,16.16,144.8,0.0,3.98,0.0,21.29,0.0,0.0,14.06,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,135.99,135.99,135.08,135.08,0.0,271.07,10.36,0.0,0.0,14.71,242.45,39.91,68.74,351.1,636.88,119.2,9.09,169.12,148.34,17.97,0.0,0.0,335.42,74.36,7.4,87.97,131.73,0.0,301.46,636.88,42.89,34.76,50.28,6.26,8.22,111.89,15.86,132.14,0.0,4.36,0.0,32.36,0.0,0.0,19.1,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,135.99,135.99,144.53,144.53,0.0,280.53,14.23,0.0,0.0,18.51,283.3,32.42,106.93,422.65,721.68,126.86,24.34,192.03,133.34,39.9,0.0,0.0,365.26,80.33,9.33,111.72,155.04,0.0,356.41,721.68,102.37,61.7,64.15,6.09,31.1,111.89,15.71,114.01,0.0,4.28,0.0,39.82,0.0,0.0,10.66,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,13.6,13.6,148.61,148.61,0.0,162.21,15.34,0.0,0.0,20.02,304.72,42.21,187.27,534.2,716.43,150.58,7.59,198.99,72.59,43.16,0.0,0.0,314.74,75.64,9.19,144.26,172.6,0.0,401.69,716.43,46.67,53.63,55.49,14.53,51.05,11.19,15.6,56.39,0.0,4.69,0.0,32.37,0.0,0.0,6.52,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,13.6,13.6,202.7,202.7,0.0,216.3,17.39,0.0,0.0,22.08,341.73,52.81,161.19,555.73,794.11,133.1,4.67,178.6,38.33,35.08,0.0,0.0,252.01,82.42,11.13,251.14,197.4,0.0,542.1,794.11,46.46,73.03,110.97,18.0,56.58,11.19,5.0,33.01,0.0,4.69,0.0,42.18,0.0,0.0,1.75,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,13.6,13.6,312.51,312.51,0.0,326.11,18.68,0.0,0.0,23.26,370.8,55.85,124.82,551.47,900.85,206.12,6.19,253.14,21.0,36.58,0.0,0.0,310.71,110.55,9.77,347.58,122.23,0.0,590.13,900.85,62.75,157.3,145.65,16.6,47.24,11.19,0.0,21.0,0.0,4.59,0.0,75.08,0.0,0.0,15.04,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,13.6,13.6,370.45,370.45,0.0,384.05,0.0,0.87,26.88,27.8,378.55,212.19,31.42,622.17,1034.02,255.04,8.21,263.26,29.15,16.84,18.28,0.46,327.99,153.7,75.3,395.15,64.65,7.64,706.03,1034.02,72.51,163.28,138.71,19.96,51.39,11.19,0.0,29.15,9.59,0.05,9.59,49.11,4.39,12.24,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,13.6,13.6,421.79,421.79,0.0,435.39,0.0,0.76,30.06,30.82,369.01,217.18,77.19,663.39,1129.6,254.42,69.38,323.81,47.12,12.1,22.53,0.36,405.92,217.68,87.27,309.81,102.07,6.86,723.68,1129.6,68.45,198.33,166.46,31.44,67.95,11.19,0.0,47.12,0.0,0.0,0.0,85.51,6.09,24.53,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,13.6,13.6,475.99,475.99,0.0,489.59,0.0,0.84,34.9,35.74,466.62,250.18,64.64,781.44,1306.78,280.66,101.96,382.62,37.13,22.44,70.3,1.25,513.74,185.3,81.21,428.8,84.47,3.28,793.04,1306.78,166.77,215.85,187.26,35.18,78.29,11.19,0.0,37.13,9.98,0.0,9.98,112.65,4.28,25.85,25.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
