Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,400.56,440.61,405.74,422.1,396.44,437.85,408.31,407.07,375.13,389.23,360.61,329.58,287.54,282.7,271.94,252.34,245.93,235.46,228.26,214.19,299.05,307.95,294.95,286.21,289.57,317.95,281.74,294.58,287.72,305.04,280.21,291.54,300.59,333.5,275.3,262.24,258.95,257.4,246.48,230.14,222.08,236.17,227.53,219.83,219.84,216.15,189.78,195.23,188.12,188.65
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.35,1.4,1.14,1.1,0.94,0.67,0.83,0.66,0.96,0.62,0.51,0.64,0.53,0.87,0.51,0.61,0.49,0.94,0.49,0.5,0.73,0.65
Total Income From Operations,400.56,440.61,405.74,422.1,396.44,437.85,408.31,407.07,375.13,389.23,360.61,329.58,287.54,282.7,271.94,252.34,245.93,235.46,228.26,214.19,299.05,307.95,294.95,286.21,289.57,317.95,281.74,294.58,290.07,306.44,281.35,292.64,301.53,334.17,276.13,262.9,259.91,258.02,246.99,230.78,222.61,237.04,228.04,220.44,220.33,217.09,190.27,195.73,188.85,189.3
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,205.85,242.21,214.46,221.75,198.3,222.97,197.14,203.5,178.79,181.42,190.16,162.61,136.97,136.36,131.4,118.3,104.79,115.0,113.76,105.85,123.22,139.35,129.71,124.47,123.51,129.42,120.19,128.01,118.9,126.26,122.05,124.92,118.4,140.44,107.89,105.77,95.22,95.02,89.99,93.5,84.0,83.06,82.19,85.9,77.56,71.58,71.15,80.79,70.51,69.93
Depreciation,19.26,14.51,9.5,9.62,9.64,17.14,16.64,16.5,16.64,17.17,17.22,12.82,12.96,12.99,12.66,13.49,13.75,17.69,15.5,16.1,18.34,6.34,6.48,6.42,6.39,7.57,7.31,7.03,7.45,7.27,7.24,7.06,6.95,9.13,6.49,6.61,6.28,5.82,5.87,5.83,6.0,5.9,6.04,6.14,5.84,5.86,5.94,5.73,5.69,6.11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,133.65,143.53,132.05,138.08,123.4,133.9,106.87,131.57,115.47,139.77,121.1,114.98,87.53,97.19,84.81,74.89,76.63,69.59,69.89,63.5,86.02,100.11,91.96,102.5,95.07,107.84,86.69,88.94,81.52,87.83,79.47,91.3,93.96,75.14,87.35,84.07,73.45,73.98,78.01,69.24,70.66,72.03,69.9,67.58,68.41,65.25,60.48,52.45,52.82,50.04
"P/L Before Other Inc. , Int., Excpt. Items & Tax",41.8,40.36,49.73,52.65,65.1,63.84,87.66,55.5,64.23,50.87,32.13,39.17,50.08,36.16,43.07,45.66,50.76,33.18,29.11,28.74,71.47,62.15,66.8,52.82,64.6,73.12,67.55,70.6,82.2,85.08,72.59,69.36,82.22,109.46,74.4,66.45,84.96,83.2,73.12,62.21,61.95,76.05,69.91,60.82,68.52,74.4,52.7,56.76,59.83,63.22
