Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,188.65,0.65,189.3,69.93,6.11,50.04,63.22,7.44,70.66,0.0,70.66,0.0,70.66,22.11,48.55,0.0,48.55,7.02,6.92,6.88,3.3,47.02,3.72,100.0,52.98
2013-03-31,188.12,0.73,188.85,70.51,5.69,52.82,59.83,3.76,63.59,0.0,63.59,0.0,63.59,17.99,45.6,0.0,45.6,7.02,6.49,6.47,3.3,47.02,3.72,100.0,52.98
2013-06-30,195.23,0.5,195.73,80.79,5.73,52.45,56.76,18.34,75.1,0.0,75.1,0.0,75.1,22.27,52.83,0.0,52.83,7.05,7.5,7.47,3.33,47.23,3.72,100.0,52.77
2013-09-30,189.78,0.49,190.27,71.15,5.94,60.48,52.7,17.79,70.49,0.0,70.49,99.36,169.85,43.42,126.43,0.0,126.43,7.05,17.93,17.84,2.27,32.18,4.78,100.0,67.82
2013-12-31,216.15,0.94,217.09,71.58,5.86,65.25,74.4,5.77,80.17,0.0,80.17,0.0,80.17,23.84,56.33,0.0,56.33,7.07,7.97,7.94,2.28,32.31,4.78,100.0,67.69
2014-03-31,219.84,0.49,220.33,77.56,5.84,68.41,68.52,4.29,72.81,0.0,72.81,0.0,72.81,21.85,50.96,0.0,50.96,7.07,7.21,7.18,2.28,32.3,4.78,100.0,67.7
2014-06-30,219.83,0.61,220.44,85.9,6.14,67.58,60.82,6.23,67.05,0.0,67.05,0.0,67.05,20.12,46.93,0.0,46.93,7.1,6.62,6.52,2.31,32.59,4.78,100.0,67.41
2014-09-30,227.53,0.51,228.04,82.19,6.04,69.9,69.91,15.59,85.5,0.0,85.5,0.0,85.5,25.04,60.46,0.0,60.46,7.1,8.52,8.35,2.31,32.59,4.78,100.0,67.41
2014-12-31,236.17,0.87,237.04,83.06,5.9,72.03,76.05,5.98,82.03,0.0,82.03,0.0,82.03,24.87,57.16,0.0,57.16,7.14,8.02,7.89,2.35,32.97,4.78,100.0,67.03
2015-03-31,222.08,0.53,222.61,84.0,6.0,70.66,61.95,4.69,66.64,0.0,66.64,0.0,66.64,21.03,45.61,0.0,45.61,7.14,6.39,6.28,2.35,32.97,4.78,100.0,67.03
2015-06-30,230.14,0.64,230.78,93.5,5.83,69.24,62.21,14.0,76.21,0.0,76.21,0.0,76.21,24.01,52.2,0.0,52.2,7.15,7.31,7.2,2.36,33.06,4.78,100.0,66.94
2015-09-30,246.48,0.51,246.99,89.99,5.87,78.01,73.12,14.79,87.91,0.0,87.91,0.0,87.91,28.23,59.68,0.0,59.68,7.09,8.4,8.28,2.31,32.57,4.78,100.0,67.43
2015-12-31,257.4,0.62,258.02,95.02,5.82,73.98,83.2,11.4,94.6,0.0,94.6,0.0,94.6,30.08,64.52,0.0,64.52,7.12,9.07,8.95,0.0,0.0,0.0,0.0,0.0
2016-03-31,258.95,0.96,259.91,95.22,6.28,73.45,84.96,10.63,95.59,0.0,95.59,0.0,95.59,31.31,64.28,0.0,64.28,7.12,9.03,8.93,0.0,0.0,0.0,0.0,0.0
2016-06-30,262.24,0.66,262.9,105.77,6.61,84.07,66.45,7.65,74.1,0.0,74.1,0.0,74.1,23.65,50.45,0.0,50.45,7.13,7.08,7.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,275.3,0.83,276.13,107.89,6.49,87.35,74.4,16.71,91.11,0.0,91.11,0.0,91.11,29.34,61.77,0.0,61.77,7.13,8.67,8.56,0.0,0.0,0.0,0.0,0.0
2016-12-31,333.5,0.67,334.17,140.44,9.13,75.14,109.46,14.75,124.21,0.0,124.21,0.0,124.21,46.41,77.8,0.0,77.8,7.13,10.91,10.78,0.0,0.0,0.0,0.0,0.0
2017-03-31,300.59,0.94,301.53,118.4,6.95,93.96,82.22,10.59,92.81,0.0,92.81,0.0,92.81,29.43,63.38,0.0,63.38,7.13,8.89,8.79,0.0,0.0,0.0,0.0,0.0
