Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1964.71,2448.26,2143.58,2514.16,2039.46,2414.36,2334.4,2347.38,1939.48,2298.26,2266.88,2179.73,1852.34,2224.43,2119.89,1982.84,1721.86,2071.08,1900.9,1490.89,1321.15,1748.18,1612.2,1628.27,1598.43,1664.46,1537.2,1473.1,1509.62,1449.31,1416.39,1233.74,1434.8,1281.21,1348.1,1276.11,1432.97,1369.96,1318.37,1275.46,1387.9,1498.31,1289.68,1243.03,1247.2,1339.07,1148.14,1122.39,1094.04,1188.93
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.75,3.48,2.75,--,2.89,2.11,2.86,2.61,3.47,3.32,2.96,3.03,3.07,3.55,3.63,2.78,3.73
Total Income From Operations,1964.71,2448.26,2143.58,2514.16,2039.46,2414.36,2334.4,2347.38,1939.48,2298.26,2266.88,2179.73,1852.34,2224.43,2119.89,1982.84,1721.86,2071.08,1900.9,1490.89,1321.15,1748.18,1612.2,1628.27,1598.43,1664.46,1537.2,1473.1,1509.62,1449.31,1416.39,1233.74,1434.8,1283.96,1351.58,1278.86,1432.97,1372.85,1320.48,1278.32,1390.51,1501.78,1293.0,1245.99,1250.23,1342.14,1151.69,1126.02,1096.82,1192.66
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,785.33,781.8,844.02,859.59,779.37,791.04,858.47,871.37,955.43,775.4,832.48,918.15,780.18,818.49,823.73,805.43,694.47,814.82,717.65,529.09,569.42,612.7,622.7,644.55,568.1,571.56,583.74,539.11,591.85,536.39,466.25,482.54,524.55,439.65,482.54,454.99,471.73,527.0,487.88,425.72,453.46,458.86,500.74,508.03,467.88,476.98,457.31,415.81,441.17,442.94
Purchase of Traded Goods,341.89,445.5,440.96,450.06,381.79,388.88,422.8,385.58,257.52,345.53,413.82,381.66,278.47,275.13,310.82,313.45,261.6,321.48,311.75,222.67,165.63,210.63,264.14,224.82,270.19,224.08,259.36,231.28,215.57,273.47,197.12,230.3,245.28,179.41,266.07,253.84,261.36,172.6,234.8,283.29,253.44,207.27,247.79,228.76,188.44,178.82,203.16,186.55,141.75,169.68
Increase/Decrease in Stocks,-16.27,99.7,-141.29,70.76,-58.28,100.06,-40.0,47.4,-131.31,146.34,31.41,-71.42,-39.32,90.52,-22.73,-56.96,-31.58,-74.44,-79.38,8.69,-58.46,71.81,-64.87,-18.37,-17.78,68.21,-52.44,12.1,-33.27,-75.9,74.47,-39.33,1.62,77.33,-48.35,-38.79,21.21,-2.18,-24.39,-18.41,-2.33,109.41,-73.4,-65.93,7.98,52.24,-69.97,-2.55,-10.63,27.11
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,160.24,205.98,208.05,202.59,194.29,196.89,201.57,189.39,179.1,189.59,184.69,172.58,177.81,173.91,165.51,161.48,166.48,171.63,174.35,143.36,133.56,149.7,150.89,144.11,143.21,147.86,143.29,137.97,101.77,122.9,117.26,119.2,88.99,105.63,117.56,113.12,105.05,111.68,109.73,105.43,97.86,104.25,101.39,89.49,83.55,89.87,87.98,76.45,72.27,73.38
Depreciation,63.22,63.78,63.83,60.1,54.19,52.17,51.15,51.35,50.21,47.6,46.52,43.96,41.39,40.38,40.03,38.59,37.41,35.86,36.05,34.08,33.18,32.65,32.83,31.27,28.64,27.97,26.18,26.04,26.33,26.15,25.51,24.51,21.32,18.04,18.67,17.4,20.06,17.49,17.29,17.99,17.14,16.36,16.24,16.23,14.85,13.47,13.18,18.47,18.89,19.81
