Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Equity Share Application Money,Government/Other Grants,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,28.62,28.62,240.03,240.03,268.66,13.4,7.97,0.0,0.0,21.37,26.31,64.29,100.34,71.7,262.64,552.66,145.31,3.3,6.34,0.0,0.0,154.94,171.23,0.57,0.0,6.6,333.34,0.0,109.52,42.07,11.89,55.84,0.0,219.32,552.66,192.02,5.16,1.4,28.91,0.62,18.2,115.53,56.14,0.0,0.0,2.6,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,28.64,28.64,309.43,309.43,338.07,10.09,12.78,0.0,0.0,22.87,38.38,121.2,111.8,89.39,360.77,721.71,171.39,10.96,9.26,0.0,0.0,191.61,270.94,1.38,0.0,5.81,469.74,0.0,128.03,49.28,10.65,64.01,0.0,251.97,721.71,175.62,1.94,0.03,36.83,0.36,18.2,46.18,227.12,0.0,0.0,3.52,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,57.33,57.33,390.54,390.54,447.87,7.55,16.72,0.0,0.0,24.27,12.93,85.45,100.63,121.32,320.33,792.47,174.81,10.96,13.07,0.0,0.0,198.84,275.08,1.32,0.0,32.87,508.11,0.0,115.61,26.94,38.04,103.77,0.0,284.36,792.47,190.02,0.98,0.04,26.32,0.26,46.87,43.43,234.43,0.0,0.0,3.08,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,86.29,86.29,316.9,316.9,403.19,3.8,22.64,0.0,0.0,26.44,15.74,124.01,155.12,77.49,372.37,801.99,218.51,16.82,3.71,0.0,0.0,239.04,145.35,1.37,0.0,19.82,405.58,0.0,157.37,60.98,50.25,127.82,0.0,396.41,801.99,153.25,1.69,0.06,69.19,0.0,75.57,80.82,65.99,0.0,0.0,7.69,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,86.4,86.4,441.92,441.92,528.32,5.46,27.28,0.0,0.0,32.74,11.22,140.07,177.81,265.41,594.51,1155.57,258.58,19.59,16.26,0.0,0.0,294.43,270.37,24.01,0.0,13.95,602.76,0.0,201.15,100.46,68.26,182.94,0.0,552.81,1155.57,171.24,1.65,0.02,94.1,0.0,75.57,205.19,67.99,0.0,0.0,15.85,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,86.51,86.51,651.69,651.69,738.2,22.89,30.49,0.0,0.0,53.37,116.08,153.03,198.36,315.1,782.57,1574.14,287.25,21.07,51.71,0.0,0.0,360.03,232.05,23.53,0.0,8.64,624.26,0.0,261.72,112.36,143.68,227.28,204.84,949.89,1574.14,174.15,2.87,0.04,109.87,0.0,75.57,118.48,319.12,0.0,0.0,16.51,0.0,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,86.76,86.76,662.48,662.48,749.24,13.29,35.77,0.0,0.0,49.06,90.88,159.74,276.22,440.1,966.94,1767.28,429.21,21.74,23.31,0.0,0.0,474.26,348.51,23.82,0.0,2.74,849.33,0.0,298.44,130.48,163.91,325.12,0.0,917.95,1767.28,173.48,13.33,0.04,123.73,0.0,75.57,250.52,98.6,0.0,0.0,19.0,0.0,0.0,4.13,0.0,0.14,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,174.07,174.07,927.09,927.09,1101.16,5.51,17.4,0.0,360.0,382.91,246.5,494.86,37.77,144.71,923.84,2407.91,492.53,5.03,4.37,0.0,0.0,501.93,102.11,0.0,323.61,82.94,1010.59,417.38,460.59,202.46,192.41,91.34,33.14,1397.32,2407.91,1042.86,4.7,0.05,131.69,2.47,162.61,0.0,102.11,84.0,333.65,13.4,0.28,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,174.21,174.21,1128.28,1129.06,1303.27,1.14,27.11,0.0,40.49,68.74,272.13,522.28,122.4,162.71,1079.52,2451.53,578.19,7.14,11.58,0.0,0.0,596.91,159.48,0.0,18.57,83.84,858.8,393.24,528.57,224.17,261.29,153.25,32.21,1592.73,2451.53,1341.72,2.97,0.05,167.19,0.0,162.61,87.92,71.54,157.3,235.94,17.73,0.8,0.0,12.17,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,174.29,174.29,1420.45,1420.49,1594.78,0.84,34.18,0.0,39.65,74.67,240.74,604.14,133.64,179.92,1158.44,2827.89,603.71,12.87,17.07,0.0,0.0,633.65,234.97,0.0,8.7,213.18,1090.5,494.44,499.74,255.32,319.4,116.53,51.96,1737.39,2827.89,1719.07,5.98,0.02,238.17,0.0,162.6,91.63,143.32,203.43,291.01,22.43,1.85,0.55,6.61,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
