Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,533.33,1.03,534.36,260.8,0.14,-39.72,45.52,20.36,85.31,161.95,22.32,184.27,0.44,183.83,183.83,36.59,147.24,147.24,26.55,10.86,10.86,6.35,47.85,6.92,100.0,52.15
2013-03-31,649.61,1.67,651.28,233.17,0.0,20.91,53.86,20.27,90.96,232.11,7.59,239.7,0.62,239.08,239.08,57.25,181.83,181.83,26.55,13.7,13.7,6.35,47.85,6.92,100.0,52.15
2013-06-30,515.88,1.27,517.15,283.89,0.0,-106.4,53.03,20.88,89.45,176.3,53.42,229.72,0.41,229.31,229.31,54.6,174.71,174.71,26.55,13.16,13.16,6.35,47.85,6.92,100.0,52.15
2013-09-30,565.88,1.07,566.95,281.49,0.0,-101.33,56.15,22.52,81.92,226.2,36.54,262.74,0.39,262.35,262.35,57.42,204.93,204.93,26.55,15.44,15.44,6.35,47.85,6.92,100.0,52.15
2013-12-31,687.41,1.86,689.27,244.73,0.0,11.51,57.1,23.27,88.14,264.52,7.91,272.43,0.35,272.08,272.08,53.06,219.02,219.02,26.55,16.5,16.5,6.36,47.88,6.92,100.0,52.12
2014-03-31,738.01,2.59,740.6,221.78,0.0,82.47,59.15,25.39,115.38,236.43,9.38,245.81,0.91,244.9,244.9,51.84,193.06,193.06,26.55,14.54,14.54,6.36,47.92,6.91,100.0,52.08
2014-06-30,639.76,2.9,642.66,296.72,0.0,-47.78,60.18,33.26,98.37,201.91,12.69,214.6,0.36,214.24,214.24,46.31,167.93,167.93,26.55,12.65,12.65,6.36,47.92,6.91,100.0,52.08
2014-09-30,829.77,3.37,833.14,410.97,0.0,-60.4,69.48,29.26,106.29,277.54,15.54,293.08,0.43,292.65,292.65,63.01,229.64,229.64,26.55,17.3,17.3,6.36,47.92,6.91,100.0,52.08
2014-12-31,788.08,3.04,791.12,346.72,0.0,-28.08,74.59,28.79,110.8,258.3,19.94,278.24,0.48,277.76,277.76,57.18,220.58,220.58,26.55,16.62,16.62,6.36,47.92,6.91,100.0,52.08
2015-03-31,814.69,2.4,817.09,391.86,0.0,-94.57,78.9,44.54,125.78,270.58,12.54,283.12,0.59,282.53,282.53,53.62,228.91,228.91,26.55,17.25,17.25,6.36,47.92,6.91,100.0,52.08
