Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-12-31,276.35,276.35,169.79,4.23,-3.41,35.76,9.75,26.77,33.46,0.87,34.33,2.26,32.07,32.07,8.16,23.91,23.91,0.37,4.25,4.25
2023-03-31,296.65,296.65,170.51,5.15,0.15,35.74,9.92,30.56,44.63,1.2,45.82,2.93,42.89,42.89,11.19,31.71,31.71,0.37,5.64,5.64
2023-06-30,336.98,336.98,198.35,4.8,-1.41,47.41,10.37,31.28,46.19,1.18,47.37,3.26,44.11,44.11,11.21,32.9,32.9,60.69,5.42,0.0
2023-09-30,346.22,346.22,201.54,7.55,-5.92,49.81,10.57,34.52,48.16,1.05,49.21,3.4,45.81,45.81,11.66,34.15,34.15,56.25,6.07,6.07
2023-12-31,342.21,342.21,205.54,6.62,-17.72,50.09,12.44,35.97,49.27,1.97,51.25,3.72,47.53,47.53,12.27,35.26,35.26,60.69,6.25,6.25
2024-03-31,362.41,362.41,206.95,5.12,-8.64,51.41,12.73,40.05,54.79,5.7,60.5,3.24,57.26,57.26,14.46,42.79,42.79,60.69,7.44,7.44
2024-06-30,413.82,413.82,210.7,26.56,3.83,56.16,13.08,40.15,63.35,5.68,69.04,3.09,65.94,65.94,16.77,49.17,49.17,60.69,8.1,8.1
2024-09-30,423.14,423.14,227.11,17.82,3.96,54.92,14.2,43.44,61.69,6.0,67.7,2.86,64.83,64.83,16.78,48.06,48.06,60.69,7.92,7.92
2024-12-31,432.36,432.36,237.45,29.55,-13.63,61.35,14.42,44.42,58.8,6.09,64.88,2.65,62.23,62.23,15.72,46.51,46.51,60.69,7.66,7.66
2025-03-31,439.79,439.79,239.16,52.0,-35.47,62.55,15.05,46.36,60.14,4.42,64.56,2.6,61.97,61.97,15.83,46.13,46.13,60.69,7.6,7.6
