Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,318.37,5.26,323.63,45.22,80.11,26.66,0.0,109.05,62.59,0.21,62.8,13.72,49.08,0.0,49.08,16.31,32.77,0.0,32.77,114.31,0.57,0.57,37.02,64.77,20.14,100.0,35.23
2013-03-31,342.56,10.06,352.62,47.42,83.4,25.33,0.0,125.07,71.4,2.38,73.78,11.39,62.39,-15.06,47.33,8.59,38.74,-11.7,27.04,114.31,0.68,0.47,37.02,64.77,20.14,100.0,35.23
2013-06-30,266.96,4.2,271.16,42.23,79.95,25.57,0.0,103.14,20.27,6.35,26.62,10.01,16.61,0.0,16.61,6.06,10.55,0.0,10.55,114.31,0.18,0.18,37.02,64.77,20.14,100.0,35.23
2013-09-30,261.04,5.41,266.45,44.29,90.32,24.55,0.0,103.07,4.22,13.5,17.72,11.09,6.63,11.84,18.47,4.94,13.53,-6.5,7.03,114.31,0.24,0.12,37.02,64.77,20.14,100.0,35.23
2013-12-31,348.62,6.33,354.95,51.34,88.67,24.7,0.0,115.83,74.41,0.17,74.58,10.84,63.74,0.0,63.74,22.72,41.02,0.0,41.02,114.31,0.72,0.72,37.02,64.77,20.14,100.0,35.23
2014-03-31,353.92,5.68,359.6,50.74,93.64,24.36,0.0,136.45,54.41,6.76,61.17,8.71,52.46,0.0,52.46,16.02,36.44,0.0,36.44,114.31,0.64,0.64,37.01,64.76,20.14,100.0,35.24
2014-06-30,280.91,3.21,284.12,46.6,88.67,30.61,0.0,108.43,9.81,8.46,18.27,7.47,10.8,0.0,10.8,4.39,6.41,0.0,6.41,114.31,0.11,0.11,37.01,64.76,20.14,100.0,35.24
2014-09-30,283.42,2.66,286.08,49.34,99.35,31.73,0.0,109.9,-4.24,9.65,5.41,8.38,-2.97,0.0,-2.97,-1.66,-1.31,0.0,-1.31,114.31,-0.02,-0.02,37.01,64.76,20.14,100.0,35.24
2014-12-31,374.67,3.71,378.38,53.71,95.41,32.78,0.0,122.16,74.32,0.19,74.51,8.33,66.18,0.0,66.18,22.56,43.62,0.0,43.62,114.31,0.76,0.76,37.01,64.76,20.14,100.0,35.24
2015-03-31,384.08,8.65,392.73,43.42,79.97,29.06,0.0,163.31,76.97,6.7,83.67,6.43,77.24,0.0,77.24,29.33,47.91,0.0,47.91,114.31,0.84,0.84,37.01,64.75,20.15,100.0,35.25
2015-06-30,299.38,3.04,302.42,44.9,95.07,29.13,0.0,122.28,11.04,6.62,17.66,4.99,12.67,10.99,23.66,3.8,19.86,0.0,19.86,114.31,0.35,0.35,37.01,64.75,20.15,100.0,35.25
2015-09-30,298.07,4.44,302.51,46.77,97.04,29.3,0.0,120.65,8.75,9.75,18.5,6.11,12.39,0.0,12.39,1.53,10.86,0.0,10.86,114.31,0.19,0.19,37.01,64.75,20.15,100.0,35.25
2015-12-31,400.1,2.48,402.58,55.22,102.4,30.7,0.0,141.96,72.3,5.87,78.17,6.32,71.85,0.0,71.85,24.49,47.36,0.0,47.36,114.31,0.83,0.83,0.0,0.0,0.0,0.0,0.0
2016-03-31,418.95,4.19,423.14,59.34,102.52,28.54,0.0,163.87,68.87,10.85,79.72,4.63,75.09,-29.25,45.84,22.45,23.39,0.0,23.39,114.31,0.41,0.41,0.0,0.0,0.0,0.0,0.0
2016-06-30,273.64,2.53,276.17,0.0,84.73,27.85,0.0,160.81,2.78,2.72,5.5,6.18,-0.68,-18.35,-19.03,-6.79,-12.24,0.0,-12.24,114.31,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2016-09-30,272.56,1.63,274.19,0.0,93.82,28.05,0.0,165.04,-12.72,24.24,11.52,2.65,8.87,-15.25,-6.38,-10.17,3.79,0.0,3.79,114.31,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2016-12-31,361.51,13.87,375.38,0.0,87.93,27.87,0.0,180.61,78.97,7.5,86.47,3.25,83.22,-2.57,80.65,26.34,54.31,0.0,54.31,114.31,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2017-03-31,369.02,0.0,369.02,0.0,112.82,26.72,0.0,199.14,30.34,46.74,77.08,2.42,74.66,-2.05,72.61,21.94,50.67,0.0,50.67,114.31,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2017-06-30,284.12,0.0,284.12,0.0,91.88,26.48,0.0,164.31,1.45,18.76,20.21,1.97,18.24,0.0,18.24,6.72,11.52,0.0,11.52,114.31,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2017-09-30,272.33,0.0,272.33,0.0,103.1,26.5,43.09,117.15,-17.51,20.99,3.48,2.91,0.57,0.0,0.57,-1.4,1.97,0.0,1.97,114.31,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2017-12-31,362.07,0.0,362.07,0.0,100.53,25.57,47.87,130.76,57.34,12.81,70.15,3.12,67.03,0.0,67.03,24.38,42.65,0.0,42.65,114.31,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2018-03-31,431.38,0.0,431.38,0.0,108.85,30.42,59.13,164.59,68.39,31.2,99.59,11.57,88.02,0.0,88.02,31.89,56.13,0.0,56.13,114.31,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2018-06-30,334.96,0.0,334.96,0.0,103.53,30.64,0.0,183.12,17.67,8.5,26.17,10.14,16.03,0.0,16.03,5.84,10.19,0.0,10.19,114.31,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2018-09-30,333.47,0.0,333.47,0.0,109.5,30.98,0.0,187.39,5.6,23.31,28.91,11.92,16.99,11.68,28.67,2.19,26.48,0.0,26.48,114.31,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2018-12-31,443.92,0.0,443.92,0.0,102.35,31.08,0.0,209.14,101.35,13.06,114.41,12.94,101.47,0.0,101.47,37.58,63.89,0.0,63.89,114.31,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2019-03-31,430.89,0.0,430.89,0.0,106.2,30.31,0.0,219.89,74.49,39.15,113.64,11.36,102.28,-84.75,17.53,4.76,12.77,0.0,12.77,114.31,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2019-06-30,289.63,0.0,289.63,0.0,101.59,33.57,0.0,166.49,-12.02,13.36,1.34,12.12,-10.78,-0.47,-11.25,-4.15,-7.1,0.0,-7.1,114.31,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,287.67,0.0,287.67,0.0,105.39,34.05,0.0,165.91,-17.68,27.07,9.39,12.9,-3.51,0.0,-3.51,-44.51,41.0,0.0,41.0,114.31,0.72,0.72,0.0,0.0,0.0,0.0,0.0
