Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,199.11,2.63,201.74,148.47,-27.08,19.36,12.04,29.23,19.73,0.82,20.54,12.44,8.11,8.11,1.06,7.05,7.05,18.57,0.0,0.76,0.76,5.0,53.88,3.62,84.61,39.02
2013-03-31,180.27,1.16,181.43,114.92,12.01,9.62,12.11,20.24,12.54,2.29,14.83,5.93,8.9,8.9,-2.26,11.17,11.17,21.79,454.35,1.2,1.2,5.0,53.88,3.62,84.61,39.02
2013-06-30,103.96,1.37,105.33,63.85,-5.34,12.78,11.38,16.47,6.2,5.22,11.42,6.48,4.93,4.93,1.68,3.26,3.26,21.79,0.0,0.3,0.3,4.67,42.84,5.44,87.4,49.96
2013-09-30,119.37,1.26,120.63,59.22,-1.6,12.89,11.35,25.61,13.16,7.94,21.1,8.79,12.31,12.31,3.48,8.83,8.83,21.79,466.44,0.81,0.81,4.67,42.84,5.44,87.4,49.96
2013-12-31,111.1,1.14,112.24,55.39,2.41,10.76,11.48,19.05,13.14,1.37,14.51,8.59,5.92,5.92,1.49,4.43,4.43,21.79,0.0,0.41,0.41,4.67,42.84,5.44,87.4,49.96
2014-03-31,161.9,1.14,163.04,64.86,31.47,6.79,11.21,26.55,22.15,3.02,25.17,9.38,15.79,15.79,4.88,10.91,10.91,21.79,469.91,1.0,1.0,4.57,41.92,5.54,87.6,50.88
2014-06-30,94.8,1.12,95.92,56.33,-4.34,8.92,13.99,17.4,3.62,5.84,9.45,7.61,1.85,1.85,0.6,1.25,1.25,21.79,0.0,0.11,0.11,4.57,41.92,5.68,89.74,52.12
2014-09-30,116.32,1.5,117.82,62.71,6.86,9.95,10.62,19.11,8.58,2.38,10.96,7.03,3.93,3.93,1.25,2.67,2.67,21.79,473.83,0.25,0.25,4.57,41.92,5.69,89.99,52.26
2014-12-31,112.06,1.43,113.49,56.23,3.27,9.87,12.05,16.44,15.63,1.34,16.96,7.46,9.5,9.5,3.02,6.48,6.48,21.79,0.0,0.59,0.59,4.57,41.92,5.69,89.99,52.26
2015-03-31,174.6,1.35,175.96,88.78,7.1,8.17,14.92,29.88,27.1,13.12,40.22,7.85,32.37,32.37,9.58,22.79,22.79,21.79,0.0,2.09,2.09,4.57,41.92,5.69,89.99,52.26
