headline,link,date_str,parsed_date_iso,sentiment_score
Emami profit rises 9% to Rs 162 crore; revenue up 8%,https://www.financialexpress.com/business/industry-emami-profit-rises-9-to-rs-162-crore-revenue-up-8-3847615/,2025-05-16T21:36:45+05:30,2025-05-16T16:06:45,0.4404
"Emami’s Q3FY25 results: Domestic business soars 9%, PAT up 8%",https://www.financialexpress.com/business/industry-emamis-q3fy25-results-domestic-business-soars-9-pat-up-8-3727909/,2025-01-27T18:49:08+05:30,2025-01-27T13:19:08,0.0
"Goodbye, Fair Boy! Emami’s ‘Smart’ rebranding and the road ahead",https://www.financialexpress.com/business/brandwagon-goodbye-fair-boy-emamis-smart-rebranding-and-the-road-ahead-3714016/,2025-01-14T08:00:00+05:30,2025-01-14T02:30:00,0.3802
Emami Q1 Results 2024: Profit rises by 10.8% to Rs 152.64 crore on ‘exceptional performance’ from summer portfolio,https://www.financialexpress.com/business/industry-emami-q1-results-2024-profit-rises-by-10-8-to-rs-15264-crore-on-exceptional-performance-from-summer-portfolio-3570966/,2024-08-01T14:25:21+05:30,2024-08-01T08:55:21,0.4404
"Emami Ltd Q4 Results: Muted profit growth at Rs 148.90 crore, revenue up 6.6% on-year",https://www.financialexpress.com/business/industry-emami-ltd-q4-results-muted-profit-growth-at-rs-148-90-crore-revenue-up-66-on-year-3506848/,2024-05-30T11:22:31+05:30,2024-05-30T05:52:31,0.6705
"Emami under pressure on Q2 results; Should you buy, sell or hold the stocks?",https://www.financialexpress.com/market/emami-under-pressure-on-q2-results-should-you-buy-sell-or-hold-the-stocks-3299688/,2023-11-07T14:20:01+05:30,2023-11-07T08:50:01,-0.296
"Emami Q2 profit falls 3.1% to Rs 178.50 cr, revenue up 6.3% YoY despite poor monsoons, food inflation, subdued rural demand",https://www.financialexpress.com/business/industry-emami-q2-profit-falls-3-1-to-rs-17850-cr-revenue-up-63-yoy-despite-poor-monsoons-food-inflation-subdued-rural-demand-3299253/,2023-11-07T10:43:25+05:30,2023-11-07T05:13:25,0.6065
"Emami Q1 profit jumps 86.5% at Rs 137.72 crore, summer products sales declines on unseasonal rains",https://www.financialexpress.com/business/industry-emami-q1-profit-jumps-86-5-at-rs-13772-crore-summer-products-sales-declines-on-unseasonal-rains-3202778/,2023-08-07T17:23:33+05:30,2023-08-07T11:53:33,0.4404
"Emami on look out for more good acquisitions, strategic investment opportunities in startups ecosystem",https://www.financialexpress.com/business/industry-emami-on-look-out-for-more-good-acquisitions-strategic-investment-opportunities-in-startups-ecosystem-3113296/,2023-06-05T16:45:14+05:30,2023-06-05T11:15:14,0.6997
"Emami Q4FY23 profit falls 59.4% on inflationary pressure, muted rural sentiments, unseasonal rains",https://www.financialexpress.com/business/industry-emami-q4fy23-profit-falls-59-4-on-inflationary-pressure-muted-rural-sentiments-unseasonal-rains-3102718/,2023-05-26T11:29:51+05:30,2023-05-26T05:59:51,0.1779
Emami plans buyback to boost shareholder value,https://www.financialexpress.com/market/emami-plans-buyback-to-boost-shareholder-value-3019293/,2023-03-23T07:16:08+05:30,2023-03-23T01:46:08,0.6249
"FMCG players looking at demand recovery in rural markets, increasing marketing spends",https://www.financialexpress.com/business/industry-fmcg-players-looking-at-demand-recovery-in-rural-markets-increasing-marketing-spends-2972432/,2023-02-06T11:37:12+05:30,2023-02-06T06:07:12,-0.128
Emami Q2 net down 2.76% at Rs 180 cr,https://www.financialexpress.com/business/industry-emami-q2-net-down-2-76-at-rs-180-cr-2806342/,2022-11-12T00:15:00+05:30,2022-11-11T18:45:00,0.0
"Demand yet to improve, says FMCG major Emami",https://www.financialexpress.com/business/industry-demand-yet-to-improve-says-fmcg-major-emami-2626708/,2022-08-12T04:05:00+05:30,2022-08-11T22:35:00,0.34
Emami Rating ‘Buy’; Dermicool buy unlikely to have significant effect,https://www.financialexpress.com/market/emami-rating-buy-dermicool-buy-unlikely-to-have-significant-effect-2479223/,2022-04-02T00:45:00+05:30,2022-04-01T19:15:00,0.2023
"Ample room for growth in first 5 years, Emami says on ‘Dermicool’",https://www.financialexpress.com/business/industry-ample-room-for-growth-in-first-5-years-emami-says-on-dermicool-2475464/,2022-03-30T00:07:29+05:30,2022-03-29T18:37:29,0.3818
"Emami share price hits 52-week low despite Dermicool acquisition; here’s why, should buy, sell, hold?",https://www.financialexpress.com/market/emami-share-price-hits-52-week-low-despite-dermicool-acquisition-heres-why-should-buy-sell-hold-2473732/,2022-03-28T12:37:18+05:30,2022-03-28T07:07:18,0.0258
"‘Dermicool’ brand to deliver good gross margin and Ebitda margin, says Emami",https://www.financialexpress.com/market/dermicool-brand-to-deliver-good-gross-margin-and-ebitda-margin-says-emami-2473191/,2022-03-28T03:00:00+05:30,2022-03-27T21:30:00,-0.0516
Emami buys Dermicool from Reckitt for Rs 432 crore,https://www.financialexpress.com/business/industry-emami-buys-dermicool-from-reckitt-for-rs-432-crore-2472244/,2022-03-26T04:45:00+05:30,2022-03-25T23:15:00,0.0
"TCS, Bharti Airtel RE, JSW Energy, Zee Entertainment, Emami, Yes Bank stocks in focus",https://www.financialexpress.com/market/tcs-bharti-airtel-re-jsw-energy-zee-entertainment-emami-yes-bank-stocks-in-focus-2346165/,2021-10-08T08:31:28+05:30,2021-10-08T03:01:28,0.765
Emami rating – Buy: Growth was strong across categories,https://www.financialexpress.com/market/emami-rating-buy-growth-was-strong-across-categories-2261893/,2021-05-31T03:00:05+05:30,2021-05-30T21:30:05,0.7096
"Stocks in focus: TCS, PNB, HUL, Emami, PVR, Shriram Transport Finance, Manappuram Finance",https://www.financialexpress.com/market/tcs-pnb-hul-emami-pvr-shriram-transport-finance-manappuram-finance-tata-consultancy-service-punjab-national-bank-hindustan-unilever-stocks-in-focus-2015522/,2020-07-07T08:58:49+05:30,2020-07-07T03:28:49,0.0
"Stocks in focus: HPCL, HDFC AMC, SBI Life, Emami, Muthoot Finance, JK Cement, bank stocks",https://www.financialexpress.com/market/hpcl-hdfc-amc-sbi-life-emami-muthoot-finance-jk-cement-bank-stocks-stocks-in-focus-cummins-india-indraprastha-gas-pidilite-industries-1994080/,2020-06-17T09:08:02+05:30,2020-06-17T03:38:02,0.3885
