Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,780.6,878.64,709.01,755.3,709.43,813.06,701.2,697.88,697.95,835.55,685.11,688.22,671.59,875.3,711.89,608.09,648.46,845.37,653.86,434.59,460.45,748.28,592.12,588.55,577.96,758.51,571.92,574.88,568.92,715.59,579.01,499.1,527.54,681.55,536.4,592.37,537.32,673.5,479.47,493.76,495.74,626.76,444.1,442.04,410.17,550.02,374.34,370.55,423.12,529.34
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.14,0.78,0.97,1.0,1.79,1.06,1.1,0.56,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,780.6,878.64,709.01,755.3,709.43,813.06,701.2,697.88,697.95,835.55,685.11,688.22,671.59,875.3,711.89,608.09,648.46,845.37,653.86,434.59,460.45,748.28,592.12,588.55,577.96,758.51,571.92,574.88,568.92,715.59,579.01,499.1,527.68,682.33,537.37,593.37,539.11,674.56,480.57,494.32,495.74,626.76,444.1,442.04,410.17,550.02,374.34,370.55,423.12,529.34
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,148.74,201.24,196.94,129.14,175.4,191.47,202.41,151.03,186.75,201.0,245.51,154.88,213.36,228.76,236.81,178.19,181.79,208.09,193.94,96.0,169.47,191.26,194.0,155.71,188.75,193.76,196.54,148.42,175.08,181.17,154.58,155.08,163.03,186.77,170.14,164.16,172.93,171.77,136.59,163.56,136.77,174.67,152.92,125.17,157.03,160.35,131.33,95.26,151.82,157.05
Purchase of Traded Goods,108.1,42.25,54.95,77.54,90.57,40.77,43.02,61.68,88.4,48.65,38.98,50.52,85.76,35.12,15.68,35.09,70.37,34.14,36.84,32.94,37.24,11.1,13.04,37.98,56.78,24.83,22.73,42.56,57.0,32.73,14.56,55.13,57.15,33.23,25.46,48.21,53.02,50.3,44.64,36.24,40.79,34.34,30.43,36.1,43.16,24.38,23.18,43.49,53.46,39.44
Increase/Decrease in Stocks,14.57,12.56,-48.6,40.24,-12.4,17.9,-34.34,30.72,-17.21,34.68,-48.99,64.64,-40.57,23.66,-30.66,-4.16,-7.09,11.37,-34.26,21.82,-43.36,40.79,-23.49,22.5,-8.98,38.33,-36.04,7.78,-24.0,11.95,24.82,-23.25,-8.69,2.93,-13.74,6.31,-17.96,8.43,-10.61,0.05,13.14,9.19,-26.13,16.82,-38.89,13.2,-13.65,15.16,-5.92,3.95
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,87.89,86.9,89.02,88.06,72.16,81.41,82.86,82.33,71.63,74.46,74.1,76.74,66.73,69.93,69.14,73.13,65.3,67.86,67.29,66.3,62.42,63.27,64.21,65.8,57.65,59.71,60.17,59.76,47.78,57.43,56.47,55.76,36.41,55.6,52.19,50.76,36.57,47.16,45.75,42.28,28.92,39.04,39.09,37.05,28.28,32.03,32.8,30.57,24.33,27.26
Depreciation,39.44,39.98,39.68,39.27,42.92,40.83,41.4,41.42,43.48,42.61,43.16,86.13,81.13,82.36,82.62,81.5,81.19,93.06,113.49,73.4,83.58,83.39,80.68,78.45,79.62,77.83,78.19,82.4,79.4,78.55,73.66,73.7,75.01,80.77,78.19,70.7,89.05,70.74,70.49,21.85,9.97,9.34,8.35,3.82,16.81,15.48,30.83,30.68,30.87,30.86
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,125.83,--,--,--,--,--,--,--,82.67,119.61,97.47,105.94,108.35,118.09,84.0,--,100.07,121.53,76.12,46.37,74.69,112.66,77.6,106.18,77.56,112.07,82.83,126.14,89.78,111.57,--,--,61.05,93.99,75.87,134.87,68.95,101.89,73.04,108.16,65.91,104.0,70.41,87.41,34.45,79.07,58.43,65.41,40.51,91.69
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,104.67,207.22,190.36,228.65,195.4,198.72,199.84,198.63,140.08,84.56,94.8,82.14,89.95,77.42,72.56,163.35,85.14,80.21,68.71,55.84,139.09,73.69,81.18,70.79,66.3,71.53,65.06,66.28,64.67,56.49,127.69,180.69,55.09,50.28,49.95,50.72,52.06,52.27,49.54,47.78,83.06,80.64,69.98,70.71,70.28,65.23,34.94,31.4,37.74,40.52
"P/L Before Other Inc. , Int., Excpt. Items & Tax",151.36,288.49,186.66,152.4,145.38,241.96,166.01,132.07,102.15,229.98,140.08,67.23,66.88,239.96,181.74,80.99,71.69,229.11,131.73,41.92,-62.68,172.12,104.9,51.14,60.28,180.45,102.44,41.54,79.21,185.7,127.23,1.99,88.63,178.76,99.31,67.64,84.49,172.0,71.13,74.4,117.18,175.54,99.05,64.96,99.05,160.28,76.48,58.58,90.31,138.57
Other Income,66.45,9.83,34.48,46.68,26.32,25.18,9.93,7.81,11.45,8.21,7.48,43.48,35.02,16.68,39.16,32.08,46.4,14.34,8.85,42.19,14.02,15.0,16.36,49.16,18.44,8.54,3.1,10.8,3.86,5.57,6.09,12.76,7.73,8.02,25.39,4.05,7.95,6.66,6.31,18.21,30.03,35.86,14.92,22.34,17.74,11.99,18.28,17.56,18.92,9.15
