Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Liabilities [Net],Revaluation Reserves,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,11.23,11.23,29.24,267.83,279.06,0.0,0.0,43.14,2.73,9.32,1.1,1.9,15.06,337.26,-33.74,265.1,1.57,0.0,0.0,232.93,6.91,0.15,0.0,0.0,239.99,0.0,30.97,44.06,0.46,21.78,0.0,97.27,337.26,14.16,1.0,0.01,3.96,11.5,0.0,5.62,0.77,6.29,0.0,38.7,4.44,238.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.23,12.23,66.02,304.61,316.84,0.0,0.0,30.13,8.9,7.95,0.86,6.97,24.68,371.65,-50.51,265.1,4.05,0.0,0.0,218.64,53.91,0.25,0.0,0.0,272.8,0.0,36.75,35.25,0.34,26.51,0.0,98.85,371.65,7.73,1.54,0.12,4.07,18.52,0.0,5.62,0.77,53.29,0.0,25.08,5.05,238.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,12.23,12.23,84.4,322.99,335.22,0.0,0.0,25.05,10.45,20.3,0.85,18.61,50.21,410.47,-71.92,265.1,9.28,0.0,0.0,202.45,87.1,1.42,0.0,0.0,290.97,0.0,36.62,36.68,0.82,45.37,0.0,119.49,410.47,23.14,2.35,0.59,10.3,28.89,0.0,5.62,0.77,86.48,0.0,21.02,4.03,238.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,12.23,12.23,216.99,216.99,229.22,0.0,0.0,15.23,13.01,41.28,4.29,17.63,76.21,320.86,44.24,2.56,34.49,0.0,0.0,81.29,78.18,2.48,0.0,0.0,161.95,0.0,41.2,45.77,18.42,53.52,0.0,158.91,320.86,29.23,2.89,0.29,7.17,37.81,0.0,5.62,8.45,74.4,0.0,10.17,5.07,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,12.43,12.43,276.57,276.57,289.0,0.0,0.0,40.47,0.19,47.66,3.09,46.8,97.74,427.2,75.26,2.56,13.47,0.0,0.0,91.29,102.97,3.34,0.0,0.0,197.59,0.0,40.1,34.03,2.8,152.68,0.0,229.61,427.2,26.45,3.14,0.07,4.53,36.13,0.0,5.62,8.44,99.22,0.0,35.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,12.43,12.43,282.9,282.9,295.33,0.0,0.0,381.81,67.29,91.95,14.73,52.02,225.99,903.83,130.28,482.3,36.7,0.0,0.0,649.28,39.89,3.07,0.0,0.0,692.24,0.0,73.2,50.75,10.77,76.88,0.0,211.6,903.83,117.49,4.2,7.48,4.0,58.26,0.0,5.62,8.43,36.14,0.0,372.79,9.02,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,15.13,15.13,605.65,605.65,620.78,0.0,0.0,143.8,122.77,80.98,9.23,69.34,282.32,1046.91,75.57,485.28,6.21,0.0,0.0,567.05,62.08,6.37,0.0,0.0,635.5,0.0,78.61,72.73,159.8,100.26,0.0,411.41,1046.91,118.67,4.68,6.69,11.0,80.95,0.0,5.62,8.44,58.34,0.0,130.48,13.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,15.13,15.13,667.89,667.89,683.02,7.59,3.74,94.69,112.08,60.09,60.8,69.13,302.09,1079.79,213.93,268.51,6.48,0.0,0.0,488.92,7.08,0.0,66.22,0.2,562.43,0.0,121.91,91.08,204.15,100.22,0.0,517.36,1079.79,129.95,7.79,15.63,17.28,96.9,0.9,5.62,41.48,3.39,0.0,69.65,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.13,15.13,682.12,682.12,697.26,7.52,3.89,78.6,54.85,96.87,71.75,158.16,381.64,1157.49,234.08,166.91,65.61,0.02,0.0,466.63,7.24,0.0,52.27,0.12,526.26,73.56,109.41,78.93,272.48,96.31,0.55,631.23,1157.49,30.37,7.48,11.53,13.0,98.79,2.22,5.62,24.6,3.55,73.56,52.68,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.13,15.13,762.18,762.18,777.31,8.79,6.84,56.5,16.36,82.27,54.9,164.64,318.16,1151.98,307.47,67.03,43.91,0.2,0.0,418.6,7.24,0.0,30.58,0.01,456.44,156.34,112.26,80.48,279.09,67.36,0.0,695.54,1151.98,89.42,6.69,2.09,11.89,85.16,1.62,5.62,19.04,3.55,156.34,27.19,13.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,22.7,22.7,906.0,906.0,928.69,11.81,16.48,48.11,1.31,114.61,46.88,120.88,283.67,1260.47,365.87,7.79,8.27,0.17,0.0,382.09,7.09,0.0,40.09,0.01,429.28,289.22,136.62,75.22,264.84,65.28,0.0,831.18,1260.47,107.48,7.73,12.35,6.64,83.75,0.0,13.18,20.78,3.39,294.67,15.03,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,22.7,22.7,1189.46,1189.46,1212.16,16.3,23.35,52.04,8.38,126.58,58.51,98.2,291.68,1555.87,391.39,32.56,22.67,2.29,0.0,448.92,7.08,0.0,40.88,0.01,496.89,494.65,118.45,56.9,326.09,62.89,0.0,1058.98,1555.87,116.95,9.25,11.92,5.95,100.48,0.55,13.18,34.17,3.39,496.51,0.0,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.7,22.7,1328.2,1328.2,1350.9,14.68,28.08,342.76,360.0,185.76,57.44,206.2,809.41,2503.07,443.52,1498.4,54.8,5.45,0.0,2002.18,7.08,0.0,109.4,0.74,2119.39,11.92,143.14,52.01,72.56,104.05,0.0,383.68,2503.07,137.17,21.07,61.17,6.17,100.64,1.32,13.18,32.54,3.39,11.93,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
