Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2012-03-31,18.16,19.84,656.07,656.07,675.91,323.45,5.83,2.25,10.82,342.36,267.86,410.04,209.17,8.6,895.67,1913.94,874.15,6.2,31.98,0.82,913.14,368.59,0.0,46.17,7.96,1335.87,0.0,116.02,333.44,84.45,30.9,13.27,578.08,1913.94,459.9,23.34,79.11,1.46,0.58,0.02,368.59,0.0,212.02,16.04,30.12,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,17.58,19.26,711.53,711.53,730.79,281.33,0.0,2.25,16.79,300.37,348.63,357.69,161.06,8.74,876.11,1907.27,883.33,8.16,23.12,0.03,914.63,397.48,3.28,30.76,3.91,1350.06,0.0,123.35,340.09,47.25,31.35,15.19,557.22,1907.27,208.9,25.98,85.82,0.44,0.58,0.02,397.47,0.0,196.21,4.41,49.46,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,17.58,19.26,973.33,973.33,992.59,284.18,0.0,2.57,17.08,303.82,60.05,370.47,204.07,13.26,647.85,1944.26,944.68,8.35,13.63,0.05,966.71,364.68,10.34,20.18,4.59,1366.5,0.0,147.45,360.96,27.05,29.71,12.58,577.76,1944.26,227.76,21.13,122.85,0.86,0.58,0.01,364.68,0.0,213.98,8.35,42.98,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.58,17.58,1140.14,1140.14,1157.73,167.08,0.0,2.84,24.75,194.68,59.31,293.83,148.55,25.59,527.29,1879.7,885.38,6.81,21.45,0.18,913.83,364.67,14.86,35.73,3.07,1332.16,0.0,198.11,289.92,6.16,35.03,18.33,547.54,1879.7,409.39,20.26,144.42,6.77,0.58,0.01,364.67,0.0,318.1,11.28,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.58,17.58,1324.88,1324.88,1342.46,78.02,0.0,2.79,22.65,103.46,68.78,312.1,148.43,16.5,545.81,1991.73,916.52,6.83,46.39,0.55,970.28,364.67,10.53,26.09,0.64,1372.21,45.58,195.31,316.51,7.58,41.25,13.3,619.52,1991.73,258.22,11.52,139.52,0.07,0.58,0.01,364.66,45.58,289.35,13.37,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,140.66,140.66,1422.4,1422.4,1563.06,19.85,0.0,2.26,16.54,38.64,142.49,347.95,135.67,22.28,648.39,2250.1,838.81,7.45,33.22,0.4,879.88,364.71,9.54,0.0,171.41,1425.54,31.64,249.07,484.64,2.98,1.62,54.61,824.56,2250.1,236.7,0.0,0.0,0.0,123.66,0.01,364.7,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,140.66,140.66,1651.6,1651.6,1792.26,4.96,1.08,3.08,2.16,11.28,178.27,483.23,121.43,19.04,801.97,2605.51,957.13,5.7,50.52,4.78,1018.13,364.77,0.0,0.0,190.26,1573.15,44.91,246.62,706.57,8.69,1.3,24.26,1032.36,2605.51,356.98,417.12,0.0,170.51,123.66,0.0,364.77,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,140.66,140.66,1939.29,1939.29,2079.95,2.98,15.61,4.68,6.28,29.54,212.0,520.76,91.27,25.03,849.06,2958.55,1157.49,4.16,89.78,11.5,1262.94,365.0,0.0,0.0,225.0,1852.94,34.82,282.98,694.76,30.43,2.1,60.53,1105.61,2958.55,312.23,434.2,0.0,143.56,123.66,0.0,1.24,34.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,140.66,140.66,2176.1,2176.1,2316.76,4.28,7.37,10.75,15.82,38.22,146.1,395.6,56.93,29.25,627.88,2982.87,1455.65,3.25,61.22,19.5,1539.61,364.91,0.0,0.0,117.76,2022.28,37.32,265.83,473.76,125.33,2.01,56.35,960.59,2982.87,252.24,328.53,0.0,120.58,123.66,0.0,1.15,37.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,140.66,140.66,2567.59,2567.59,2708.26,2.73,0.0,8.96,21.07,32.76,45.0,526.84,94.9,29.89,696.63,3437.65,1368.37,26.67,88.92,3.17,1487.12,364.91,1.96,0.0,37.25,1891.23,169.93,329.53,812.51,34.29,1.26,198.89,1546.41,3437.65,331.52,279.23,0.0,114.05,123.66,0.0,1.15,169.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
