Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,2430.3,2935.43,2476.16,2292.54,2082.47,2320.35,2046.18,2327.74,2182.95,2263.67,1883.48,2014.85,1861.44,1957.49,1662.26,1671.49,2210.53,2017.43,1639.7,1061.63,1380.68,1633.44,1323.86,1422.97,1631.66,1655.06,1398.36,1511.29,1436.1,1205.03,1211.69,1142.3,1022.31,1089.91,990.99,1031.35,788.55,884.22,797.83,973.22,811.22,1042.34,986.61,1122.11,977.17,1154.45,939.97,1172.89,997.13,1026.0
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.02,4.34,--,--,3.86,3.83,4.52,6.49,4.04,6.02,7.0,5.74,5.14,4.28,3.04,3.51,2.18
Total Income From Operations,2430.3,2935.43,2476.16,2292.54,2082.47,2320.35,2046.18,2327.74,2182.95,2263.67,1883.48,2014.85,1861.44,1957.49,1662.26,1671.49,2210.53,2017.43,1639.7,1061.63,1380.68,1633.44,1323.86,1422.97,1631.66,1655.06,1398.36,1511.29,1436.1,1205.03,1211.69,1142.3,1022.31,1092.93,995.33,1031.35,788.55,888.08,801.66,977.74,817.72,1046.37,992.63,1129.11,982.91,1159.59,944.25,1175.93,1000.64,1028.18
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1281.29,1495.76,1485.65,1322.35,1425.27,1292.75,1465.64,1433.64,1453.48,1404.41,1434.94,1429.06,1060.94,1002.24,1314.4,1114.85,1409.0,1234.51,983.22,399.46,930.6,901.74,869.05,749.07,993.2,1026.92,1003.22,1016.02,924.65,649.13,757.69,816.34,663.26,697.5,679.4,601.9,527.86,478.4,584.43,582.38,514.81,619.5,741.56,685.64,704.39,773.88,679.79,740.62,645.45,680.03
Purchase of Traded Goods,299.17,244.22,624.17,130.1,122.44,135.54,117.0,121.09,115.39,146.17,121.63,125.84,126.04,128.49,140.8,113.41,122.79,117.89,127.66,71.74,95.81,92.82,104.22,77.52,92.17,114.5,108.38,88.94,51.59,56.85,48.93,75.43,62.81,60.27,57.99,63.54,60.13,51.92,54.87,59.75,46.44,52.96,48.33,57.32,42.17,20.6,80.97,66.71,37.02,56.27
Increase/Decrease in Stocks,105.56,404.41,-395.97,108.5,-129.57,180.92,-198.05,70.46,-7.41,136.49,-192.77,-100.29,123.76,244.06,-348.99,-87.2,-17.58,-27.91,-68.66,241.55,-167.17,97.03,-88.19,155.12,37.3,9.81,-167.7,-83.03,-8.61,95.88,1.48,-111.53,-23.83,-0.5,-60.0,35.23,-45.67,84.63,-94.08,32.95,18.26,76.08,-83.94,71.66,-39.25,45.54,-108.6,36.01,40.03,8.86
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,198.53,198.26,201.58,160.6,157.67,163.53,167.47,148.41,156.53,152.68,148.86,136.9,119.23,132.34,139.59,137.11,146.96,135.84,125.56,126.19,129.48,132.94,125.33,122.57,118.03,119.61,113.04,121.06,109.26,104.86,127.8,115.29,107.02,111.41,115.88,109.15,93.48,109.0,106.01,108.32,95.07,110.79,109.89,116.08,111.38,114.37,103.92,112.82,111.68,113.18
Depreciation,61.45,61.24,63.63,43.33,44.07,41.5,40.69,40.18,38.01,37.57,36.48,36.37,32.96,32.52,32.91,31.36,30.44,31.47,27.36,26.43,27.77,26.67,28.0,24.11,21.81,21.51,21.48,20.57,18.83,17.94,17.91,17.79,16.73,16.71,16.3,13.91,13.07,14.85,15.46,16.13,21.2,16.5,13.48,14.88,15.24,14.52,14.0,13.34,13.09,13.03
