Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1182.11,1311.72,1230.48,1401.02,1221.68,1187.44,1204.25,1224.32,1150.31,1090.83,1015.65,1186.85,972.95,932.98,675.36,921.35,830.23,639.41,377.12,651.44,702.36,715.76,807.74,823.08,749.56,713.97,791.18,795.96,656.78,687.97,673.95,775.37,668.94,610.31,593.08,675.58,582.78,600.89,584.91,654.02,577.76,630.65,567.31,642.49,557.55,587.45,549.18,625.44,528.07,579.58
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.23,6.41,3.92,3.49,5.14,3.89,4.52,3.38,4.17,4.31,6.18,4.7,6.56,5.55,5.68,4.58,6.69,6.21,6.4
Total Income From Operations,1182.11,1311.72,1230.48,1401.02,1221.68,1187.44,1204.25,1224.32,1150.31,1090.83,1015.65,1186.85,972.95,932.98,675.36,921.35,830.23,639.41,377.12,651.44,702.36,715.76,807.74,823.08,749.56,713.97,791.18,795.96,656.78,687.97,673.95,784.6,675.35,614.23,596.57,680.72,586.67,605.41,588.29,658.19,582.07,636.83,572.01,649.05,563.1,593.13,553.76,632.13,534.28,585.98
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1065.85,823.65,1223.59,1034.5,901.93,997.7,883.29,939.24,904.42,743.9,871.76,876.79,769.75,611.91,535.17,744.72,654.59,570.04,160.56,519.74,474.65,485.88,545.88,568.54,625.91,496.56,601.08,545.39,468.73,538.37,491.25,552.63,502.67,466.59,515.97,413.28,408.29,389.57,518.98,419.93,403.68,505.81,428.35,483.09,378.39,480.92,433.53,449.27,427.16,404.91
Purchase of Traded Goods,15.07,18.49,21.58,19.09,21.1,18.18,17.55,17.88,15.82,20.47,24.42,24.69,25.08,22.3,21.76,31.19,21.53,18.54,4.98,18.08,11.57,15.17,12.35,13.21,11.87,8.44,12.36,12.32,7.64,6.0,10.15,8.15,13.73,7.5,3.85,5.62,4.93,6.78,4.17,1.75,4.09,4.92,3.09,3.86,3.36,1.69,2.3,0.76,1.05,2.25
Increase/Decrease in Stocks,-152.21,245.87,-252.49,55.97,42.78,-92.92,49.16,6.29,-27.58,121.74,-93.88,59.23,-31.25,80.82,-29.97,-93.31,-55.39,-123.92,117.91,-76.55,28.11,21.63,26.84,23.35,-98.74,37.68,-35.32,11.13,-2.37,-23.42,-17.25,7.34,-1.15,-36.95,-87.58,25.98,3.76,40.02,-99.99,69.91,24.63,-40.35,-2.6,-14.02,58.16,-50.21,-18.6,15.92,-35.03,25.03
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.24,10.05,11.59,10.55,3.3,9.57,9.35,8.62,9.6,7.83,10.03,9.61,9.51,10.64,10.57
Employees Cost,47.51,47.46,45.69,46.94,45.11,42.6,42.66,39.29,42.13,40.48,40.77,33.16,39.95,37.84,35.13,31.75,38.25,33.91,33.96,35.96,36.88,39.0,37.69,31.32,34.99,38.78,35.61,39.61,32.48,32.46,30.91,32.31,26.84,31.93,28.11,29.89,26.36,26.15,25.16,25.03,22.62,23.72,22.59,20.51,21.33,20.47,22.52,25.72,20.05,19.12
Depreciation,11.73,11.75,10.71,11.65,10.86,10.84,10.5,15.14,11.2,10.69,9.37,8.98,10.05,9.93,9.89,10.67,8.48,9.79,10.02,9.57,9.64,9.8,9.9,10.05,9.73,11.03,9.74,9.87,10.65,11.46,11.82,12.51,11.9,11.85,11.78,17.56,13.35,13.21,13.11,21.55,14.4,14.13,13.89,12.24,12.67,12.1,11.48,14.69,10.75,10.65
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.3,0.77,3.78,36.34,39.32,38.18,40.85,47.17,42.47,39.41,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
