Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1001.24,828.43,1140.49,1235.42,1019.69,883.15,1179.17,1141.06,1124.76,941.13,1189.81,1594.57,1005.25,1082.95,965.72,1249.34,1066.88,585.78,562.07,766.11,699.4,576.67,943.81,964.24,756.59,542.64,827.85,809.13,722.72,475.28,824.27,1016.35,571.61,453.64,665.93,799.23,540.88,461.83,628.4,776.87,637.68,381.94,655.22,833.32,654.25,384.89,555.13,624.18,613.31,380.78
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.89,3.18,6.93,6.32,6.28,4.91,4.99,7.77,5.25,3.92,7.5,6.42,5.63,5.02,8.36,5.41,1.14,0.15
Total Income From Operations,1001.24,828.43,1140.49,1235.42,1019.69,883.15,1179.17,1141.06,1124.76,941.13,1189.81,1594.57,1005.25,1082.95,965.72,1249.34,1066.88,585.78,562.07,766.11,699.4,576.67,943.81,964.24,756.59,542.64,827.85,809.13,722.72,475.28,824.27,1016.35,576.5,456.83,672.86,805.55,547.16,466.74,633.38,784.64,642.93,385.86,662.72,839.74,659.89,389.91,563.49,629.59,614.45,380.93
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,734.94,564.52,595.3,674.35,740.26,654.47,676.1,735.93,660.84,649.33,857.05,913.51,886.97,429.52,571.76,794.73,672.56,340.5,132.45,544.91,578.06,443.35,471.38,629.25,610.08,328.91,413.76,545.93,539.43,299.46,525.45,573.41,555.2,276.61,391.96,495.26,420.38,311.52,386.68,447.23,615.44,338.85,377.56,498.42,511.71,318.15,410.61,388.37,504.35,287.21
Purchase of Traded Goods,5.36,5.19,12.06,14.62,6.96,5.05,5.36,5.38,4.91,4.65,4.42,4.27,3.34,4.45,2.64,3.32,2.9,1.97,1.81,3.76,2.99,2.77,4.32,2.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.09,0.47
Increase/Decrease in Stocks,-81.81,11.39,61.22,84.93,-95.0,-128.96,99.03,-82.12,94.46,198.83,-61.61,190.48,-331.13,168.77,4.49,-156.33,-89.12,-24.34,248.31,-47.73,-155.81,-96.47,191.13,9.77,-122.6,-39.71,86.11,-68.79,-53.81,13.89,56.44,147.71,-214.54,-10.36,18.28,68.95,-61.25,4.02,21.65,151.23,-88.01,-89.45,67.0,133.17,-81.27,-87.2,-27.61,29.16,-70.42,-53.89
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.58,17.87,16.19,27.35,19.56,19.3,20.96,16.37,45.52,24.4,26.24,24.05,37.34,19.7,25.28,23.91,21.99,20.48
Employees Cost,57.0,56.45,57.58,56.67,52.57,50.27,51.88,47.96,48.36,42.29,51.06,58.26,44.87,42.25,45.45,59.33,36.76,36.1,34.61,40.76,33.6,33.84,34.4,38.23,32.8,30.87,32.54,29.75,29.38,28.51,28.5,26.81,25.51,25.41,27.16,25.97,24.53,20.68,22.22,20.31,17.23,17.35,19.09,18.02,19.49,17.49,16.72,21.15,16.76,18.34
Depreciation,27.31,26.43,26.08,26.68,27.57,27.38,34.39,23.8,22.5,21.56,21.34,21.55,21.18,20.61,20.06,19.7,19.85,19.34,18.83,18.88,18.76,19.4,16.77,17.67,19.63,16.58,16.19,15.6,15.37,15.13,14.5,13.88,14.03,13.88,13.26,12.7,12.74,12.65,12.48,14.25,14.64,14.88,14.9,15.08,17.75,14.82,14.64,13.16,13.48,13.71
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,202.32,180.31,207.68,195.92,195.0,199.34,194.33,216.48,224.32,188.7,212.98,163.39,159.31,136.5,131.87,138.24,97.12,86.78,56.65,120.34,102.13,111.18,119.03,137.58,111.35,97.66,101.56,114.32,94.38,83.82,83.25,89.88,64.04,60.3,60.03,76.58,59.84,58.99,54.52,81.17,63.73,50.23,48.23,63.55,54.65,40.26,43.91,39.29,84.43,44.45
"P/L Before Other Inc. , Int., Excpt. Items & Tax",56.12,-15.86,180.57,182.25,92.33,75.6,118.08,193.63,69.37,-164.23,104.57,243.11,220.71,280.85,189.45,390.35,326.81,125.43,69.41,85.19,119.67,62.6,106.78,128.82,105.33,108.33,177.7,172.3,97.96,34.46,116.13,164.66,115.68,73.12,145.98,98.73,71.35,39.58,114.87,54.08,-25.61,29.61,109.69,87.46,100.23,66.7,79.94,114.55,43.78,50.15
Other Income,48.42,84.24,54.9,43.79,35.12,62.51,40.26,29.2,27.82,39.29,25.07,24.76,19.37,29.87,15.35,13.54,18.16,32.46,8.32,0.98,6.73,17.42,5.7,12.25,17.27,12.27,13.73,2.76,10.25,10.92,3.84,9.37,2.86,8.94,3.17,18.76,3.52,14.1,2.74,4.98,1.43,8.61,5.22,6.19,0.89,17.17,19.43,4.26,11.31,15.68
"P/L Before Int., Excpt. Items & Tax",104.54,68.38,235.47,226.04,127.45,138.11,158.34,222.83,97.19,-124.94,129.64,267.87,240.08,310.72,204.8,403.89,344.97,157.89,77.73,86.17,126.4,80.02,112.48,141.07,122.61,120.6,191.43,175.06,108.22,45.38,119.97,174.03,118.54,82.05,149.15,117.49,74.87,53.68,117.62,59.06,-24.18,38.22,114.9,93.65,101.11,83.87,99.37,118.81,55.09,65.84
Interest,10.01,6.8,6.65,7.31,7.66,12.46,9.02,6.46,5.13,4.31,11.33,8.06,0.85,0.41,4.76,1.84,1.79,0.77,3.28,9.03,1.77,0.23,0.87,2.36,1.71,2.88,5.24,3.35,-0.36,3.83,2.98,1.14,5.93,3.26,5.0,4.47,8.04,16.37,15.76,10.37,11.88,10.77,26.76,21.7,18.77,12.19,13.71,8.18,12.96,14.25
P/L Before Exceptional Items & Tax,94.53,61.58,228.82,218.73,119.79,125.65,149.32,216.37,92.06,-129.25,118.31,259.81,239.23,310.31,200.04,402.05,343.18,157.12,74.45,77.14,124.63,79.79,111.61,138.71,120.9,117.73,186.18,171.71,108.58,41.56,116.99,172.88,112.61,78.79,144.15,113.02,66.83,37.31,101.86,48.69,-36.06,27.46,88.15,71.95,82.34,71.67,85.66,110.63,42.13,51.59
