Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-06-30,302.46,302.46,51.55,2.61,18.43,9.18,220.69,0.24,220.94,87.11,133.83,133.83,34.12,99.71,99.71,29.14,3.42,0.0
2021-09-30,308.23,308.23,58.62,2.76,3.5,10.98,232.37,0.3,232.67,78.09,154.58,154.58,36.74,117.84,117.84,29.14,4.22,4.16
2021-12-31,317.2,317.2,58.41,3.07,15.29,11.83,228.61,0.54,229.15,72.35,156.8,156.8,38.68,118.12,118.12,29.13,4.07,4.02
2022-03-31,326.17,326.17,67.53,3.81,8.29,25.49,221.04,1.02,222.06,63.06,159.0,159.0,41.12,117.88,117.88,29.13,4.18,4.14
2022-06-30,337.97,337.97,71.89,3.62,-0.41,13.0,249.87,1.09,250.96,64.8,186.16,186.16,46.73,139.43,139.43,29.14,4.79,4.74
2022-09-30,360.55,360.55,81.44,4.02,8.51,14.17,252.41,1.31,253.72,60.91,192.82,192.82,48.64,144.18,144.18,29.13,4.94,4.87
2022-12-31,386.54,386.54,97.2,4.86,4.66,17.34,262.48,2.18,264.66,63.14,201.52,201.52,50.52,151.0,151.0,29.13,5.18,5.15
2023-03-31,435.79,435.79,95.9,4.81,7.39,29.54,298.14,3.5,301.65,77.41,224.24,224.24,55.36,168.88,168.88,29.14,5.79,5.73
2023-06-30,480.37,480.37,98.7,4.85,15.2,22.78,338.84,3.2,342.04,96.17,245.87,245.87,62.16,183.71,183.71,29.14,6.3,6.24
2023-09-30,518.82,518.82,105.79,5.69,10.57,27.45,369.31,3.55,372.86,105.89,266.97,266.97,67.59,199.39,199.39,29.17,6.85,6.77
2023-12-31,567.37,567.37,109.81,6.64,10.18,24.78,415.96,2.65,418.61,128.71,289.91,289.91,73.15,216.76,216.76,29.22,7.42,7.37
2024-03-31,616.29,616.29,114.28,7.4,19.42,27.13,448.06,2.85,450.92,137.73,313.19,313.19,77.13,236.06,236.06,29.24,8.07,8.01
2024-06-30,666.14,666.14,122.81,6.37,18.53,27.29,491.14,3.24,494.38,158.19,336.19,336.19,84.62,251.57,251.57,29.24,8.6,8.53
2024-09-30,702.05,702.05,124.84,6.67,21.77,31.21,517.55,3.79,521.34,163.14,358.21,358.21,90.27,267.94,267.94,29.25,9.16,9.07
2024-12-31,727.38,727.38,129.2,8.34,23.29,33.74,532.8,3.68,536.48,171.35,365.13,365.13,91.27,273.86,273.86,29.34,9.36,9.35
2025-03-31,752.27,752.27,144.25,8.99,25.37,34.76,538.9,7.48,546.38,175.3,371.07,371.07,91.95,279.12,279.12,29.44,9.49,9.55
