Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,83.81,5.41,89.22,25.07,0.0,0.0,26.01,4.16,42.67,-8.69,47.7,39.01,32.8,6.21,0.0,6.21,2.61,3.6,3.6,405.2,0.13,0.13,7.5,18.5,4.79,14.5,11.8
2013-03-31,87.58,4.51,92.09,25.19,0.0,0.0,25.87,11.56,38.01,-8.54,37.85,29.31,36.58,-7.27,0.0,-7.27,1.78,-9.05,-9.05,405.21,-0.22,-0.22,7.51,18.52,11.96,36.23,29.52
2013-06-30,94.28,3.87,98.15,30.91,0.0,0.0,32.72,4.49,45.45,-15.42,46.58,31.16,22.17,8.99,0.0,8.99,1.45,7.54,7.54,459.04,0.18,0.18,12.89,28.08,10.76,32.58,23.43
2013-09-30,85.4,3.15,88.55,26.39,0.0,0.0,33.84,4.33,48.44,-24.45,65.53,41.08,26.86,14.22,0.0,14.22,4.71,9.51,9.51,462.78,0.21,0.21,13.26,28.7,13.56,41.1,29.3
2013-12-31,84.24,3.48,87.72,25.07,0.0,0.0,31.76,4.52,47.05,-20.68,72.7,52.02,21.18,30.84,0.0,30.84,12.18,18.66,18.66,462.79,0.41,0.41,13.26,28.66,9.49,28.74,20.5
2014-03-31,90.15,4.33,94.48,25.96,0.0,0.0,37.72,3.66,72.12,-44.98,52.93,7.95,20.57,-12.62,0.0,-12.62,-0.9,-11.72,-11.72,462.79,-0.26,-0.26,13.26,28.66,10.04,30.4,21.69
2014-06-30,147.84,3.28,151.12,39.84,0.0,0.0,45.44,8.99,107.3,-50.45,56.22,5.77,20.58,-14.81,2.65,-12.16,0.0,-12.16,-12.16,462.79,-0.32,-0.32,13.26,28.66,5.76,17.45,12.45
2014-09-30,152.76,4.76,157.52,36.88,0.0,0.0,46.25,6.62,108.24,-40.47,56.26,15.79,20.68,-4.89,0.0,-4.89,0.2,-5.09,-5.09,462.79,-0.11,-0.11,13.26,28.66,8.44,25.56,18.24
2014-12-31,143.73,3.95,147.68,34.81,0.0,0.0,47.37,5.32,106.79,-46.61,55.22,8.61,20.73,-12.12,0.0,-12.12,-2.17,-9.95,-9.95,462.79,-0.21,-0.21,13.26,28.66,5.76,17.45,12.45
2015-03-31,151.45,2.87,154.32,35.77,0.0,0.0,43.4,6.22,111.85,-42.92,54.82,11.9,18.63,-6.73,0.0,-6.73,0.0,-6.73,-6.73,462.81,-0.15,-0.15,13.27,28.66,8.33,25.23,18.0
2015-06-30,150.36,3.85,154.21,38.34,0.0,0.0,42.11,5.76,111.86,-43.86,41.88,-1.98,14.72,-16.7,0.0,-16.7,0.0,-16.7,-16.7,462.88,-0.36,-0.36,13.27,28.67,9.83,29.78,21.24
2015-09-30,149.07,3.78,152.85,35.88,0.0,0.0,44.56,5.71,102.66,-35.96,33.55,-2.41,11.05,-13.46,-12.57,-26.03,0.0,-26.03,-26.03,462.94,-0.56,-0.56,13.28,28.68,8.37,25.36,18.09
2015-12-31,146.72,3.78,150.5,34.07,0.0,0.0,43.32,5.69,99.86,-32.44,32.94,0.5,14.52,-14.02,-2.76,-16.78,0.0,-16.78,-16.78,463.12,-0.36,-0.36,0.0,0.0,0.0,0.0,0.0
2016-03-31,150.52,3.51,154.03,36.26,0.0,0.0,46.88,8.26,93.65,-31.02,38.87,7.85,21.85,-14.0,0.0,-14.0,0.0,-14.0,-14.0,463.13,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0
2016-06-30,164.0,2.09,166.09,40.16,0.0,0.0,48.3,6.21,99.03,-27.61,46.75,19.14,26.19,-7.05,0.0,-7.05,0.0,-7.05,-7.05,463.2,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,167.39,1.99,169.38,39.14,0.0,0.0,49.33,6.38,95.7,-21.17,39.22,18.05,28.39,-10.34,-1.03,-11.37,-6.73,-4.64,-4.64,463.49,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,155.52,2.14,157.66,37.26,0.0,0.0,46.86,6.53,156.95,-89.94,42.31,-47.63,31.17,-78.8,-1.8,-80.6,-19.13,-61.47,-61.47,481.56,-1.32,-1.32,0.0,0.0,0.0,0.0,0.0
2017-03-31,151.99,0.0,151.99,33.94,0.0,0.0,45.66,7.5,99.34,-34.45,40.91,6.46,20.61,-14.15,-0.9,-15.05,-13.48,-1.57,-1.57,517.73,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2017-06-30,168.43,0.0,168.43,37.94,0.0,0.0,44.27,6.87,99.95,-20.6,38.22,17.62,17.94,-0.32,-0.57,-0.89,0.15,-1.04,-1.04,518.52,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2017-09-30,170.28,0.0,170.28,33.9,0.0,0.0,42.27,6.87,101.17,-13.93,34.6,20.67,15.59,5.08,-0.86,4.22,2.45,1.77,1.77,518.52,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2017-12-31,166.19,0.0,166.19,33.32,0.0,0.0,43.17,7.45,100.67,-18.42,32.29,13.87,13.22,0.65,-0.21,0.44,1.33,-0.89,-0.89,518.52,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
2018-03-31,154.58,0.0,154.58,30.4,0.0,0.0,31.63,7.69,98.41,-13.55,32.78,19.23,16.99,2.24,-66.31,-64.07,-0.5,-63.57,-63.57,518.66,-1.23,-1.23,0.0,0.0,0.0,0.0,0.0
2018-06-30,156.33,0.0,156.33,32.46,0.0,0.0,39.94,6.91,106.66,-29.64,37.28,7.64,29.36,-21.72,-0.03,-21.75,-7.66,-14.09,-14.09,518.68,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2018-09-30,162.55,0.0,162.55,32.37,0.0,0.0,38.43,7.11,112.91,-28.27,64.32,36.05,43.62,-7.57,-0.05,-7.62,-1.33,-6.29,-6.29,519.08,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2018-12-31,169.71,0.0,169.71,33.99,0.0,0.0,37.56,6.66,132.35,-40.85,70.88,30.03,70.12,-40.09,0.0,-40.09,9.02,-49.11,-49.11,754.95,-0.76,-0.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,167.9,0.0,167.9,32.87,0.0,0.0,33.6,6.46,148.78,-53.81,352.01,298.2,49.17,249.03,0.0,249.03,56.53,192.5,192.5,754.95,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2019-06-30,178.8,0.0,178.8,37.29,0.0,0.0,40.83,23.93,79.02,-2.27,675.93,673.66,43.96,629.7,-45.23,584.47,112.39,472.08,472.08,754.96,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2019-09-30,181.4,0.0,181.4,38.02,0.0,0.0,35.34,24.26,83.07,0.71,147.99,148.7,37.78,110.92,-89.78,21.14,34.41,-13.27,-13.27,754.96,-0.17,-0.17,0.0,0.0,0.0,0.0,0.0
