Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,230.14,-7.47,222.67,119.22,14.5,68.83,20.12,23.02,43.15,17.28,25.87,0.0,25.87,0.0,25.87,25.87,657.67,0.61,0.61,33.21,50.5,32.55,100.0,49.5
2013-03-31,221.89,-2.21,219.68,117.93,13.72,64.36,23.66,12.47,36.14,3.58,32.56,0.0,32.56,0.0,32.56,32.56,657.67,0.5,0.49,28.37,43.14,37.4,100.0,56.86
2013-06-30,230.48,-5.64,224.84,118.19,12.94,67.85,25.87,-1.05,24.82,3.15,21.67,0.0,21.67,0.0,21.67,21.67,658.17,0.33,0.32,28.42,43.18,37.4,100.0,56.82
2013-09-30,249.23,-11.42,237.81,118.86,14.59,64.53,39.83,4.63,44.46,5.26,39.2,0.0,39.2,0.0,39.2,39.2,658.31,0.6,0.59,28.43,43.19,37.4,100.0,56.81
2013-12-31,243.32,-7.53,235.78,120.09,13.05,67.2,35.45,5.14,40.59,4.3,36.28,0.0,36.28,0.0,36.28,36.28,658.74,0.55,0.55,28.48,43.23,37.4,100.0,56.77
2014-03-31,231.15,-12.25,218.89,103.66,12.15,67.26,35.82,6.49,42.32,5.0,37.31,0.0,37.31,0.0,37.31,37.31,659.74,0.57,0.54,28.58,43.31,37.4,100.0,56.69
2014-06-30,228.3,-7.07,221.23,106.8,11.83,66.0,36.59,6.76,43.35,5.02,38.33,0.0,38.33,0.0,38.33,38.33,661.42,0.58,0.55,28.74,43.46,37.4,100.0,56.54
2014-09-30,234.64,3.86,238.51,111.19,11.78,67.55,47.98,9.9,57.89,5.14,52.75,0.0,52.75,-1.04,53.79,53.79,663.01,0.81,0.78,28.9,43.59,37.4,100.0,58.41
2014-12-31,222.0,11.7,233.7,110.92,11.51,66.63,44.65,6.77,51.42,6.43,45.0,0.0,45.0,-0.89,45.88,45.88,665.14,0.69,0.65,29.12,43.77,37.4,100.0,56.23
2015-03-31,204.58,16.13,220.7,108.8,11.31,66.62,33.97,-3.7,30.26,3.64,26.62,0.0,26.62,-1.91,28.52,28.52,666.29,0.43,0.41,29.23,43.87,37.4,100.0,56.13
2015-06-30,205.18,5.87,211.05,102.11,10.43,62.96,35.55,8.53,44.08,4.68,39.39,0.0,39.39,7.28,32.12,32.12,666.85,0.48,0.46,29.29,43.92,37.4,100.0,56.08
2015-09-30,215.88,10.91,226.79,105.05,10.43,64.59,46.72,6.88,53.61,4.59,49.01,0.0,49.01,2.4,46.61,46.61,670.29,0.7,0.67,29.63,44.21,37.4,100.0,55.79
2015-12-31,212.13,15.91,228.04,109.23,7.07,59.75,52.0,4.14,56.14,3.79,52.35,0.0,52.35,9.04,43.31,43.31,672.73,0.65,0.62,0.0,0.0,0.0,0.0,0.0
2016-03-31,193.03,15.97,209.0,108.43,5.06,65.08,30.43,6.11,36.54,3.17,33.36,0.0,33.36,5.67,27.69,27.69,673.32,0.41,0.4,0.0,0.0,0.0,0.0,0.0
2016-06-30,204.32,17.59,221.91,109.4,4.89,62.16,45.46,5.1,50.56,4.55,46.02,0.0,46.02,7.3,38.72,38.72,674.9,0.57,0.56,0.0,0.0,0.0,0.0,0.0
2016-09-30,204.59,26.68,231.27,116.74,5.07,62.05,47.41,0.49,47.9,-0.21,48.12,0.0,48.12,5.67,42.45,42.45,675.65,0.63,0.62,0.0,0.0,0.0,0.0,0.0
2016-12-31,222.51,24.31,246.81,118.99,5.16,65.43,57.23,6.63,63.86,3.95,59.91,0.0,59.91,7.28,52.63,52.63,677.93,0.78,0.77,0.0,0.0,0.0,0.0,0.0
2017-03-31,209.44,30.63,240.08,112.86,3.92,62.68,60.62,2.57,63.19,-1.51,64.69,0.0,64.69,10.03,54.66,54.66,681.31,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2017-06-30,217.51,26.06,243.57,120.61,5.01,61.94,56.01,4.73,60.75,1.94,58.81,0.0,58.81,8.25,50.56,50.56,681.86,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2017-09-30,188.66,23.67,212.33,105.33,5.41,53.1,48.49,4.76,53.24,2.21,51.03,0.0,51.03,7.18,43.85,43.85,682.24,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2017-12-31,186.02,24.94,210.96,99.48,5.6,47.93,57.95,2.05,60.0,-0.61,60.61,0.0,60.61,9.52,51.09,51.09,685.26,0.75,0.74,0.0,0.0,0.0,0.0,0.0
2018-03-31,170.64,23.77,194.41,89.88,5.51,48.7,50.33,1.17,51.51,2.69,48.81,0.0,48.81,2.39,46.42,46.42,686.52,0.68,0.67,0.0,0.0,0.0,0.0,0.0
2018-06-30,189.34,13.15,202.49,94.31,5.71,47.19,55.28,2.31,57.59,0.4,57.19,0.0,57.19,10.05,47.14,47.14,688.5,0.69,0.68,0.0,0.0,0.0,0.0,0.0
2018-09-30,183.39,8.53,191.92,95.27,5.9,47.25,43.49,2.56,46.05,0.34,45.71,0.0,45.71,5.42,40.29,40.29,690.36,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2018-12-31,174.03,17.05,191.08,93.26,6.17,46.07,45.59,3.9,49.49,0.42,49.07,0.0,49.07,3.47,45.6,45.6,690.85,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2019-03-31,177.99,4.63,182.62,100.5,6.54,57.46,18.13,53.15,71.29,0.38,70.9,0.0,70.9,4.92,65.99,65.99,691.07,0.95,0.95,0.0,0.0,0.0,0.0,0.0
2019-06-30,193.54,14.02,207.56,102.08,16.2,35.93,53.35,4.74,58.08,3.48,54.6,0.0,54.6,6.04,48.56,48.56,693.01,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2019-09-30,206.81,13.81,220.61,121.5,17.07,48.66,33.39,4.6,37.99,3.84,34.15,0.0,34.15,4.13,30.02,30.02,693.2,0.43,0.43,0.0,0.0,0.0,0.0,0.0
2019-12-31,245.68,6.16,251.84,125.63,18.23,54.87,53.11,13.63,66.74,4.58,62.17,0.0,62.17,9.73,52.44,52.44,693.57,0.76,0.75,0.0,0.0,0.0,0.0,0.0
2020-03-31,259.9,0.0,259.9,131.66,19.08,52.14,57.02,7.83,64.86,3.78,61.08,0.0,61.08,10.08,51.0,51.0,693.83,0.74,0.73,0.0,0.0,0.0,0.0,0.0
2020-06-30,241.84,9.12,250.96,125.92,19.11,40.56,65.37,5.27,70.64,3.74,66.9,0.0,66.9,6.13,60.77,60.77,694.01,0.88,0.87,0.0,0.0,0.0,0.0,0.0
2020-09-30,290.26,9.34,299.6,141.96,20.26,46.91,90.47,7.11,97.58,3.69,93.89,0.0,93.89,9.98,83.91,83.91,694.82,1.23,1.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,358.13,10.32,368.46,171.8,19.9,53.65,123.1,7.28,130.38,3.69,126.69,0.0,126.69,19.52,107.17,107.17,695.55,1.58,1.53,0.0,0.0,0.0,0.0,0.0
2021-03-31,394.92,10.81,405.73,190.94,20.52,60.79,133.47,8.56,142.03,4.18,137.85,0.0,137.85,23.04,114.81,114.81,696.1,1.69,1.63,0.0,0.0,0.0,0.0,0.0
2021-06-30,401.76,0.0,401.76,198.36,21.87,62.98,118.55,7.34,125.89,5.5,120.39,0.0,120.39,18.92,101.47,101.47,696.65,1.49,1.44,0.0,0.0,0.0,0.0,0.0
2021-09-30,408.0,0.0,408.0,199.82,21.79,62.19,124.2,8.19,132.38,5.28,127.11,0.0,127.11,16.84,110.27,110.27,696.99,1.66,1.6,0.0,0.0,0.0,0.0,0.0
2021-12-31,403.3,0.0,403.3,202.46,22.84,66.43,111.57,7.25,118.82,4.91,113.91,0.0,113.91,18.57,95.35,95.35,696.99,1.4,1.35,0.0,0.0,0.0,0.0,0.0
2022-03-31,357.66,21.29,378.95,199.4,21.7,69.49,88.37,7.97,96.34,4.39,91.95,0.0,91.95,11.44,80.51,80.51,696.99,1.18,1.14,0.0,0.0,0.0,0.0,0.0
2022-06-30,358.95,0.0,358.95,187.84,23.4,69.12,78.59,6.82,85.41,4.38,81.04,0.0,81.04,11.63,69.41,69.41,696.99,1.02,0.99,0.0,0.0,0.0,0.0,0.0
2022-09-30,332.88,18.15,351.02,178.05,22.3,73.98,76.69,5.54,82.23,4.23,78.0,0.0,78.0,15.28,62.71,62.71,696.99,0.92,0.89,0.0,0.0,0.0,0.0,0.0
2022-12-31,329.88,-2.57,327.31,173.23,22.07,65.94,66.07,9.07,75.15,3.51,71.64,0.0,71.64,14.78,56.86,56.86,696.99,0.84,0.81,0.0,0.0,0.0,0.0,0.0
2023-03-31,341.45,-3.03,338.42,173.02,21.07,73.44,70.9,12.31,83.21,2.83,80.38,0.0,80.38,21.02,59.36,59.36,696.99,0.87,0.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,333.66,2.52,336.18,169.2,19.95,77.38,69.65,8.16,77.82,3.04,74.78,0.0,74.78,9.91,64.88,64.88,696.99,0.95,0.93,0.0,0.0,0.0,0.0,0.0
2023-09-30,364.28,0.0,364.28,189.53,21.83,73.49,79.43,9.31,88.74,3.99,84.76,0.0,84.76,12.67,72.09,72.09,696.99,1.06,1.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,436.11,-1.18,434.92,217.82,24.01,88.79,104.31,10.08,114.38,4.95,109.44,0.0,109.44,19.89,89.55,89.55,696.99,1.31,1.28,0.0,0.0,0.0,0.0,0.0
2024-03-31,464.88,0.89,465.77,244.12,26.25,88.13,107.26,9.03,116.29,5.37,110.92,0.0,110.92,17.74,93.18,93.18,696.99,1.36,1.33,0.0,0.0,0.0,0.0,0.0
2024-06-30,505.84,7.07,512.9,272.92,25.79,98.16,116.03,10.38,126.41,8.37,118.04,0.0,118.04,23.19,94.85,94.85,696.99,1.38,1.35,0.0,0.0,0.0,0.0,0.0
2024-09-30,542.03,0.0,542.03,300.47,26.27,101.37,113.92,8.36,122.28,9.98,112.3,0.0,112.3,20.44,91.86,91.86,696.99,1.34,1.31,0.0,0.0,0.0,0.0,0.0
