Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,27.86,27.86,184.77,184.77,212.63,0.11,24.05,0.0,0.0,24.16,203.47,19.6,4.45,5.36,232.88,469.67,129.07,0.5,14.68,144.25,5.57,0.0,152.51,0.0,212.85,77.37,13.37,2.31,317.16,469.67,29.24,29.67,0.0,504.28,0.0,0.0,7.88,0.0,0.0,0.0,11.26,199.68,0.0,1.88,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,27.86,27.86,208.19,208.19,236.05,5.08,26.2,0.0,0.0,31.28,112.2,53.68,5.45,5.43,176.76,444.09,170.34,0.5,0.15,170.99,7.23,0.0,179.32,0.0,128.47,60.94,68.45,0.0,264.77,444.09,43.77,29.41,0.0,405.36,0.0,0.96,6.51,0.0,0.0,0.0,6.91,220.55,0.0,1.78,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,27.86,27.86,234.69,234.69,262.55,10.37,36.4,0.0,0.0,46.77,200.7,6.51,2.65,8.28,218.14,527.46,218.64,0.5,0.28,219.42,6.87,0.0,227.09,0.0,227.15,66.03,4.54,0.0,300.37,527.46,35.15,17.0,0.0,387.38,0.0,2.53,5.01,0.0,0.0,0.0,2.65,334.65,0.0,32.97,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,27.86,27.86,275.58,275.58,303.44,27.24,49.78,0.0,0.0,77.02,155.75,29.11,5.78,8.94,199.58,580.04,234.28,0.5,27.7,262.48,9.18,0.0,271.76,0.0,217.07,66.66,14.41,0.0,308.28,580.04,84.52,30.73,0.0,510.97,0.0,5.46,5.01,0.0,0.0,0.0,10.14,77.92,0.0,3.95,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,27.67,27.67,330.67,330.67,358.34,21.68,48.98,0.0,0.0,70.66,492.27,81.07,25.26,25.62,624.22,1053.22,260.36,1.46,5.48,267.3,26.57,0.0,294.28,0.0,461.28,91.84,141.48,0.0,758.94,1053.22,63.4,32.13,0.0,892.19,0.0,20.0,8.02,0.0,0.0,0.0,64.34,258.97,0.0,3.9,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,27.67,27.67,274.57,274.57,302.24,15.91,43.5,0.0,0.0,59.41,74.41,95.55,93.1,10.53,273.59,635.24,241.93,1.48,5.33,248.74,31.9,0.0,280.99,0.0,199.38,62.91,24.52,0.0,354.25,635.24,64.94,36.67,0.02,618.6,0.0,24.16,5.02,0.0,0.0,0.0,67.44,185.63,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,27.67,27.67,392.57,392.57,420.24,13.83,50.35,0.0,0.0,64.18,164.35,79.65,33.72,6.74,284.46,768.88,295.53,1.53,13.99,311.05,40.8,0.0,351.96,0.0,260.95,72.61,28.16,0.0,416.92,768.88,47.81,9.38,0.03,412.92,0.0,40.47,4.73,0.0,0.0,0.0,55.2,275.79,0.0,1.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,27.67,27.67,478.71,478.71,506.38,3.85,49.21,0.0,3.82,56.88,222.61,170.65,26.35,11.66,431.27,994.53,298.16,0.43,45.22,343.81,43.75,0.88,412.41,34.55,364.62,114.87,17.3,8.16,582.12,994.53,125.14,14.13,0.01,547.24,0.0,46.29,4.73,0.0,0.0,23.97,42.62,312.89,1.26,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,27.67,27.67,527.1,527.1,554.77,2.61,49.32,0.0,0.68,52.61,356.33,137.85,35.19,2.13,531.5,1138.88,288.16,0.74,169.06,457.96,44.32,0.58,529.5,0.03,371.1,173.09,22.4,5.52,609.38,1138.88,97.77,8.54,0.01,538.48,0.0,43.35,4.97,0.0,0.0,26.64,37.24,255.64,0.68,23.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,27.67,27.67,627.04,627.04,654.71,0.0,58.35,0.0,0.68,59.03,183.16,269.12,30.93,5.08,488.29,1202.03,456.48,1.47,38.12,496.07,44.6,0.45,567.6,0.0,457.12,108.8,32.42,8.52,634.43,1202.03,51.42,3.85,0.06,779.13,0.0,40.53,4.97,0.0,0.0,26.48,27.57,668.93,1.41,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
