Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,845.65,845.65,6599.5,6599.5,7445.15,2133.48,1298.16,0.0,0.0,3431.64,0.0,1268.76,1027.49,4318.98,6615.23,17492.02,8142.28,0.6,814.47,8957.35,771.99,0.0,0.0,9799.92,0.0,474.91,720.69,1567.95,4928.55,0.0,7692.1,17492.02,13680.65,1718.09,19.03,2.68,0.0,3151.24,78.59,0.0,0.0,0.0,121.16,0.0,86.63,70.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,845.65,845.65,7780.46,7780.46,8626.11,1997.4,1375.16,0.0,0.0,3372.56,0.0,1360.26,1355.87,5245.34,7961.47,19960.14,7802.07,43.81,309.08,8154.96,783.95,0.0,0.0,9058.84,0.0,481.44,822.86,3446.84,6150.16,0.0,10901.3,19960.14,9739.35,859.01,76.95,1.92,0.0,3736.27,90.61,0.0,0.0,0.0,59.79,0.0,38.18,119.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,845.65,845.65,9127.64,9127.64,9973.29,1916.56,1374.09,0.0,0.0,3290.65,0.0,1520.24,1644.38,6063.27,9227.89,22491.83,7498.76,57.2,615.59,8171.55,1443.35,0.0,0.0,9689.29,0.0,483.19,753.47,4495.94,7069.94,0.0,12802.54,22491.83,11208.69,802.42,18.58,4.07,0.0,5672.21,600.42,0.0,0.0,0.0,64.0,0.0,38.25,74.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,845.65,845.65,10547.26,10547.26,11392.91,1337.85,1387.28,0.0,0.0,2725.13,0.0,1448.36,1137.23,1965.64,4551.23,18669.27,7385.04,69.33,1936.94,9391.31,1463.84,0.0,0.0,10923.76,0.0,552.36,790.71,2660.41,3742.03,0.0,7745.51,18669.27,4940.6,758.33,21.96,6.29,0.0,5458.8,1517.94,0.0,0.0,0.0,71.93,0.0,109.9,68.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,845.65,845.65,12159.23,12159.23,13004.88,1265.87,1434.72,0.0,0.0,2700.59,0.0,1797.75,1563.27,2699.39,6060.41,21765.88,8842.9,90.39,816.66,9749.95,1490.88,0.0,0.0,11355.86,0.0,569.81,1073.54,4472.99,4293.68,0.0,10410.02,21765.88,8115.13,702.63,0.0,6.87,0.0,6343.17,598.16,0.0,0.0,0.0,78.41,0.0,31.15,115.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1268.48,1268.48,13501.15,13501.15,14769.63,1200.13,1483.32,0.0,0.0,2683.45,0.0,1972.49,2205.43,3976.85,8154.77,25607.85,8951.41,98.91,2426.33,11476.65,1737.27,0.0,0.0,13371.31,0.0,601.41,1503.34,3456.15,6675.64,0.0,12236.54,25607.85,11581.19,1949.12,0.0,6.96,422.83,4905.94,897.96,0.0,0.0,0.0,73.14,0.0,28.47,157.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1268.48,1268.48,15530.52,15530.52,16799.0,1480.38,1576.11,0.0,0.0,3056.49,0.0,2031.77,3416.54,4930.06,10378.37,30233.86,11692.34,238.76,2640.51,14571.61,1763.01,0.0,0.0,16521.17,0.0,631.7,1295.04,4171.51,7614.44,0.0,13712.69,30233.86,13539.33,1913.55,0.0,5.67,422.83,7580.53,929.7,0.0,0.0,0.0,175.88,0.0,74.01,186.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1268.48,1268.48,17984.86,17984.86,19253.34,1973.0,1633.24,14.94,289.25,3910.43,0.0,2089.81,2986.62,3771.25,8847.68,32011.45,12190.72,212.85,5846.15,18249.72,2581.35,1687.1,73.09,22591.26,1.17,855.11,1833.0,2131.35,4595.97,3.59,9420.19,32011.45,13467.19,2382.58,0.0,4.72,422.83,8557.39,1158.4,0.0,1.17,0.0,595.74,110.87,971.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1268.48,1268.48,20356.0,20356.0,21624.48,4889.35,1768.64,277.98,337.77,7273.74,0.0,2509.93,3654.79,4021.74,10186.46,39084.68,15561.28,296.34,7942.45,23800.07,3548.93,1995.58,272.11,29616.69,0.0,1419.74,1904.48,931.33,5211.22,1.22,9467.99,39084.68,19270.72,2451.42,0.0,8.85,422.83,8814.13,1848.18,0.0,0.0,0.0,3239.03,177.97,555.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1268.48,1268.48,22959.32,22959.32,24227.8,8140.78,2300.06,685.07,359.58,11485.49,223.74,3103.76,4208.12,1435.28,8970.9,44684.19,18987.55,719.9,8977.82,28685.27,3680.05,2591.49,673.19,35630.0,38.95,1535.33,2551.34,2357.94,2555.86,14.77,9054.19,44684.19,18695.27,1708.92,0.0,32.02,422.83,9411.91,2895.28,269.35,0.0,0.0,2733.86,153.04,1099.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
