Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Trade Payables,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Other Non-Current Assets,Inventories,Trade Receivables,OtherCurrentAssets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,430.0,430.0,27709.06,27709.06,28139.06,0.0,0.0,20843.42,7583.12,28426.54,56565.6,56.57,56.57,0.0,6.32,462.91,525.8,8234.28,7806.89,56039.8,56565.6,2611.52,0.0,0.0,4.06,39998.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,430.0,430.0,32770.59,32770.59,33200.59,0.0,0.0,22425.19,7376.43,29801.62,63002.2,118.12,118.12,0.0,23.7,424.05,565.87,8263.92,8484.67,62436.33,63002.2,3036.07,0.0,0.0,4.06,45687.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,430.0,430.0,41510.5,41510.5,41940.5,0.0,0.0,27301.56,8955.22,36256.78,78197.28,137.63,137.63,55725.06,17.47,393.84,56274.01,7728.09,14195.19,21923.27,78197.28,3086.07,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,430.0,430.0,38852.55,38852.55,39282.55,0.0,0.0,30017.59,10432.43,40450.03,79732.58,170.27,170.27,54435.96,2.43,365.78,54974.43,9761.4,14996.75,24758.15,79732.58,2764.52,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,430.0,430.0,28051.34,28051.34,28481.34,20000.74,20000.74,33257.82,13208.71,46466.54,94948.62,163.62,163.62,60740.44,13.43,322.13,61239.61,12190.77,17513.77,33709.02,94948.62,3317.43,0.0,0.0,4.06,4004.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,438.6,438.6,30673.86,30673.86,31112.46,21196.35,21196.35,44990.16,12373.43,57363.59,109672.4,171.18,171.18,67645.97,14.4,282.09,68113.64,14171.62,23111.54,41558.76,109672.4,3677.51,3792.03,3451.52,4.06,4275.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,877.2,877.2,30891.84,30891.84,31769.04,22022.65,22022.65,50802.38,14289.49,65091.88,118883.57,196.69,196.69,74112.17,2.56,257.92,74569.34,12847.91,25965.55,44314.23,118883.57,5730.71,4968.92,3870.93,4.06,5500.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,877.2,877.2,24321.45,24321.45,25198.65,11620.73,11620.73,61912.71,17464.11,79376.82,116196.2,180.81,180.81,68525.82,20.79,234.74,68962.15,15853.78,31380.26,47234.05,116196.2,10437.86,-5735.57,4449.58,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,877.2,877.2,29326.3,29326.3,30203.5,21036.03,21036.03,63074.49,20347.21,83421.69,134661.22,169.28,169.28,91095.59,18.33,212.46,91495.66,18294.09,24871.47,43165.56,134661.22,17016.68,5249.69,5164.71,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,877.2,877.2,25255.26,25255.26,26132.46,31218.01,31218.01,67530.71,20006.2,87536.9,144887.37,170.37,170.37,101105.51,36.69,189.38,101501.95,21083.12,22302.3,43385.42,144887.37,24411.2,5149.27,3784.59,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,877.2,877.2,41099.59,41099.59,41976.79,22285.37,22285.37,73578.46,19283.99,92862.45,157124.6,294.27,294.27,110682.93,600.14,169.74,111747.08,23284.29,22093.23,45377.52,157124.6,20550.26,4867.14,3037.37,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,877.2,877.2,51117.91,51117.91,51995.11,30435.19,30435.19,77810.79,18044.72,95855.52,178285.82,287.08,287.08,131424.69,684.47,151.89,132548.13,24388.88,21348.8,45737.68,178285.82,22856.18,5566.79,262.54,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
