Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Money Received Against Share Warrants,Raw Materials,Capital Goods,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,158.66,177.16,146.84,146.84,324.0,0.0,0.0,236.27,0.29,0.0,0.0,236.55,0.0,0.0,8.01,0.0,8.01,568.56,1.65,0.0,0.0,0.0,1.65,367.3,0.0,0.0,0.0,368.95,0.0,0.0,44.42,22.43,65.3,67.47,199.61,568.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,158.66,158.66,174.27,174.27,332.93,40.0,0.0,214.23,0.29,0.0,0.0,214.52,53.72,0.29,2.18,0.0,56.19,643.65,1.37,0.0,0.0,0.0,1.37,442.36,0.03,0.0,0.0,443.75,0.0,0.0,1.04,113.48,85.38,0.0,199.9,643.65,122.91,0.68,0.0,0.0,9.2,438.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,264.44,264.44,104.04,104.04,368.48,0.0,0.0,227.69,0.22,0.0,0.0,227.91,54.96,1.19,1.16,0.06,57.36,653.76,1.11,0.0,0.0,0.0,1.11,438.24,0.04,0.0,0.0,439.4,0.0,0.0,0.03,2.29,212.05,0.0,214.36,653.76,260.16,1.24,0.0,105.77,0.0,438.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,331.08,331.08,1308.7,1308.7,1639.78,0.0,0.0,120.55,0.06,0.0,0.0,120.61,76.62,0.87,0.79,0.06,78.34,1838.73,0.81,0.0,0.0,0.0,0.81,1344.03,0.05,0.0,0.0,1344.89,0.0,0.0,0.0,319.12,174.72,0.0,493.84,1838.73,834.73,5.95,0.0,105.77,14.4,1344.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,364.13,364.13,5240.44,5240.44,5604.57,0.0,0.0,365.0,0.04,0.0,0.0,365.04,114.18,12.47,8.75,0.05,135.44,6105.05,0.68,0.0,0.0,0.0,0.68,4780.31,0.02,0.0,0.0,4781.0,0.0,0.0,0.0,108.15,1215.9,0.0,1324.04,6105.05,3132.29,2.21,0.0,105.77,11.98,4773.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,364.13,364.13,5338.09,5338.09,5702.23,0.0,0.0,340.0,0.09,0.0,0.0,340.09,80.3,7.49,9.96,0.84,98.59,6140.9,0.81,0.0,0.0,0.0,0.81,4061.87,0.3,0.0,0.0,4062.98,0.0,0.0,0.0,1331.92,746.0,0.0,2077.92,6140.9,7202.1,3.23,0.0,105.77,0.0,4061.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,366.74,366.74,5473.28,5473.28,5840.02,0.0,0.0,1775.0,1.16,0.0,0.0,1776.16,800.0,37.03,33.13,10.26,880.42,8496.6,23.71,0.0,8.48,0.0,32.18,6252.5,1.19,0.0,0.0,6285.87,0.0,12.68,37.35,68.53,2092.16,0.0,2210.73,8496.6,8985.0,1.78,0.0,105.77,0.0,6252.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,389.24,389.24,6780.34,6780.34,7169.58,0.0,0.0,1700.0,1.27,109.72,0.43,1811.42,601.08,151.42,186.12,12.46,951.08,9932.08,80.19,1.64,2.47,0.0,84.3,6817.62,0.0,1953.16,38.85,8893.93,220.4,10.57,83.42,474.18,85.81,163.77,1038.15,9932.08,13212.47,16.69,7.23,105.77,0.0,6817.62,0.0,220.4,0.0,0.0,0.0,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,389.24,389.24,6838.03,6838.03,7227.27,0.0,0.0,1904.63,3.9,14.89,0.39,1923.81,852.0,172.26,592.06,22.88,1639.2,10790.28,99.31,2.16,1.57,0.0,103.04,6692.26,0.0,1683.09,85.63,8564.02,211.51,31.71,295.44,525.15,904.74,257.71,2226.26,10790.28,18399.0,16.78,37.97,105.77,0.0,6692.26,0.0,211.51,0.0,0.0,6.74,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,389.24,389.24,6796.49,6796.49,7185.73,0.0,0.0,3015.83,0.0,0.0,0.89,3016.72,751.2,162.55,966.22,67.72,1947.69,12150.14,105.94,2.96,0.0,0.0,108.9,6845.88,18.32,2982.03,534.19,10489.32,67.7,87.22,206.79,205.36,746.74,347.01,1660.82,12150.14,19039.3,0.0,92.5,105.77,0.0,6845.88,0.0,67.7,0.0,0.0,0.1,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
