Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Borrowings,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Government/Other Grants,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure
2004-03-31,10.4,10.4,276.74,279.1,289.5,9.52,0.0,0.0,21.61,5.37,99.37,0.16,33.19,138.1,452.43,74.07,0.02,13.23,0.0,0.0,87.32,144.73,0.0,0.0,253.96,0.0,124.88,12.6,6.82,54.18,0.0,198.48,452.43,3.51,22.24,6.35,69.5,2.86,8.68,15.33,130.08,0.0,12.09,0.0,21.91,8.51,0.0,0.0,9.03,2.36,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.4,10.4,314.25,316.61,327.01,10.37,0.0,0.0,56.15,15.29,120.11,0.61,42.84,178.85,563.17,122.72,0.02,6.47,0.0,0.0,129.2,199.16,0.0,0.0,354.49,0.0,127.83,2.51,5.2,73.15,0.0,208.69,563.17,57.81,14.08,7.1,72.53,1.34,8.68,3.97,195.32,0.0,45.79,0.0,26.13,10.54,0.0,0.0,28.84,2.36,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.4,10.4,347.7,350.06,360.46,10.69,0.0,0.0,55.47,29.61,99.25,0.43,47.05,176.34,592.27,127.15,0.02,2.67,0.0,0.0,129.84,211.01,0.0,0.0,347.45,0.0,149.72,11.53,6.68,76.89,0.0,244.82,592.27,64.45,13.95,8.22,60.2,1.67,8.68,3.91,207.16,0.0,44.78,0.0,6.61,8.2,0.0,0.0,4.86,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.4,10.4,405.39,407.75,418.15,10.0,0.0,0.0,42.7,28.03,90.96,0.33,53.9,173.23,634.08,118.59,0.02,7.95,0.0,0.0,126.55,246.27,0.0,0.0,379.26,0.0,151.3,15.7,14.28,73.55,0.0,254.82,634.08,11.19,15.75,8.41,77.56,3.07,8.68,3.9,242.43,0.0,32.7,0.0,6.44,16.18,0.0,0.0,2.74,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.4,10.4,487.2,489.56,499.96,10.73,0.0,0.0,74.95,39.16,167.56,0.84,64.39,271.96,846.87,131.88,0.02,21.47,0.0,0.0,153.37,329.57,0.0,0.0,492.02,0.0,238.06,23.06,8.16,85.57,0.0,354.85,846.87,11.33,17.45,9.34,115.35,2.53,8.68,3.89,325.74,0.0,64.22,0.0,9.08,18.11,0.0,0.0,31.24,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.4,10.4,565.69,568.05,578.45,14.73,0.0,0.0,84.25,25.77,235.86,0.94,67.38,329.95,992.65,198.08,0.02,61.7,0.0,0.0,259.8,209.86,0.0,0.0,486.74,0.0,364.47,30.35,17.6,93.47,0.0,505.91,992.65,9.37,20.38,9.34,241.0,6.0,8.68,0.0,209.86,0.0,69.52,0.0,17.09,25.92,0.0,0.0,73.91,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.4,10.4,653.76,656.12,666.52,17.09,0.0,0.0,109.43,22.22,206.45,1.79,67.49,297.94,1073.89,241.86,4.14,72.97,0.0,0.0,318.96,194.86,0.0,0.0,529.94,0.0,360.15,49.29,34.1,100.41,0.0,543.95,1073.89,5.45,25.65,6.53,311.95,5.03,8.68,0.0,194.86,0.0,92.34,0.0,16.12,34.83,0.0,0.0,27.47,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.4,10.4,777.49,779.85,790.25,0.0,0.17,24.32,192.66,24.68,99.55,192.62,56.93,373.78,1356.69,280.43,2.94,180.39,0.0,0.0,463.76,82.02,41.26,0.0,587.82,241.13,349.2,45.39,51.5,64.07,17.59,768.87,1356.69,27.36,28.53,6.53,277.77,6.6,8.68,83.45,11.66,247.19,168.17,0.0,0.79,4163.88,2.65,0.0,52.42,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.4,10.4,910.51,910.51,920.91,0.0,0.19,29.82,261.9,34.37,118.94,238.14,62.68,454.13,1636.93,524.77,2.32,137.41,0.0,0.0,664.5,160.55,42.27,0.0,874.84,197.78,377.16,74.95,21.86,76.96,13.39,762.09,1636.93,37.0,45.06,9.14,311.86,6.96,8.68,132.55,43.16,206.78,231.89,0.0,7.52,45.52,3.34,0.75,186.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.4,10.4,1031.32,1031.32,1041.72,3.84,0.2,35.82,205.99,59.25,157.47,261.03,62.99,540.75,1788.46,693.21,5.91,15.27,0.0,0.0,714.39,161.5,41.99,0.0,917.88,157.03,538.35,79.3,22.11,58.5,15.29,870.58,1788.46,30.07,49.18,10.44,352.54,8.05,8.68,136.68,43.16,170.59,166.13,0.0,0.0,44.97,2.34,1.92,29.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,10.4,10.4,1153.3,1153.3,1163.7,0.0,0.2,36.23,133.51,55.42,146.37,347.3,61.65,610.74,1907.95,658.53,6.93,45.01,0.0,0.0,710.47,281.54,44.91,0.0,1046.65,73.75,584.51,103.53,23.21,55.61,20.68,861.3,1907.95,37.49,56.83,10.44,481.7,9.77,8.68,273.67,38.2,77.33,97.07,0.0,9.73,89.36,4.51,1.08,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.4,10.4,1282.22,1282.22,1292.62,0.0,0.26,47.46,78.97,175.3,151.23,281.73,64.11,672.37,2043.96,630.38,5.38,65.16,0.0,0.0,700.91,318.63,42.11,0.0,1078.19,3.75,738.26,129.82,25.14,48.97,19.83,965.77,2043.96,38.4,54.66,10.44,601.16,9.41,8.68,313.26,59.55,4.48,31.25,0.0,16.53,87.94,4.13,2.74,15.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.4,10.4,1397.14,1397.14,1407.54,0.0,0.28,52.35,79.14,52.73,119.82,255.93,64.57,493.05,1979.72,685.79,4.18,48.54,0.0,0.0,738.51,289.28,25.59,0.0,1067.54,45.0,666.33,103.61,25.96,56.51,14.78,912.19,1979.72,58.74,53.66,10.44,609.23,8.92,8.68,274.29,67.2,0.0,26.5,0.0,14.16,101.83,0.51,0.28,56.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.4,10.4,1581.43,1581.43,1591.83,0.0,0.43,56.99,57.42,46.22,163.33,211.69,9.38,430.62,2079.86,658.79,6.36,12.7,0.0,4.84,684.85,409.72,6.59,51.42,1154.38,90.34,577.32,175.37,27.22,1.32,53.92,925.48,2079.86,77.57,192.0,0.0,559.0,0.0,8.68,332.66,82.54,90.34,0.0,2.15,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,10.4,10.4,1696.88,1696.88,1707.28,0.72,0.87,47.25,48.84,26.72,174.19,342.89,15.89,559.69,2315.81,610.57,4.33,17.61,0.0,8.54,641.05,724.83,6.28,63.43,1435.6,170.33,511.01,87.51,36.72,1.2,73.44,880.21,2315.81,81.84,224.0,0.0,407.0,0.0,8.68,640.37,89.85,170.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
